"JOSS","DURR","SWME","EWC","Spanish","English"
"NA","NA","NA",38,"arena","sand"
"NA","NA","NA",41,"aire","air"
"NA","NA","NA",46,"tigre","jaguar, tiger"
"NA","NA","NA",48,"bejuco, liana","vine"
"NA","NA","NA",50,"carbón","charcoal"
"NA","NA","NA",52,"bolsa","bag"
"NA","NA","NA",53,"ratón","mouse"
"NA","NA","NA",54,"araña","spider"
"NA","NA","NA",56,"cal","(quick)lime"
"NA","NA","NA",57,"elote","fresh ear of corn "
"NA","NA","NA",60,"sapo","toad"
"NA","NA","NA",62,"cielo","sky"
"NA","NA","NA",63,"fiesta","festival"
"NA","NA","NA",67,"zopilote","vulture"
"NA","NA","NA",68,"nube","cloud"
"NA","NA","NA",69,"olote","corncob"
"NA","NA","NA",70,"murciélago","bat"
"NA","NA","NA",72,"abeja","bee"
"NA","NA","NA",76,"lagarto","cayman"
"NA","NA","NA",80,"escoba","broom"
"NA","NA","NA",81,"aguacate","avocado"
"NA","NA","NA",84,"harina","flour"
"NA","NA","NA",86,"zacate, pasto","grass"
"NA","NA","NA",90,"ixtle, fibra de maguey","maguey fiber"
"NA","NA","NA",94,"cangrejo","crab"
"NA","NA","NA",96,"zorro, zorra","fox"
"NA","NA","NA",97,"dinero","money"
"NA","NA","NA",98,"luz","light"
"NA","NA","NA",100,"copal","incense"
"NA","NA","NA",103,"grasa, manteca","fat, lard"
"NA","NA","NA",110,"pantalón","pants"
"NA","NA","NA",112,"mapache","raccoon"
"NA","NA","NA",120,"plátano","banana"
"NA","NA","NA",122,"mezcal, aguardiente","mezcal, liquor"
"NA","NA","NA",124,"polvo","dust, powder"
"NA","NA","NA",129,"chayote","chayote squash"
"NA","NA","NA",130,"mañana","tomorrow"
"NA","NA","NA",133,"antier, ante ayer","day before yesterday"
"NA","NA","NA",139,"carrizo","reed"
"NA","NA","NA",140,"rebozo","shawl"
"NA","NA","NA",141,"tortuga","turtle"
"NA","NA","NA",142,"pulga","flea"
"NA","NA","NA",143,"tenate","tortilla basket"
"NA","NA","NA",144,"aguja","needle"
"NA","NA","NA",145,"atole","corn gruel"
"NA","NA","NA",146,"arma","weapon"
"NA","NA","NA",147,"canasta","basket"
"NA","NA","NA",148,"hamaca","hammock"
"NA","NA","NA",149,"ladrón","thief"
"NA","NA","NA",150,"hongo","mushroom"
"NA","NA","NA",156,"malo","bad"
"NA","NA","NA",162,"anciano","old, elder"
"NA","NA","NA",163,"joven","young"
"NA","NA","NA",164,"ancho","wide"
"NA","NA","NA",165,"delgado","thin"
"NA","NA","NA",169,"agrio","sour"
"NA","NA","NA",171,"corto","short"
"NA","NA","NA",173,"oscuro","dark"
"NA","NA","NA",175,"enfermo","sick"
"NA","NA","NA",186,"once","eleven"
"NA","NA","NA",187,"doce","twelve"
"NA","NA","NA",188,"trece","thirteen"
"NA","NA","NA",189,"catorce","fourteen"
"NA","NA","NA",191,"dieciséis","sixteen"
"NA","NA","NA",192,"diecisiete","seventeen"
"NA","NA","NA",193,"dieciocho","eighteen"
"NA","NA","NA",194,"diecinueve","nineteen"
"NA","NA","NA",195,"veinte","twenty"
"NA","NA","NA",196,"cuarenta","forty"
"NA","NA","NA",197,"sesenta","sixty"
"NA","NA","NA",198,"ochenta","eighty"
"NA","NA","NA",201,"brazo","arm"
"NA","NA","NA",203,"espalda","back"
"NA","NA","NA",204,"ojo","eye"
"NA","NA","NA",211,"pecho","chest"
"NA","NA","NA",212,"piel","skin"
"NA","NA","NA",217,"pierna","leg"
"NA","NA","NA",220,"hígado","liver"
"NA","NA","NA",221,"dedo","finger"
"NA","NA","NA",222,"panza","belly"
"NA","NA","NA",223,"corazón","heart, being"
"NA","NA","NA",224,"rodilla","knee"
"NA","NA","NA",225,"codo","elbow"
"NA","NA","NA",226,"sentaderas","butt"
"NA","NA","NA",232,"sombrero","hat"
"NA","NA","NA",233,"madre","mother"
"NA","NA","NA",234,"padre","father"
"NA","NA","NA",239,"abuela","grandmother"
"NA","NA","NA",240,"abuelo","grandfather"
"NA","NA","NA",245,"nieto","grandson"
"NA","NA","NA",246,"nieta","granddaughter"
"NA","NA","NA",247,"prima","female cousin"
"NA","NA","NA",248,"primo","male cousin"
"NA","NA","NA",249,"compadre","co-father"
"NA","NA","NA",250,"comadre","co-mother"
"NA","NA","NA",251,"está parejo","flat"
"NA","NA","NA",252,"fuerte","strong"
"NA","NA","NA",253,"débil","weak"
"NA","NA","NA",256,"lleno","full"
"NA","NA","NA",257,"vacío","empty"
"NA","NA","NA",258,"limpio","clean"
"NA","NA","NA",259,"sucio","dirty"
"NA","NA","NA",261,"rico","rich"
"NA","NA","NA",264,"seco","dry"
"NA","NA","NA",265,"mojado","wet"
"NA","NA","NA",267,"tostado","toasted"
"NA","NA","NA",268,"blando","soft"
"NA","NA","NA",269,"duro","hard"
"NA","NA","NA",271,"viejo, vieja (de cosa)","old, used (of things)"
"NA","NA","NA",272,"vivo","alive"
"NA","NA","NA",273,"filoso","sharp"
"NA","NA","NA",274,"rasposo","rough"
"NA","NA","NA",279,"bonito","pretty"
"NA","NA","NA",281,"está lejos","far"
"NA","NA","NA",284,"arriba","above"
"NA","NA","NA",286,"rápido","quickly"
"NA","NA","NA",297,"zanja","ditch"
"NA","NA","NA",310,"esposa","wife "
"NA","NA","NA",319,"baúl, cajón","trunk, box"
"NA","NA","NA",320,"lagartija","lizard"
"NA","NA","NA",321,"conejo","rabbit"
"NA","NA","NA",322,"águila","eagle"
"NA","NA","NA",325,"flecha","arrow"
"NA","NA","NA",326,"sombra","shadow"
"NA","NA","NA",328,"arriera","leafcutter ant"
"NA","NA","NA",329,"chicatana","queen leafcutter ant"
"NA","NA","NA",332,"zorrillo","skunk"
"NA","NA","NA",333,"rooster","gallo"
"NA","NA","NA",334,"marrano, cerdo","pig"
"NA","NA","NA",335,"caballo","horse"
"NA","NA","NA",336,"delicado","fussy"
"NA","NA","NA",337,"brillante","shiny"
"NA","NA","NA",338,"alegre","happy"
"NA","NA","NA",339,"nuez","nut, pecan"
