"EWC","JOSS","DURR","SWME","Spanish","English"
264,"NA","NA","NA","seco","dry"
32,"NA","NA","NA","semilla","seed"
226,"NA","NA","NA","sentaderas","butt"
197,"NA","NA","NA","sesenta","sixty"
3,"NA","NA","NA","sol","sun"
326,"NA","NA","NA","sombra","shadow"
232,"NA","NA","NA","sombrero","hat"
259,"NA","NA","NA","sucio","dirty"
75,"NA","NA","NA","temblor","earthquake"
143,"NA","NA","NA","tenate","tortilla basket"
16,"NA","NA","NA","tierra","dirt"
46,"NA","NA","NA","tigre","jaguar, tiger"
141,"NA","NA","NA","tortuga","turtle"
267,"NA","NA","NA","tostado","toasted"
188,"NA","NA","NA","trece","thirteen"
257,"NA","NA","NA","vacío","empty"
195,"NA","NA","NA","veinte","twenty"
271,"NA","NA","NA","viejo, vieja (de cosa)","old, used (of things)"
272,"NA","NA","NA","vivo","alive"
86,"NA","NA","NA","zacate, pasto","grass"
297,"NA","NA","NA","zanja","ditch"
67,"NA","NA","NA","zopilote","vulture"
332,"NA","NA","NA","zorrillo","skunk"
96,"NA","NA","NA","zorro, zorra","fox"
182,33,"NA",,"siete","seven"
"NA","NA",,,"metal","metal"
