__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflectional class by affixation,Stem alternation,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Tone of IRR=CPL,Tone of CPL=INCPL
3932,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka²tyin¹,buzz,zumbar,intr,Bimoraic,n/a,—,ka²tyin¹,ka²tyin¹,ka²tyin³,—,—,—,21,21,23,True,False
3933,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka²ba¹,grind,moler,intr,Bimoraic,n/a,—,ka²ba¹,ka²ba¹,ka²ba³,—,—,—,21,21,23,True,False
3934,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka¹yu²,cough,toser,intr,Bimoraic,n/a,—,ka¹yu²,ka¹yu²,ka³yu³,—,—,—,12,12,33,True,False
3935,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ka¹yu¹,burn,quemarse,intr,Bimoraic,n/a,—,ka¹yu¹,ka¹yu¹,ka²yu³,—,—,—,11,11,23,True,False
3936,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ko²ko²,grow,crecer,intr,Bimoraic,n/a,—,ko²ko²,ko²ko²,ko³ko²,—,—,—,22,22,32,True,False
3937,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ko²yo²,fall,caerse,intr,Bimoraic,n/a,—,ko²yo²,ko²yo²,ko³yo²,—,—,—,22,22,32,True,False
3938,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,kua¹a²,be blind,estar ciego,intr,Bimoraic,n/a,—,kua¹a²,kua¹a²,kua³a³,—,—,—,12,12,33,True,False
3939,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,False,,False,True,kuʔ¹un¹,go,ir,intr,Bimoraic,Class III,—,kuʔ¹un¹,tsaʔ¹an¹,kuaʔ¹an¹,ku-,tsi-,ku-,11,11,11,True,True
3940,San Juan Colorado Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,ku¹nuʔ²u²,return,regresar,intr,Bimoraic,Class III,—,ku¹nuʔ²u²,tsi¹nuʔ²u²,kua²nuʔ³u³,ku-,tsi-,ku-,122,122,233,True,False
3941,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹ku¹tu³,be decorated,adornarse,intr,Trimoraic,n/a,—,ku¹ku¹tu³,ku¹ku¹tu³,ku³ku³tu³,—,—,—,113,113,333,True,False
3942,San Juan Colorado Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ku¹ma¹ñi¹,be required,hacer falta,intr,Trimoraic,n/a,—,ku¹ma¹ñi¹,ku¹ma¹ñi¹,ku³ma²ñi¹,—,—,—,111,111,321,True,False
