IDlist,GLOSS,VALUE,FORM,ID,NOTES,DOCULECT,SOURCE
75,hormiga,tyòkó,,3294,,tlah11,oxnard2020
75,hormiga,tsiòkó,,3295,,pied12,oxnard2020
75,hormiga,tsiòkó,,3296,,flor12,oxnard2020
75,hormiga,tìkù kuaá,,3297,,mont12,oxnard2020
75,hormiga,chokǒ,,3298,,bate11,oxnard2020
76,cuerno,ndikí,,3299,,tlah11,oxnard2020
76,cuerno,ntsikǐn,,3300,,pied12,oxnard2020
76,cuerno,ntsikǐ,,3301,,flor12,oxnard2020
76,cuerno,ndikì,,3302,,mont12,oxnard2020
76,cuerno,ndikǐ,,3303,,bate11,oxnard2020
77,pluma,tùmi,,3304,,tlah11,oxnard2020
77,pluma,tǒmî,,3305,,pied12,oxnard2020
77,pluma,tǒmî,,3306,,flor12,oxnard2020
77,pluma,tòmi,,3307,,mont12,oxnard2020
77,pluma,tùmì,,3308,,bate11,oxnard2020
78,ala,ndìxin,,3309,,tlah11,oxnard2020
78,ala,nchìxǐn,,3310,,pied12,oxnard2020
78,ala,nchìxǐn,,3311,,flor12,oxnard2020
78,ala,ndìsì,,3312,,mont12,oxnard2020
78,ala,ntsìtsǐ,,3313,,bate11,oxnard2020
79,cola,ndo'ó,,3314,,tlah11,oxnard2020
79,cola,nto'ǒ,,3315,,pied12,oxnard2020
79,cola,nto'ǒ,,3316,,flor12,oxnard2020
79,cola,ndo'ò,,3317,,mont12,oxnard2020
79,cola,ndo'ó,,3318,,bate11,oxnard2020
80,árbol,itú,,3319,,tlah11,oxnard2020
80,árbol,ijtǔ,,3320,,pied12,oxnard2020
80,árbol,ijtǔn,,3321,,flor12,oxnard2020
81,hierba,yùkù,,3322,,tlah11,oxnard2020
81,hierba,yùjkù,,3323,,pied12,oxnard2020
81,hierba,yùjkù,,3324,,flor12,oxnard2020
81,hierba,yùkù,,3325,,mont12,oxnard2020
81,hierba,yùkù,,3326,,bate11,oxnard2020
82,zacate/pasto,ità,,3327,,tlah11,oxnard2020
82,zacate/pasto,ijtsiâ,,3328,,pied12,oxnard2020
82,zacate/pasto,ijtsià,,3329,,flor12,oxnard2020
82,zacate/pasto,ityà,,3330,,mont12,oxnard2020
82,zacate/pasto,ichà,,3331,,bate11,oxnard2020
83,flor,ita,,3332,,tlah11,oxnard2020
83,flor,ijtâ,,3333,,pied12,oxnard2020
83,flor,ita,,3334,,flor12,oxnard2020
83,flor,ítà,,3335,,mont12,oxnard2020
83,flor,ità,,3336,,bate11,oxnard2020
84,maguey,yaví,,3337,,tlah11,oxnard2020
84,maguey,yavǐ,,3338,,pied12,oxnard2020
84,maguey,yajvǐ,,3339,,flor12,oxnard2020
84,maguey,yavì,,3340,,mont12,oxnard2020
84,maguey,yávi,,3341,,bate11,oxnard2020
84,maguey,viìntyà' víxin,,3342,,tlah11,oxnard2020
84,maguey,tsìkǔxin,,3343,,pied12,oxnard2020
84,maguey,yàjvǐ,,3344,,flor12,oxnard2020
85,raíz,tyò'o,,3345,,tlah11,oxnard2020
85,raíz,tsiò'o,,3346,,pied12,oxnard2020
85,raíz,tsiò'o,,3347,,flor12,oxnard2020
85,raíz,yò'ò,,3348,,mont12,oxnard2020
85,raíz,yo'ó,,3349,,bate11,oxnard2020
86,"espina, araña",iñú,,3350,,tlah11,oxnard2020
86,"espina, araña",ijñǔ,,3351,,pied12,oxnard2020
86,"espina, araña",ijñǔ,,3352,,flor12,oxnard2020
86,"espina, araña",iñò,,3353,,mont12,oxnard2020
86,"espina, araña",iñǔ,,3354,,bate11,oxnard2020
87,maíz,nùní,,3355,,tlah11,oxnard2020
87,maíz,nùnǐ,,3356,,pied12,oxnard2020
87,maíz,nùjnǐ,,3357,,flor12,oxnard2020
87,maíz,nònì,,3358,,mont12,oxnard2020
87,maíz,nùnǐ,,3359,,bate11,oxnard2020
88,milpa,itu,,3360,,tlah11,oxnard2020
88,milpa,utû,,3361,,pied12,oxnard2020
88,milpa,ujtû,,3362,,flor12,oxnard2020
88,milpa,itì,,3363,,mont12,oxnard2020
88,milpa,itù,,3364,,bate11,oxnard2020
89,"elote (no crudo, para comer)",ndixín,,3365,,tlah11,oxnard2020
89,"elote (no crudo, para comer)",nchixǐ,,3366,,pied12,oxnard2020
89,"elote (no crudo, para comer)",nchìxǐ,,3367,,flor12,oxnard2020
89,"elote (no crudo, para comer)",ndixì,,3368,,mont12,oxnard2020
89,"elote (no crudo, para comer)",ndixî,,3369,,bate11,oxnard2020
90,nixtamal,xá'a,,3370,,tlah11,oxnard2020
90,nixtamal,xá'a,,3371,,pied12,oxnard2020
90,nixtamal,xá'a,,3372,,flor12,oxnard2020
90,nixtamal,tsa'á,,3373,,bate11,oxnard2020
91,masa,yùxán,,3374,,tlah11,oxnard2020
91,masa,ixǎn,,3375,,pied12,oxnard2020
91,masa,ixǎn,,3376,,flor12,oxnard2020
91,masa,yusà,,3377,,mont12,oxnard2020
91,masa,yútsa,,3378,,bate11,oxnard2020
92,tortilla,xìtá,,3379,,tlah11,oxnard2020
92,tortilla,xìtǎ,,3380,,pied12,oxnard2020
92,tortilla,xìtǎ,,3381,,flor12,oxnard2020
92,tortilla,xìtà,,3382,,mont12,oxnard2020
92,tortilla,stàá,,3383,,bate11,oxnard2020
93,rastrojo,xe'è nùú ñu'ú,,3384,,tlah11,oxnard2020
93,rastrojo,xè'è,,3385,,pied12,oxnard2020
93,rastrojo,xè'è mii,,3386,,flor12,oxnard2020
93,rastrojo,ñàmà,,3387,,mont12,oxnard2020
93,rastrojo,tiàmá,,3388,,bate11,oxnard2020
94,surco,chìchi,,3389,,tlah11,oxnard2020
94,surco,í'tsin,,3390,,pied12,oxnard2020
94,surco,chìchi,,3391,,flor12,oxnard2020
94,surco,chìchi,,3392,,mont12,oxnard2020
94,surco,chìchi,,3393,,bate11,oxnard2020
94,surco,yikò,,3394,,mont12,oxnard2020
95,espiga de milpa (215? GRB),yokó itu,,3395,,tlah11,oxnard2020
95,espiga de milpa (215? GRB),yojkǒ,,3396,,pied12,oxnard2020
95,espiga de milpa (215? GRB),yojkǒ,,3397,,flor12,oxnard2020
96,frijol,nduchí,,3398,,tlah11,oxnard2020
96,frijol,ntuchǐ,,3399,,pied12,oxnard2020
96,frijol,ntujchǐ,,3400,,flor12,oxnard2020
96,frijol,nduchì,,3401,,mont12,oxnard2020
96,frijol,nduchǐ,,3402,,bate11,oxnard2020
97,ejote,ndìchi,,3403,,tlah11,oxnard2020
97,ejote,nchìchî,,3404,,pied12,oxnard2020
97,ejote,nchǐchî,,3405,,flor12,oxnard2020
97,ejote,ndìchi,,3406,,mont12,oxnard2020
97,ejote,nchichî,,3407,,bate11,oxnard2020
98,chile,ya'á,,3408,,tlah11,oxnard2020
98,chile,ya'ǎ,,3409,,pied12,oxnard2020
98,chile,ya'ǎ,,3410,,flor12,oxnard2020
98,chile,yá'à,,3411,,mont12,oxnard2020
98,chile,ya'á,,3412,,bate11,oxnard2020
99,sal,ìín,,3413,,tlah11,oxnard2020
99,sal,ìjǐn,,3414,,pied12,oxnard2020
99,sal,ììn,,3415,,flor12,oxnard2020
99,sal,nìì,,3416,,mont12,oxnard2020
99,sal,ìǐn,,3417,,bate11,oxnard2020
100,calabaza,ikín,,3418,,tlah11,oxnard2020
100,calabaza,ikǐn,,3419,,pied12,oxnard2020
100,calabaza,ijkǐn,,3420,,flor12,oxnard2020
100,calabaza,yikì,,3421,,mont12,oxnard2020
100,calabaza,íki,,3422,,bate11,oxnard2020
100,calabaza,ikín,,3423,,tlah11,oxnard2020
100,calabaza,kiá'mǐ,,3424,,pied12,oxnard2020
100,calabaza,ikǐn,,3425,,flor12,oxnard2020
100,calabaza,yikì,,3426,,mont12,oxnard2020
100,calabaza,ikǐ,,3427,,bate11,oxnard2020
101,chayote,nañá,,3428,,tlah11,oxnard2020
101,chayote,nañǎ,,3429,,pied12,oxnard2020
101,chayote,najñǎ,,3430,,flor12,oxnard2020
101,chayote,tináñà,,3431,,mont12,oxnard2020
101,chayote,nañǎ,,3432,,bate11,oxnard2020
102,caña,ndòó,,3433,,tlah11,oxnard2020
102,caña,ntòjǒ,,3434,,pied12,oxnard2020
102,caña,ntojǒ,,3435,,flor12,oxnard2020
102,caña,ndòò,,3436,,mont12,oxnard2020
102,caña,ndòó,,3437,,bate11,oxnard2020
103,miel,ñùñú,,3438,,tlah11,oxnard2020
103,miel,ntǔxi,,3439,,pied12,oxnard2020
103,miel,ntǔxi,,3440,,flor12,oxnard2020
103,miel,ñoñò,,3441,,mont12,oxnard2020
103,miel,ndǔxì,,3442,,bate11,oxnard2020
104,manteca,xà'an,,3443,,tlah11,oxnard2020
104,manteca,xǎ'ân,,3444,,pied12,oxnard2020
104,manteca,xǎ'ân,,3445,,flor12,oxnard2020
104,manteca,xà'án,,3446,,mont12,oxnard2020
104,manteca,xǎ'àn,,3447,,bate11,oxnard2020
105,huevo,ndìví,,3448,,tlah11,oxnard2020
105,huevo,ntsìvǐ,,3449,,pied12,oxnard2020
105,huevo,ntsìjvǐ,,3450,,flor12,oxnard2020
105,huevo,ndìvì,,3451,,mont12,oxnard2020
