IDlist,GLOSS,ID,English,tlah11,pied12,flor12,mont12,bate11,asun11
NA,pared,190,wall,ndìka,ntsìjkâ,ntsǐkâ,ndìkà,nchìka,NA
NA,temprano,191,early,na'a,na'â,na'an,naà,na'à,NA
,,,,,,,,,
NA,guajolote,196,turkey,kolo,kolo,kolo,kolo,kóló,NA
NA,pelo de elote,199,corn silk,yàtyá xìní ndixin,yojkǒ,yatsia,yokò,yokó,NA
NA,verdad,202,truth,ndaà,mia ntàà,ntàà,ndàà,ndaàntsitsa,NA
,,,,,,,,,
NA,catarro,208,NA,katá nì'in sùkun,kátá nì'i,kátá sùkùn,jàyi,kwè'è kaǐ,NA
,,,,,,,,,
NA,nombre,221,name,kìví,kìjǐ,kìjǐ,kìvì,kìí,NA
NA,cacao,222,cacao,si'và chocoláte,,si'và,ti jìvà,,NA
NA,cerrado (v.),225,closed (v.),ndási,ntási,ntási,ndyají,ndásì,NA
NA,pasado mañana,226,day after tomorrow,isá,isâ,isâ,ijá,isâ,NA
NA,rata,230,rat,tì'ín yotó,tsiǒtǒ,tsiǒtǒ,tìyótò,,NA
NA,inflamación,231,NA,nàñu,kuiñu,kuiñu,náño,nì kaa,NA
,,,,,,,,,
NA,arcoiris,233,rainbow,tikolà'ntí,kòjǒ yáán kí,kòjǒ yánkí,tìkùyàndí,skoò nchà'nchá,NA
NA,ombligo,235,navel,lalu,lantu,lantu,xandì,xandu,NA
NA,chachalaca,237,chachalaca,laxán,tsiùjǔ  yùjkù,kuvíyó,ndása,,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
NA,pegamento,243,glue,kixín,tsíjin,kixǐn,ñà kixí,kixǐ,NA
NA,tortilla gruesa/gordita,246,thick tortilla,vila,vila,vila,ndixání,xà'nchǎ,NA
,,,,,,,,,
NA,arriba del monte donde se puede habitar,248,NA,yosó,yosǒ,yosǒ,itò,yohsǒ,NA
NA,banquito,249,small seat,taì lo'o,tsiáyi lo'o,tsiáyi lo'o,tyáyì loò,chéì lúú,NA
NA,otro,251,another,inka,inkâ,iin ka,ínkà,ìnkaà,NA
NA,rudo/salvaje,253,rude,yuku,yukú,yukǔ,tìyukú,yukú,NA
NA,calzón,259,underwear,xatú,xajtû lo'o,xajtû ini,satì lúù,tsatù lundu,sátyi
NA,suelto,263,loose,taya,,tayà,táyà,tayà,taya
NA,tabaco,265,tobacco,xanù,xanù,xanù,yùkù inó,ngwìnǔ,
NA,festividad/fiesta,267,festival,viko,vijkǒ,vijkǒ,vikò,vikǒ,víkò
,,,,,,,,,
NA,pulga,269,flea,tyo'ó,tsiò'ó,tsiò'ó,tìyò'ó,chò'ó,tyiyo'ó
NA,yunta,270,yoke,yunta,yújku,yǔnta,yukú,,yúndá
NA,mentiroso,271,liar,tú'ún,tu'ún,ñà tó'on,latoón,tú'un,lándò
NA,aguja,272,needle,tíku,itsiukû,itsiukû,iñó tùkú,iñǔ,
NA,fiesta patronal,273,patron saint festival,vikó ká'nu,vijkǒ ká'nu,vijko ká'nu,vikò káno,vikǒ ñuù,víkò ká'nu
NA,anteayer,274,day before yesterday,kiún,kiuùn,kiuùn,kìñoòn,tá iku ñuù,NA
NA,compadre,275,co-father,mva,{mpáa},mpáa,{mpáà},mpáà,NA
NA,"tipo de insecto, negro, puede volar",276,type of flying black insect,tikó si'ví,ntúu,ntsìsì'ví,,NA,NA
,,,,,,,,,
NA,música,278,music,yáa,yaà,yaà,yáà,yàà,NA
NA,becerro,279,bull calf,NA,měè,tsìntsìki lo'o,chelò,NA,NA
NA,becerro,280,bull calf,NA,mǎà,,,NA,NA
NA,becerro,281,bull calf,NA,mǎà lo'o,,,NA,NA
NA,yerno,282,son-in-law,càsa,kàsá,kàsá,kàjá,séè,NA
NA,bebé,283,baby,lée,léé,lěe,leè,néné,NA
,,,,,,,,,
NA,mojado,289,wet,vixá,vixá,vixá,vixá,vixó,NA
NA,rasposo,290,rough,ndayù,ntayí,ntayí,ndayí,ndaí,NA
NA,metate,293,grindstone,yuví,yòsó,yòsó,yòjó,yǒso,NA
NA,padre/papá,296,father,tata,tájtě,táta,tatá,tatà ,NA
NA,oscuro,297,dark,naǎ,najǎ,najǎ,naà,naa  (ABA),NA
NA,cintura,299,waist,toko,tojkǒ,tojkǒ,káà,tokǒ,NA
NA,fuerte,300,strong,ndakú,ntajkǔ,ntajkǔ,ndakòò,ndakǔ,NA
,,,,,,,,,
NA,joven,302,young,kwàá,kuajǎn,ítsiǎ,tìtyakó,tsaǎ,NA
,,,,,,,,,
NA,chueco,304,crooked,"kávà,ndìkàvà,kàva",nìkavá,tsìkàvà,nikàvà,yakwá,NA
NA,flaco,306,skinny,kwiǐn,níjǐ,lakua,tìkasá,tìkàtsá,NA
NA,filoso,307,sharp,xìí,xìjǐn,xìjǐn,xèèn,xèén,NA
NA,negro/morado?,310,black-red,ndaá/tùú,ntsiáá,ntsiáá,ndyàá,ndukú,NA
,,,,,,,,,
NA,temporada seca,314,dry season,ichi,íjchi,íchi,ta ìchí,ichì,NA
NA,lleno,315,full/filled,chitú,,chutú,,NA,NA
NA,vivo,317,alive,takù,tsiájku,tsájku,tyakó,NA,NA
NA,mágico,318,magical,ndichí,nchíjchi,nchíjchi,,NA,NA
NA,malo,319,bad,vǎ'a,vǎ'a,vǎ'a,,NA,NA
NA,corto,320,short,kwiti,kuíjtsi,kuíjtsì,kuití,NA,NA
NA,espíritu,321,spirit,anìma,{anìma},anìmà,,NA,NA
NA,alto,322,tall,súkú,sójkun,sójkon,,NA,NA
NA,anciano (personas),323,elder,yatá,lá'nu,yá'ta,tìyatá,NA,NA
NA,anciano (personas),324,elder,chêe,,nà ná'nu,tìsivàa,NA,NA
NA,enfermo,326,sick,kú'vì,kú'ù,kú'ù,kívì,NA,NA
NA,tostado,327,toasted tortilla,"kasun,ndìkàsùn,kàsùn",kasùn,kasùn,nikajòn,NA,NA
NA,nido de aves,328,bird's nest,chi'yò,chi'yò,chi'yò,takà,NA,NA
NA,sucio,329,dirty,mèkò,yajkuà,yajkuà,yakuà,NA,NA
,,,,,,,,,
NA,camisa,334,shirt,kotó,{kójtô},kójto,kotó,NA,NA
NA,copal,335,copal incense,xuxan,xuxâ,xǔxâ,kùtí,NA,NA
NA,vamonos,338,NA,ko'o,ko'ě,NA,,NA,NA
NA,grillo,339,cricket,linchí,chínchí,chìnchi,,NA,NA
NA,limpio,340,clean,yuchi,ntoò,ntoo,viì,vìi,NA
NA,roca,342,NA,yùú,kàjvǎ,kàjvǎ,kavà,NA,NA
NA,chivo,344,goat,chù'ú,chú'ǔ,chú'ǔ,tixúù,ndúchá,NA
NA,vaca,345,cow,vaca,[vakâ],vaka,vaká,stìkǐ sí'ì,NA
NA,pollo,346,chicken,ndyuxí,nchuxí,nchuxí,ndi yusí,chùún,NA
NA,coyote,347,coyote,ndwǎ'yu / ndwǎ'i,ntsìvá'yì,ntsìva'yì,ndìvàyí,ndivà'ú,NA
NA,zorro,348,fox,lakwíi,chìkuii,chìkuíi,losò,nkwìì,NA
NA,pico/boca/tapadera/orilla,349,mouth,yu'u,yu'ǔ,yu'ǔ,tyàyà yúù,yu'ú,NA
NA,cresta del gallo,350,crest,là'la,làjla,làjla,ndyàtyà chéle,,NA
NA,colibrí,351,hummingbird,ndyùú,ntsio'ô,ntsio'o,ndiyóò,ncho'o,NA
NA,maracuya/granadilla,352,NA,tyoó,tsiǒò,tsiǒò,tìyoli,,NA
NA,caracol,353,snail,tiko ií,tsìkaní,tsìkaní,,ndiko íi,NA
NA,renacuajo,354,tadpole,chìlólǒ,tsikóntó,ntsikóntó,ndikóndó,tìxichi,NA
NA,lombriz,355,earthworm,tikuxin,tsìkuxí,tsìkuxi,tìndakó,tìndakǔ,NA
NA,luciérnaga,356,firefly,twi'ún,tsǐ'vì,tsǐ'vì,tìtóòn,chivi,NA
NA,garrapata,357,tick,tixìi,nchixìji,ntsìxìji,tìxìí,ndixii,NA
NA,salsa,358,salsa,ti'a,tsia'á,tsia'a,tiyà'á,nchá'á,NA
NA,tipo de araña (a),359,type of spider,xindù'và,tsiu'ún,,,tìn ndôó,NA
NA,tipo de araña (b),360,type of spider,NA,chikitǔ,chikitǔ,,NA,NA
,,,,,,,,,
NA,epazote,363,goosefoot (sp.),mìnu nduxí,mìnû ntujchǐ,mìnu ndujchǐ,mìno,mìnù sí'ì/íí,NA
NA,papas,364,potato,tikwiti,tsikuítsi,tsikuìtsi,tìkuìtí,tìkwití,NA
NA,chilacayote,365,chilacayote squash,tìnduyú,tsintuyǔ,tsintuyù,tìndúyù,ti ndúyǔ,NA
NA,tamalayotas,NA,NA,,NA,kì'àmí,NA,NA,NA
NA,verdura,368,vegetable,yukù,yùjkù,yujkù xaxí,,,NA
NA,tuna,369,prickly pear,chìki,chikí,chikí,chìkí,chǐki,NA
NA,guayaba,370,guava,tikwàá ndikí,tsìkuàjǎ ntsíjkí,tsìkuàjǎ ntsíjkí,tikuaá ndíkí,tikwaa ndíkí,NA
NA,débil,371,weak,vita,víjtâ,vijtá,kuitá,kwíta,NA
NA,hoja de maíz/joloche/totomoxtle,372,corn husk,yàmá,ñàjmǎ,ñàjmǎ,ñàmà,ñàmǎ,NA
NA,tusa/seda de maíz,373,corn silk,vixí,,,,yuxí ndixî,NA
NA,arado,374,plow,yàtá,xùtu,yàtá,yàtà,yàtǎ,NA
NA,ojo,375,eye,tí nùún,tsinùjǔ,tsinǔn,,nduchí nùún,NA
NA,ojo,376,eye,nduchí nùún,ntujchǐ  nùjǔ,ntuchí nǔu,nduchí nóó,NA,NA
NA,corazón,377,heart,nímà,{anìma},anìma,nímà,ánâ,NA
NA,cabeza,379,head,xìní,xijnǐ,xijnǐ,xìnì,xìnǐ,NA
NA,lado,380,side,xìnta,xijǐn,xijǐn,táví,xîí,NA
NA,cinturón,381,belt,iín tokó,ijǐn chìxǐn,ijǐn chìxìn,nií tìsi,síntsû,NA
NA,zapato,382,shoe,ndìxán,nchixǎn,nchixǎn,ndìsà,NA,NA
NA,sudor,383,sweat,tyìín,tsijǐn,tsijǐn,tièèn,NA,NA
NA,saliva,384,saliva,tásìì,tsìtsí'vì,tsìtsí'vì,tìjì'í,NA,NA
NA,señora,385,lady,nana,náně,naně,ná sáno,NA,NA
,,,,,,,,,
NA,anciano/viejo (general),389,elder,"yatá,chêe",yajtá,yajtá  la'nù,tì yatá,NA,NA
NA,puerta,391,door,yé'é,yé'e,yiyé'e,yu yéé,NA,NA
NA,puerta,392,door,NA,yuyé'e,yuyé'e,tó yéé,NA,NA
NA,gripa,393,cold (illness),sàí,sayí,sayìì,jàyi,NA,NA
NA,bravo,394,aggressive,kwe'è,kuè'è,kuè'e  yukù,kuè'è,NA,NA
NA,jarra,395,pitcher,tìndo'o,tsinto'ǒ,tsinto'ǒ,tindòò,NA,NA
NA,sombrero,396,hat,xiní,ixìjnǐ,ixìjnǐ,xínì,xínǐ,NA
NA,vacío,397,empty,kòa,kòó,ña ùn,,NA,NA
NA,mañana,399,tomorrow,taàn,itsiaàn,itsiaàn,tià'àn,NA,NA
NA,carrizo,400,reed,tyì'ó,tiòjǒ,tiòjǒ,,NA,NA
NA,totopo,401,tortilla chip,lakwán,tsìkasùn,tsìkasùn,,NA,NA
NA,picada,402,NA,xa'ntá,xa'ntsiǎ xa'ân,xan'tsiǎ  xa'ân,,NA,NA
NA,memela,403,thick tortilla,xa'ntá nduchí,xa'ntsiǎ ntúchí,xan'tsiǎ  ntúchí,,NA,NA
NA,totopo de maiz nuevo,404,NA,lakwán ndixín,ijkîn,tzìkasùn nchíxì,,NA,NA
NA,semilla de frutas,405,fruit seed,si'và,ntùjǔ,si'và,,NA,NA
NA,semillas(pequenitas) de frutas o verduras,NA,NA,ndikí,NA,ntsikîn,NA,NA,NA
NA,tipo de bayas (que tipo de baya es el que tienes GM)?,406,NA,NA,tsìsijvǐ,tsìsivǐ,,NA,NA
NA,tronco,407,trunk,ndu'ú,ntu'ǔ,ntu'ǔ,,NA,NA
NA,vete,408,go!,kwa'an,kuá'an,kuá'an,,NA,NA
NA,canas,409,gray hairs,vìxin,vìxi,vìxí,,vìxi,NA
NA,piña,410,pineapple,vixín,vixǐ,vixǐ,vìsì,vitsǐ,NA
NA,"corre a traerlo (command for dogs) (onomat.) (sick 'em, fetch)",411,dog command,úskù,úskù,úskù,,NA,NA
NA,necesario,413,necesary,xiñú'un,xiñù'u,xini ñu'un,,NA,NA
NA,siempre,414,always,ní tiempo,míí saa,sákuva,,NA,NA
NA,siempre,415,always,ní tiempo,míí saa kuu va,míí saa kuva,,NA,NA
NA,todos los días,416,every day,viti taàn,ntsikuù kijǐ,ntsikuù kijǐ,,NA,NA
NA,todo,417,all,ndikúva,ntsi'i,ntsi kú,,NA,NA
NA,mayor (older),418,older,chêe,ká'nu,nà ná'nu,,NA,NA
NA,igual / parejo,419,the same,iin nùún,inuú,ínuú,,NA,NA
NA,igual,420,the same,iin nùún,,iin nuu kuva,,,NA
NA,pollitos,421,ckicks,ndyuxí válí,nchuxí válí,nchuxí lo'o,,chùún kwáchi,NA
NA,guajolotito,422,turkey chick,tyùún válí,kolo válí,kolo lo'o,,píí,NA
NA,toro,423,bull,sindìkí,tsíntsìjkì,tsìntsikì,,stìkǐ  (íí),NA
NA,burro,424,donkey,burru,[burru],burru,,lúrrú,NA
NA,chimuelo,425,gap-toothed,la'va,lá'vá,kòo nù'on,,NA,NA
NA,moco,426,mucous,la'la,la'la,la'la,,NA,NA
NA,mojado,427,wet,ndàxin,làpa,ndaxìn,,NA,NA
NA,duro (es algo duro de quebrar como hueso),428,NA,te'e,láxán,tsǐ'e,,NA,NA
NA,abdomen,429,abdomen,tìxin,nchìxin,tsì'ǐ,,NA,NA
NA,flaco,430,skinny,lakwan,leke,lakuan,,NA,NA
NA,tortilla pequeña,431,small tortilla,vìlá,lulu,xìta vali,,NA,NA
NA,bolsa de semillas,432,seed bag,leka,leka,lěkâ,,NA,NA
NA,tamal,433,tamale,tìkôó,sijvǐ,tsìkojǒ,,NA,NA
NA,tipo de pájaro,434,type of bird,NA,xǐli,xǐli,,NA,NA
NA,silbato,435,whistle,tí tivi,víli,víli,,NA,NA
NA,tamal,436,tamale,tìkôó,tsìkojǒ,sijvǐ,,NA,NA
NA,tipo de pájaros,437,type of bird,NA,likì,líkì,,NA,NA
NA,tipo de pájaros,438,type of bird,NA,líkô,lijkó,,NA,NA
NA,dios,439,god,{ndyóxì},{nchióxì},nchióxì,,NA,NA
NA,sarampión,440,measles,ndi'i valí,lompe,ntsì'i kuachi,,ndi'i kwachi,NA
NA,Coicoyán de las Flores,441,Coicoyán de las Flores,Kiaa,lompa,Kiaà,,NA,NA
NA,moteado,442,spotted,lona,lonà,lònà,,NA,NA
NA,Oaxaca,443,Oaxaca,ñuun ndùva,Nùntovà,Nàndovà,,NA,NA
NA,tipo de chapulín,444,type of grasshopper,tìka,tsikâ lúchí,tsǐjka,,NA,NA
NA,naranja,445,orange,tìkwaá,tsìkuàjǎ,tsìkuàjǎ,tikuaá,NA,NA
NA,corto,446,short,lúntú,lúntú,kuítsi,,lantu,NA
NA,Tecomaxtlahuaca,447,Tecomaxtlahuaca,Siá'à,Siá'ǎ,Siá'ǎ,,NA,NA
NA,sobrino/sobrina,448,"nephew, niece",xàxìn,sàxín,saxìn,,NA,NA
NA,Guerrero,449,Guerrero,ñuu kwàchi,Ìjtsia Ntsia'yì,Chatun,,NA,NA
NA,Puebla,450,Puebla,Tàndyôó,Ìjtsia Ntsio'ô,ìjtsia Ntsio'ô,,NA,NA
NA,qué significa?,451,NA,NA,ñumí,,,NA,NA
NA,úvula,452,uvula,sàmà,làjla,luntu sùkǔn,,NA,NA
NA,soldado,453,soldier,lápa,lapa,to'ò / lapa,,NA,NA
NA,sentado,454,sitting,ndu'ù,íntu'ǔ,íntu'ǔ,,NA,NA
NA,acostado,455,lying down,nduva,kántu'ǔ,kantu'ǔ,,NA,NA
NA,vómito,456,vomit,ndùxan,xùxàn,nduxǎn,,NA,NA
NA,cerveza,457,beer,ndixí,nchixî ,nchixì,,NA,NA
NA,tipo de espiritu,458,type of spirit,anima,ñu'ú,anìmà,,NA,NA
NA,tipo de espiritu,459,type of spirit,NA,náyujkú,NA,,NA,NA
NA,personas,460,people,nà yùví,nàyùjkù,nà nyìvi,nà yívi,NA,NA
NA,paralizado,461,paralyzed,kùtuùn,xíníí,ku tùùn,,NA,NA
NA,Coicoyán de las Flores,462,Coicoyán de las Flores,Kwian,Kiaà,NA,,NA,NA
NA,Petlacala,463,Petlacala,Chatun,Chǎtun ká'nu,,,NA,NA
NA,red (bolsa),464,mesh bag,NA,yàjti,ñà tsiìn tsàaka,,NA,NA
NA,malo/tramposo,465,NA,sndavi,chi'ña,maña,,NA,NA
NA,vaso,466,glass,[vaso],yaxǐn,,,NA,NA
NA,vaso de plástico,467,platic cup,yaxín ndyakà,yaxǐn ntsiàkà,vaso ntsà'ka,,NA,NA
NA,plástico,468,plastic,tutu,ntsiàkà,ntsà'ka,,NA,NA
NA,temporada de lluvias,469,rainy season,tiempo sàví,sáví,tiempo sáví,,NA,NA
NA,condición de sequía y pobreza extrema,470,drought,tiempo i'chi,tajmǎ ,tiempo íchì,,NA,NA
NA,lugar plano en el campo,471,flat field,ta'ma,ta'mà,nùú ntàà,,NA,NA
NA,hay algo adentro,472,be inside,ñu'un,ñú'u,ñú'un,,NA,NA
NA,neblina,473,fog,viko nuú,vìjkònú'ú,vìko nú'ú,,NA,NA
NA,qué significa?,474,NA,NA,vìjkǒnú'ú,,,NA,NA
NA,tallo de maíz,475,dry corn stalk,ndí'ò,ntió'o,ndió'o,,NA,NA
NA,milpa en el tiempo de pastoreo,476,NA,,ñàjmǎ,tyamá,,NA,NA
NA,mosquito,477,gnat?,ndyáá,tsikún,ndaá íxí,,NA,NA
NA,vestido,478,dress,tyòto níi,xìyò,xǐyo,,NA,NA
NA,amante,479,lover,tanìn,tsiàñì,tsiànì,,NA,NA
NA,hierbabuena,480,mint,mìnu sndikí,mìnû ntsiajyǐ,mǐnu ntsiajyǐ,,NA,NA
NA,lago,481,lake,minìn,mìnî,mǐnî,,NA,NA
NA,elote tierno,482,baby corn,isá,ìjsǎ,nchìxǐ ché'é,íjà,ìsà,NA
NA,codo,483,elbow,kóntó nda'a,ko'nto nta'ǎ,kòndò nda'ǎ,kòntò ndáà,NA,NA
NA,rodilla,484,knee,kònto,kòntò,kòndò xa'ǎ,kòntò sáà,NA,NA
NA,hombro,485,shoulder,sòkò,sòjkò,sòjkò,jòkò,NA,NA
NA,dedo,486,finger,luku nda'á,ntujkû nta'ǎ,nda'ǎ lo'o,ndatító,NA,NA
NA,dedo pulgar,487,thumb,luku nda'á ka'nu,nta'ǎ ká'nu,xìjnǐ nda'ǎ,,NA,NA
NA,cadera,488,hip,tè'e kaá,ka'ǎ,ka'ǎ,,NA,NA
NA,bote de basura,489,garbage can,oti kwayo,kǎà xè'è,ña'án kéje xè'è,,NA,NA
NA,cáscara/cobija,490,"shell, cover",sòó,sòjǒ,sòjǒ,jo'ò,sòó,NA
NA,cobija,491,blanket,tìkàchí,chìkachǐ,chìkachǐ,,NA,NA
NA,diablo,492,devil,tiñá/timi'án,tsìjmiǎ,tsìjmiǎ,tíivì,tàchǐ,NA
,,,,,,,,,
NA,guanábana,495,soursop,ndokó linko,,,,NA,NA
NA,caldo,496,soup,tya'á kúxi,ntsiajyǐ,ntsiajyǐ,,NA,NA
NA,mole,497,mole,ndaí va'a,ndziajyǐ o'va,ntsiajyǐ o'va,ndyáyì,NA,NA
NA,mosca,498,fly,ndigama,tsìkamá,nda'ǎ ixí,,NA,NA
NA,mayate,499,type of beetle,chinduú,,tsìsùn,,NA,NA
NA,abejorro,500,bumblebee,tisún ,ntuù,tsìmijǐ,,NA,NA
NA,clase de abeja,502,type of bee,tisún ndya'na,,,,NA,NA
NA,lombriz de pansa,504,intestinal worm,tìndakú,tsìntaku,tsìndakú,,NA,NA
NA,lombriz de agua,505,water worm,tikùxí kàà,tsikúxi,tsìkuxí tsìkuǐi,,NA,NA
NA,mariquita,506,ladybug,kìnì vali,rí yivâ chíjchi,kinì valí,,NA,NA
NA,tipo de planta de frijol,507,type of bean plant,yuva chìchîn,yivâ chíjchi,,,NA,NA
NA,xumile,508,stink bug?,tya'á,tsiá'a,tsia'a ndakuà,,NA,NA
NA,hamaca,509,hammock,ti'và,,yojnǔ xikóna,,NA,NA
NA,San Miguel Grande,510,San Miguel Grande,Smyée,,,,NA,NA
NA,Buena Vista,511,Buena Vista,Ikú lo'o,,,,NA,NA
NA,Xochapa,512,Xochapa,tyàta,,,,NA,NA
NA,Sotoyá,513,Sotoyó,Tàná,,,,NA,NA
NA,Hacienda,514,Hacienda,Tundakwa,,,,NA,NA
NA,tipo de planta para comer,515,type of edible plant,yuva yà'á,yivâ yà'á,,,NA,NA
NA,quelite,516,type of edible plant,yuva tyôó,yivâ tiôó,yìva chikìtòn,,NA,NA
NA,tipo de planta para comer,517,type of edible plant,yuva tí'in,yivâ tsí'ǐn,,,NA,NA
NA,hierba mora,518,type of edible green,yuva ìtìn,yivâ ìtsìn,yìva tsi'ǐn,,NA,NA
NA,rápido,519,fast,nì'in,nì'i,kama,,NA,NA
NA,albino,520,albino,sè'e ndyóxì,sè'e {nchióxì},se'é tsìjkantsijǐ,,NA,NA
NA,ayudante,521,assistant,yùví nà chíndé,nàyivǐ ntsíntsiee,nà chíncheé,,NA,NA
NA,base electrico,522,electrical box,kája xà'á ñu'ùn,xà'ǎ ñu'ù,xà'á ñu'ùn,,NA,NA
NA,bocina,523,speaker,kàà ká'àn,[bocinà],{vosìnà},,NA,NA
NA,domingo,524,Sunday,kìví ndí'i,[domínko],{domìnkò},,NA,NA
NA,pan,525,bread,xìtá và'a,[pán],xìtǎ và'a,,NA,NA
NA,sombra,526,shade? shadow?,ndatí,ntatsí,ndatsǐ,katì,NA,NA
NA,chicle,527,gum,kǔtu,kùtú,kùjtú,,NA,NA
NA,sonaja,528,rattle,tí kañà,,ntsìkañà,,NA,NA
NA,vapor,529,steam,yòkò,yokǒ,yokǒ,yòkò,NA,NA
NA,cazuela,530,cooking pot,cha'àn,nchìxa'ǎn,chìxa'àn,,NA,NA
NA,pelo chino,531,curly hair,chinùn,ntsií,ntsii,,NA,NA
NA,medio chino (cabello),532,wavy hair,ndìkì,ntikí,lo'o ntsii,,NA,NA
NA,los muertos,533,the dead,nà ndíi,nà ntsǐì,ntsǐì,,NA,NA
NA,diluvio,534,flood,sàví nǎ'a,sàjvǐ  í'na,sàjvǐ í'na,,NA,NA
NA,granizo,535,hail,íín,íín,íín,,íín,NA
NA,aguacero,536,downpour,nì'in kúún sàví,nì'i kúun sàjvǐ,sàjvǐ ntseé,,NA,NA
NA,llovizna,537,drizzle,kúún yáá,sàjvǐ yáá,sàjvǐ yáá,,NA,NA
NA,cantinero,538,bartender,nà xíkó ndixi,rà ixiko nchixî,rà ìxìkó kántinà,,NA,NA
NA,curtidor,539,tanner,nà kíxa ndúví kùñun,rà xa'ntsiaà koñû,,,NA,NA
NA,zapatero,540,shoemaker,nà sndá'a ndìxan,rà ixiko nchìxǎn,rà kasa'à nchìxǎn,,NA,NA
NA,preso,541,prisoner,nà ndgáà ve'e kàà,rà níka ve'e kǎà,rà nákà ve'e kǎa,,NA,NA
NA,fiel,542,faithful,kandíxa,,,,NA,NA
NA,arrugado,543,wrinkled,ku chìian,kùù chiña,"tsia'ni, ntsii",,NA,NA
NA,enchufe,544,outlet,nùún vàxi ñu'ùn,nùú vaxì ñu'ù,xa'ǎ ñu'ù,,NA,NA
NA,padrino,545,godfather,yuvá ñu'un,yìva ñu'ú,yivá ñu'ú,,NA,NA
NA,madrina,546,godmother,syu'ùn,siu'ún,sio'ǔn,,NA,NA
NA,cojo,547,lame,rènkò,lenko,lenkò,,NA,NA
NA,sordo,548,deaf,so'o,só'o,só'o,,NA,NA
NA,suficiente,549,sufficent,vàtù saá,vatu saá,ìyoo kuà'ǎ,,NA,NA
NA,ciego,550,blind,kwáa,kuáa,kuáa,,kwáa,NA
NA,enflacar,551,NA,ku lakwan,,,,NA,NA
NA,personas no bautizadas,552,unbaptized,na taá kuchi,tsiómǐ,tsiómǐ,,NA,NA
NA,constelación (bota),553,constellation,tkìmi,yàjtǎ,yàjtǎ,,NA,NA
NA,cobarde,554,coward,ìyo,íjyo,ntsì ìjyo,yusára,NA,NA
NA,cobardía,555,cowardice,ìyo,íjyo,,yusá,NA,NA
NA,malvado,556,evil,kini,kini,kini,,NA,NA
NA,luna llena,557,full moon,yóoó níí,yòjǒ niì,yòjǒ níì,,NA,NA
NA,media luna,558,half moon,sava yóo᷄,yòjǒ ñá'ñu,yòjǒ ñá'ñu,,NA,NA
NA,hacerse media luna,559,NA,yóo᷄ ya'ñu,yòjǒ ñáñu,,,NA,NA
NA,hojas secas de árboles,560,dry leaves,yukù nda'á itú íchi,vìxǐn,vìxǐn,,NA,NA
NA,café (color),561,brown,yá'a,yá'a,yá'a,[cafê],NA,NA
NA,rebelde,562,rebel,yuku,yukú,yukú,,NA,NA
NA,ojo de agua,563,spring,mìni,,xà'ntu,mìni,mìni,NA
NA,contagio,564,NA,kwe'è xíkun,kì'in kue'e,,,NA,NA
NA,robo (n.),565,theft,kwi'na,kuí'ná,kuí'ná,,NA,NA
NA,izquierda,566,left (side),nda'á iti,ítsin,xiyo  ítsîn,,NA,NA
NA,derecha,567,right (side),nda'á kwá'a,nta'ǎ kuá'a,xiyo  kuá'a,,NA,NA
NA,al fondo del agua ,568,underwater,tìxìn màán tìkwíi,chìxin tsìkwǐi,,,NA,NA
NA,temblar repetidamente,569,NA,tuku tuku tâan,tótóò tájan,,,NA,NA
NA,picoso,571,spicy hot,yàtù,xàjtù,xàjtù,,NA,NA
NA,calor,572,hot,i'ní,"í'ní, xìí'ní, kuí'ní",i'ní,,NA,NA
NA,temperatura (fiebre),573,fever,ka'ní,ká'nǐ,ká'nǐ,,NA,NA
NA,guerra,574,war,x,kuàjchi,kuàchi,,NA,NA
NA,amarillarse,575,NA,kukwáan,kuukuáan,,,NA,NA
NA,intelligente,576,intelligent,va'a xìní,và'a  xìní,và'a xìní,,NA,NA
NA,estar alegre,577,be happy,kusìí ini,sijǐ,kuátsiá,jìì inì,NA,NA
NA,disparejo,578,uneven,koó nùun,ínùú,ínùú,,NA,NA
NA,ruido,579,noise,ká'a,,ñáñà,,NA,NA
NA,estrella que sale temprano,580,morning star,kìmi,kìmî,kǐmî,,NA,NA
NA,buho/tecolote,581,owl,nùún ko'ò,kuntujtû,tsiomǐ,tìñómì,chumí,NA
NA,gallina ciega,582,type of worm,tisa'mà,tsìsajmǎ,tsìmásǎ,,NA,NA
NA,oruga,583,caterpillar,tixáa,tsìxaà,tsìsě'e nùjǔn,,NA,NA
NA,corteza de árbol,584,tree bark,ndàkwa,ntajkuà,ntajkuà,,NA,NA
NA,costilla,585,rib,kandíka,ntsìjkâ,kíntsíka / ikí ntsíka,,NA,NA
NA,paja de milpa,586,corn straw,ndáyo'òn,,ndió'o,,NA,NA
NA,muchacho,587,boy,tà kwâán,kuajǎn,rà lo'o,,NA,NA
NA,plano,588,flat,ndaà,ntàà,ínuún,ndàà,ndaà,NA
NA,plano,589,flat,ndaà,,ntàà,ndiví,NA,NA
NA,almuerzo,590,lunch,kuxá'ñu,xa'ñu,kuxá'ñu,,NA,NA
NA,persona que hablan español y no una lengua indígena,591,spanish speakers,sa'án,,nà sá'án,,NA,NA
NA,palma,592,palm (of hand),ñùún,ñùjǔ,ñòjǔn,ñò'ò,ñùún,ñuù
NA,esférico/bola,593,round,tikwìta,tsikátsia,tsikátsia,,tílúú,NA
