IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
40	sandal	ⁿdìsà					caca11	durr1987preliminary																																																								
40	sandal	ⁿdìsà̧					xaya11	durr1987preliminary																																																								
40	sandal	ⁿdīšà̧ʔ					ayut11	durr1987preliminary																																																								
40	sandal	ⁿdǜsà					cahu11	durr1987preliminary																																																								
40	sandal	ⁿzìȼǎ					mixt11	durr1987preliminary																																																								
40	sandal	ⁿdǜsà					prog12	durr1987preliminary																																																								
43	town	ñùú					peno11	durr1987preliminary																																																								
43	town	ñù̧ú̧					coat11	durr1987preliminary																																																								
43	town	ñùù					moli11	durr1987preliminary																																																								
43	town	ñūù					ocot11	durr1987preliminary																																																								
43	town	ñūū					atat11	durr1987preliminary																																																								
43	town	ñūù					gran11	durr1987preliminary																																																								
43	town	ñō̧ò̧					caca11	durr1987preliminary																																																								
43	town	ñùù					ayut11	durr1987preliminary																																																								
43	town	ñō̧ō̧					alac11	durr1987preliminary																																																								
43	town	ñó̧ō̧					cahu11	durr1987preliminary																																																								
43	town	ñūù					mixt11	durr1987preliminary																																																								
43	town	ñūū					prog12	durr1987preliminary																																																								
43	town	ñū̧ū̧					jica11	durr1987preliminary																																																								
43	town	ñūù					chay11	durr1987preliminary																																																								
44	house	ƀèʔè					peno11	durr1987preliminary																																																								
44	house	ƀìʔì					coat11	durr1987preliminary																																																								
44	house	ƀēʔē					moli11	durr1987preliminary																																																								
44	house	ƀēʔē					ocot11	durr1987preliminary																																																								
44	house	ƀēʔē					atat11	durr1987preliminary																																																								
44	house	ƀēʔē					gran11	durr1987preliminary																																																								
44	house	ƀēʔē					caca11	durr1987preliminary																																																								
44	house	ƀēʔē					xaya11	durr1987preliminary																																																								
44	house	wìʔè					ayut11	durr1987preliminary																																																								
44	house	ƀēʔē					alac11	durr1987preliminary																																																								
44	house	ƀēʔē					metl11	durr1987preliminary																																																								
44	house	wēʔē					cahu11	durr1987preliminary																																																								
44	house	ƀēʔē					mixt11	durr1987preliminary																																																								
44	house	ƀēʔē					prog12	durr1987preliminary																																																								
44	house	ƀèʔè					jica11	durr1987preliminary																																																								
44	house	ƀēʔē					chay11	durr1987preliminary																																																								
45	road	ìčì					peno11	durr1987preliminary																																																								
45	road	īčī					moli11	durr1987preliminary																																																								
45	road	īčī					ocot11	durr1987preliminary																																																								
45	road	īčī					atat11	durr1987preliminary																																																								
45	road	īčī 					gran11	durr1987preliminary																																																								
45	road	īčí					metl11	durr1987preliminary																																																								
45	road	yīčī					cahu11	durr1987preliminary																																																								
45	road	íčì					prog12	durr1987preliminary																																																								
45	road	ìtì					jica11	durr1987preliminary																																																								
45	road	ītʸī					chay11	durr1987preliminary																																																								
47	straw mat	žùù					peno11	durr1987preliminary																																																								
47	straw mat	žūū					ocot11	durr1987preliminary																																																								
47	straw mat	žūū					atat11	durr1987preliminary																																																								
47	straw mat	žūū 					gran11	durr1987preliminary																																																								
