IDlist,GLOSS,VALUE,FORM,ID,NOTES,LOAN,LOAN_SOURCE,DOCULECT,SOURCE
174,grande.PL,na'⁴nu³,,339,,,,yolo11,amith2020yoloxochitl
175,pequeño.SG,lu³lu³,,340,,,,yolo11,amith2020yoloxochitl
176,pequeño.PL,ba⁴li⁴,,341,,,,yolo11,amith2020yoloxochitl
177,largo.SG,ka⁴ni²⁴,,342,,,,yolo11,amith2020yoloxochitl
178,largo.PL,na⁴ni²⁴,,343,,,,yolo11,amith2020yoloxochitl
179,bueno,ba'¹a³,,344,,,,yolo11,amith2020yoloxochitl
180,dulce,bi¹xi¹,,345,,,,yolo11,amith2020yoloxochitl
181,salado,u'¹ba¹,,346,,,,yolo11,amith2020yoloxochitl
182,amargo,u¹ba¹,,347,,,,yolo11,amith2020yoloxochitl
183,sabroso,ya¹sin⁴,,348,,,,yolo11,amith2020yoloxochitl
184,ancho,ndi⁴ka¹,,349,,,,yolo11,amith2020yoloxochitl
185,nuevo,xa¹⁴a³,,350,,,,yolo11,amith2020yoloxochitl
186,flojo,xu⁴xan³,,351,,,,yolo11,amith2020yoloxochitl
187,feo,ki³ni³,,352,,,,yolo11,amith2020yoloxochitl
188,celoso,kwi⁴ñu²,,353,,,,yolo11,amith2020yoloxochitl
189,cerca,ya³tin³,,354,,,,yolo11,amith2020yoloxochitl
190,lejos,xi⁴ka³,,355,,,,yolo11,amith2020yoloxochitl
191,pesado,be¹e³,,356,,,,yolo11,amith2020yoloxochitl
192,crudo,i'⁴i³,,357,,,,yolo11,amith2020yoloxochitl
193,liso,ndi³i⁴,,358,,,,yolo11,amith2020yoloxochitl
194,despacio,kwe⁴e²,,359,,,,yolo11,amith2020yoloxochitl
195,ayer,i³ku³,,360,,,,yolo11,amith2020yoloxochitl
196,año,kwi¹ya¹,,361,,,,yolo11,amith2020yoloxochitl
197,ahora,bi³tin³,,362,,,,yolo11,amith2020yoloxochitl
198,noche,ñu³u⁴²,,363,,,,yolo11,amith2020yoloxochitl
199,"de noche, toda la noche",ni³ñu²u²,,364,,,,yolo11,amith2020yoloxochitl
200,día,ki¹bi⁴,,365,,,,yolo11,amith2020yoloxochitl
201,de día,ndu³bi⁴,,366,,,,yolo11,amith2020yoloxochitl
202,mitad,sa³ba³,,367,,,,yolo11,amith2020yoloxochitl
203,dinero,xu'¹⁴un⁴,,368,,,,yolo11,amith2020yoloxochitl
204,trabajo,chi³ñu³,,369,,,,yolo11,amith2020yoloxochitl
205,palabra,tu'¹un³,,370,,,,yolo11,amith2020yoloxochitl
206,culpa,kwa¹chi³,,371,,,,yolo11,amith2020yoloxochitl
207,sueño,xa¹³ni²,,372,,,,yolo11,amith2020yoloxochitl
208,cuándo,a³ma³,,373,,,,yolo11,amith2020yoloxochitl
209,canción,ya³a²,,374,,,,yolo11,amith2020yoloxochitl
