IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE																																																								
121	humo	i¹ʔma¹					alco11	swanton2020observaciones																																																								
121	humo	ɲu²ʔma²¹					zaca11	swanton2020observaciones																																																								
121	humo	ɲu²ʔma¹					chal11	swanton2020observaciones																																																								
121	humo	ni¹ʔma¹					yucu16	swanton2020observaciones																																																								
124	jícara	jéxĩ́ʔ					prom01	swanton2020observaciones																																																								
124	jícara	ja³ʃĩ⁴					alco11	swanton2020observaciones																																																								
124	jícara	ja²ʧĩ²ʔ					zaca11	swanton2020observaciones																																																								
124	jícara	ja²ʃĩ²+³					chal11	swanton2020observaciones																																																								
124	jícara	ja³ʃi¹		tipo I			yucu16	swanton2020observaciones																																																								
127	hilo	jùʔwè					prom01	swanton2020observaciones																																																								
127	hilo	i¹ʔba¹					alco11	swanton2020observaciones																																																								
127	hilo	ju²ʔba²¹					zaca11	swanton2020observaciones																																																								
127	hilo	ju²ʔa¹					chal11	swanton2020observaciones																																																								
127	hilo	jo¹ʔo¹					yucu16	swanton2020observaciones																																																								
129	mecate	jóʔóʔ					prom01	swanton2020observaciones																																																								
129	mecate	jo³ʔo⁴					alco11	swanton2020observaciones																																																								
129	mecate	jo²ʔo²ʔ					zaca11	swanton2020observaciones																																																								
129	mecate	jo²ʔo²+³					chal11	swanton2020observaciones																																																								
129	mecate	jo³ʔo¹		tipo I			yucu16	swanton2020observaciones																																																								
134	luna	jòòʔ					prom01	swanton2020observaciones																																																								
134	luna	jo¹o⁴					alco11	swanton2020observaciones																																																								
134	luna	jo²o²¹ʔ					zaca11	swanton2020observaciones																																																								
134	luna	jo²o¹+³					chal11	swanton2020observaciones																																																								
134	luna	jo¹o¹					yucu16	swanton2020observaciones																																																								
136	rayo	táxá					prom01	swanton2020observaciones																																																								
136	rayo	ta³ʃa³					alco11	swanton2020observaciones																																																								
136	rayo	ta²ʧa²					zaca11	swanton2020observaciones																																																								
136	rayo	ta²xa²					chal11	swanton2020observaciones																																																								
136	rayo	ta²sa²					yucu16	swanton2020observaciones																																																								
139	río	jùté					prom01	swanton2020observaciones																																																								
139	río	i¹ca³					alco11	swanton2020observaciones																																																								
139	río	ju²ʧa²¹					zaca11	swanton2020observaciones																																																								
139	río	ju¹ʧa²					chal11	swanton2020observaciones																																																								
139	río	jy¹ta²					yucu16	swanton2020observaciones																																																								
140	rocío	(ʔ)-jújóʔ					prom01	swanton2020observaciones																																																								
140	rocío	ju⁴ju⁴					alco11	swanton2020observaciones																																																								
140	rocío	ju²ju²ʔ					zaca11	swanton2020observaciones																																																								
140	rocío	ju³ju³+³					chal11	swanton2020observaciones																																																								
140	rocío	jy³jo³					yucu16	swanton2020observaciones																																																								
143	piedra	jùùʔ					prom01	swanton2020observaciones																																																								
143	piedra	ju¹u⁴					alco11	swanton2020observaciones																																																								
143	piedra	ju²u²¹ʔ					zaca11	swanton2020observaciones																																																								
143	piedra	ju²u¹+³					chal11	swanton2020observaciones																																																								
143	piedra	jy¹y¹					yucu16	swanton2020observaciones																																																								
144	algodón	kàtìʔ					prom01	swanton2020observaciones																																																								
144	algodón	ka¹ʧi⁴					alco11	swanton2020observaciones																																																								
144	algodón	ka²ti²¹ʔ					zaca11	swanton2020observaciones																																																								
144	algodón	ka²ʧi¹+³					chal11	swanton2020observaciones																																																								
144	algodón	ka¹ʧi¹					yucu16	swanton2020observaciones																																																								
145	metal	ᴮ-káà					prom01	swanton2020observaciones																																																								
145	metal	ka²a²					alco11	swanton2020observaciones																																																								
145	metal	ka²a¹					zaca11	swanton2020observaciones																																																								
145	metal	ka¹a²					chal11	swanton2020observaciones																																																								
145	metal	ka¹a²					yucu16	swanton2020observaciones																																																								
146	papel	tútù					prom01	swanton2020observaciones																																																								
146	papel	tu³tu²					alco11	swanton2020observaciones																																																								
146	papel	tu²tu²					zaca11	swanton2020observaciones																																																								
146	papel	tu²tu¹					chal11	swanton2020observaciones																																																								
146	papel	ty²ti²					yucu16	swanton2020observaciones																																																								
152	rojo, colorado	ʔ-kʷéʔè					prom01	swanton2020observaciones																																																								
152	rojo, colorado	kʷa⁴ʔa²					alco11	swanton2020observaciones																																																								
152	rojo, colorado	kʷa²ʔa³					zaca11	swanton2020observaciones																																																								
152	rojo, colorado	kʷa³ʔa³					chal11	swanton2020observaciones																																																								
152	rojo, colorado	kʷa³ʔa³					yucu16	swanton2020observaciones																																																								
153	verde	ʔ-kʷììʔ					prom01	swanton2020observaciones																																																								
153	verde	kʷi⁴¹i⁴					alco11	swanton2020observaciones																																																								
153	verde	kʷi¹i¹ʔ					zaca11	swanton2020observaciones																																																								
153	verde	kʷi³i²+³					chal11	swanton2020observaciones																																																								
153	verde	kɥi³i¹					yucu16	swanton2020observaciones																																																								
154	amarillo	ʔ-kʷáã̀					prom01	swanton2020observaciones																																																								
154	amarillo	kʷa⁴ã²					alco11	swanton2020observaciones																																																								
154	amarillo	kʷa²ã³					zaca11	swanton2020observaciones																																																								
154	amarillo	kʷa³ã³					chal11	swanton2020observaciones																																																								
154	amarillo	kʷa³ã³					yucu16	swanton2020observaciones																																																								
