IDlist	GLOSS	VALUE	FORM	NOTES	LOAN	LOAN_SOURCE	DOCULECT	SOURCE
181	salada cosa como potaje	vhua					tepo01	alvarado1593vocabulario
182	amarga cosa	atu					tepo01	alvarado1593vocabulario
182	amarga cosa	huvua					tepo01	alvarado1593vocabulario
182	amarga cosa	aya					tepo01	alvarado1593vocabulario
183	sabroso	adzi		from examples			tepo01	alvarado1593vocabulario
184	ancha cosa como estera	cahi					tepo01	alvarado1593vocabulario
184	ancha cosa como estera	cono					tepo01	alvarado1593vocabulario
185	nuevo	sasaa	saa				tepo01	alvarado1593vocabulario
186	floxo por neglicencia	tay dzusa	dzusa				tepo01	alvarado1593vocabulario
186	floxo por neglicencia	tay cundu	cundu				tepo01	alvarado1593vocabulario
186	floxo por neglicencia	tay cudzy	cudzy				tepo01	alvarado1593vocabulario
186	floxo por neglicencia	tay yevua	yevua				tepo01	alvarado1593vocabulario
186	floxo por neglicencia	tay taya	taya				tepo01	alvarado1593vocabulario
187	fea cosa	sa ña huii	huii				tepo01	alvarado1593vocabulario
187	fea cosa	sandii sacuiya	cuiya				tepo01	alvarado1593vocabulario
187	fea cosa	sasitondadze					tepo01	alvarado1593vocabulario
188	celoso	tai cuiñoini	cuiño ini	swelling inside?			tepo01	alvarado1593vocabulario
189	cerca	yatni					tepo01	alvarado1593vocabulario
190	lexos	sica					tepo01	alvarado1593vocabulario
191	pesada cosa	huay					tepo01	alvarado1593vocabulario
192	cruda cosa	yehe					tepo01	alvarado1593vocabulario
193	lisa cosa	sandee	ndee				tepo01	alvarado1593vocabulario
193	lisa cosa	saadziñu	dziñu				tepo01	alvarado1593vocabulario
193	lisa cosa	sanani	nani				tepo01	alvarado1593vocabulario
194	despacio	$					tepo01	alvarado1593vocabulario
195	ayer	ycuy					tepo01	alvarado1593vocabulario
196	año	cuiya					tepo01	alvarado1593vocabulario
197	ahora, hoy	$					tepo01	alvarado1593vocabulario
198	noche	ñuu					tepo01	alvarado1593vocabulario
198	noche	niñu					tepo01	alvarado1593vocabulario
198	noche	saquaa					tepo01	alvarado1593vocabulario
199	de noche	$					tepo01	alvarado1593vocabulario
200	día	$					tepo01	alvarado1593vocabulario
201	todo el día	duvui					tepo01	alvarado1593vocabulario
202	mitad	dzavua					tepo01	alvarado1593vocabulario
203	dinero	dziñuhu dusa		maybe precious.metal money?			tepo01	alvarado1593vocabulario
204	trabajo	tniño					tepo01	alvarado1593vocabulario
205	palabra	dudzu					tepo01	alvarado1593vocabulario
206	culpa	quachi					tepo01	alvarado1593vocabulario
207	sueño	sani					tepo01	alvarado1593vocabulario
208	cuándo	amana					tepo01	alvarado1593vocabulario
209	canción o canto	yaa					tepo01	alvarado1593vocabulario
