IDjoss,CODEjoss,GLOSSenglish,GLOSSspanish,VALUE
95,ñumi,liquor,aguardiente,ⁿdiši=pulque
96,ñumi,honey,miel,ⁿduši
97,ñumi,armpit,sobaco,či šeʔe
98,ñumi,tassel,espiga,žoko
99,ñumi,people,gente,ņa̧ žiu
100,ñumi,town,pueblo,ņu̧u̧
100,ñumi,town,pueblo,y̧u̧u̧
101,ñumi,smoke,humo,y̧u̧ʔa̧
102,ñumi,eat,comer,xaa
103,ñumi,hawk,gavilán,[ši̧ʔa̧]
103,ñumi,hawk,gavilán,tasu̧
104,ñumi,truth,verdad,ⁿdixa
105,ñumi,fire,lumbre,ņu̧ʔu̧
105,ñumi,fire,lumbre,y̧u̧ʔu̧
106,ñumi,six,seis,i̧y̧u̧
106,ñumi,six,seis,i̧ņu̧
107,ñumi,fingernail,uņa,tni̧ni̧
108,ñumi,cornstalk,rastrojo,y̧a̧ma̧
109,ñumi,cornmeal,masa,žuxa̧
110,ñumi,child,hijo,seʔe
111,ñumi,"cold, phlegm",catarro,kʷeʔe kažu
112,ñumi,good,bueno,ƀaʔa
113,ñumi,because,porque,či
114,ñumi,this one,este mismo,ma̧a̧
115,ñumi,is coming,ya viene,waxi
116,ñumi,trash,basura,mi̧ʔi̧
117,ñumi,cat,gato,ƀilu
118,ñumi,prickly pear,nopal,ƀi̧ʔⁿde
119,ñumi,foot,pie,xaʔa
120,ñumi,cut,cortar,xa̧ʔⁿde
121,ñumi,fifteen,quince,ša̧ʔu̧
122,ñumi,guts,tripas,xiti
123,ñumi,ten,diez,uši
124,ñumi,cold,frío,ƀixi̧
125,ñumi,sandal,huarache,ⁿdixa̧
126,ñumi,housepot,horcón,si̧ʔi̧
127,ñumi,name,nombre,siƀi
128,ñumi,cacao,cacao,NA
129,ñumi,ear,oreja,soʔo
130,ñumi,tasty,sabroso,asi̧
131,ñumi,closed,cerrado,NA
132,ñumi,day after tomorrow,pasado mañana,(ⁿde) isa
133,ñumi,sweet,dulce,ƀiši̧
134,ñumi,now,ahora,ƀitna̧
135,ñumi,hole,agujero,žau
136,ñumi,afraid,tiene miedo,žuʔu
137,ñumi,poor,pobre,ⁿdaʔu
138,ñumi,two,dos,uu
139,ñumi,scorpion,alacrán,ti su̧ʔa̧
140,ñumi,go out,salir,kee
141,ñumi,paint,pintar,kaʔi
142,ñumi,rat,rata,tni̧ņi̧
