IDlist,GLOSS,VALUE,DOCULECT,IDjoss,CODEjoss
13,hombre,ra-yɨɨ,lore11,52,lor
13,hombre,ra-yɨɨ,mech11,52,mech
13,hombre,tʸaa,metl11,52,metl
13,hombre,tʸaa,mica11,52,mic
13,hombre,tʸaa,mixt11,52,mix
13,hombre,tēe,moli11,52,moli
13,hombre,taa,mont12,52,mont
13,hombre,tee,mont13,52,verd
13,hombre,čee,mont14,52,lobo
13,hombre,čii-žɨɨ,mont14,52,lobo
13,hombre,taa,more11,52,mor
13,hombre,čie,ndua11,52,ndua
13,hombre,tʸie,ndua11,52,ndua
13,hombre,tʸàā,nuch11,52,nuch
13,hombre,tee,nund11,52,ndac
13,hombre,tee,nund12,52,ndi
13,hombre,tee,nund13,52,ndo
13,hombre,ra-yɨɨ,nuti11,52,nuti
13,hombre,tee,nuxa11,52,nuxa
13,hombre,taa,nuxa11,52,nuxa
13,hombre,tee,nuxi11,52,nuxi
13,hombre,tèē,nuyo11,52,nuyo
13,hombre,tèē,ocot11,52,oco
13,hombre,tee,pena12,52,peña
13,hombre,téè,peno11,52,peño
13,hombre,tee,pied11,52,pied
13,hombre,rai,pino11,52,pinn
13,hombre,ra-yɨɨ,pino12,52,pinl
13,hombre,tee,prog11,52,prog
13,hombre,(ta)taa,prog12,52,silp
13,hombre,teye,prom01,52,p-mixtec
13,hombre,čàá,reye11,52,rey
13,hombre,raa,sayu11,52,sayu
13,hombre,tee,sind11,52,sind
13,hombre,tee,sini11,52,sinc
13,hombre,ȼee,soso11,52,soso
13,hombre,xa-žee,soya11,52,soy
13,hombre,či-žee,soya11,52,soy
13,hombre,tee,tama11,52,tamj
13,hombre,tàā,tama12,52,tams
13,hombre,tee,tata11,52,tata
13,hombre,čàá,teco11,52,teco
13,hombre,te-šii,teit11,52,teit
13,hombre,ña̧-čaa,tejo11,52,tejc
13,hombre,tʸaa,tepe11,52,tepj
13,hombre,rai,tepe12,52,tept
13,hombre,yee,tepo11,52,tepo
13,hombre,tai,tepo11,52,tepo
13,hombre,čee,tida11,52,tida
13,hombre,se-žɨɨ,tila11,52,til
13,hombre,tee,tlac11,52,tlac
13,hombre,ȼaa,tlac12,52,tlam
13,hombre,tee,tlal11,52,tlal
13,hombre,tee,tlaz11,52,tlaz
13,hombre,tʸaa,tona11,52,ton
13,hombre,tʸaa,toto12,52,tot
13,hombre,ra-yɨɨ,tutu11,52,tut
13,hombre,tʸaa,xaya11,52,jer
13,hombre,tʸàā,xaya12,52,xay
13,hombre,tíaa,yolo11,52,yolt
13,hombre,taa,yolo12,52,yolx
13,hombre,čaa,yoso11,52,yoso
13,hombre,tee,yucu11,52,yuca
13,hombre,tèē,yucu12,52,yuci
13,hombre,taa,yucu13,52,yucñ
13,hombre,tàā,yucu15,52,yuco
13,hombre,taa,yucu16,52,yucq
13,hombre,tee,yuta11,52,yutn
13,hombre,tee,yuta12,52,yuta
13,hombre,raa,zaca11,52,zac
13,hombre,ra-iiʔ,zaca11,52,zac
13,hombre,te-ii,zapo11,52,zap
15,dueño,čii-stoʔo,acat11,63,acat
15,dueño,ma̧a̧-ⁿdi,achi11,63,achi
15,dueño,stoʔo,ahue11,63,ahue
15,dueño,šito,alac11,63,alac
15,dueño,iš-toʔo,alco11,63,alco
15,dueño,(s)toʔo,apas11,63,apas
15,dueño,toʔo,apoa11,63,apoa
15,dueño,xi-toʔo,atat11,63,atat
15,dueño,stoʔo,aten11,63,aten
15,dueño,či-toʔo,atoy11,63,atoy
15,dueño,te-šī̧i̧ʔ-ña̧ʔa̧,ayut11,63,ayut
15,dueño,štoʔo,brav11,63,cruz
15,dueño,is-tua(ʔa),caca11,63,cac
15,dueño,na̧ʔa̧,caca11,63,cac
15,dueño,taši-ña̧ʔa̧,cahu11,63,cah
15,dueño,xi-toʔo,chal11,63,chal
15,dueño,či-toʔo,chay11,63,chay
15,dueño,ña̧ʔa̧,chaz11,63,chaz
15,dueño,toʔo,chic11,63,chic
15,dueño,štoʔo,chig11,63,chig
15,dueño,tθoʔo,coat11,63,coat
15,dueño,ma̧ʔna̧,coic11,63,coi
15,dueño,či-toʔo,colo11,63,colo
15,dueño,stoʔo,coso11,63,cos
15,dueño,štoʔo,cuat11,63,cuat
15,dueño,ži-toʔo,cuau11,63,cuau
15,dueño,toʔo,cuya11,63,cuya
15,dueño,ʔes-toʔo,dura11,63,durz
