IDlist,GLOSS,VALUE,FORM,ID,NOTES,DOCULECT,SOURCE
63,zorrillo,lírrú ka'a ye'è,,3245,,tlah11,josserand1983mixtec
63,zorrillo,,,3246,,pied12,josserand1983mixtec
63,zorrillo,,,3247,,flor12,josserand1983mixtec
63,zorrillo,kòjo yuù,,3248,,mont12,josserand1983mixtec
63,zorrillo,,,3249,,mixt11,josserand1983mixtec
64,tlacuache,xàko,,3250,,tlah11,josserand1983mixtec
64,tlacuache,xàko,,3251,,pied12,josserand1983mixtec
64,tlacuache,xàjkó,,3252,,flor12,josserand1983mixtec
64,tlacuache,sákua,,3253,,mont12,josserand1983mixtec
64,tlacuache,tsóko,,3254,,mixt11,josserand1983mixtec
65,mapache,íin ,,3255,,tlah11,josserand1983mixtec
65,mapache,má'a,,3256,,pied12,josserand1983mixtec
65,mapache,má'à,,3257,,flor12,josserand1983mixtec
65,mapache,maa,,3258,,mont12,josserand1983mixtec
66,conejo,leso,,3259,,tlah11,josserand1983mixtec
66,conejo,leso,,3260,,pied12,josserand1983mixtec
66,conejo,lèso,,3261,,flor12,josserand1983mixtec
66,conejo,isò,,3262,,mont12,josserand1983mixtec
66,conejo,lésú,,3263,,mixt11,josserand1983mixtec
67,zopilote,pe'lo,,3264,,tlah11,josserand1983mixtec
67,zopilote,tsìkǒxìjǐ,,3265,,pied12,josserand1983mixtec
67,zopilote,tsìkòxìjǐ,,3266,,flor12,josserand1983mixtec
67,zopilote,tì kàká,,3267,,mont12,josserand1983mixtec
67,zopilote,lóchí,,3268,,mixt11,josserand1983mixtec
68,perro,tìna,,3269,,tlah11,josserand1983mixtec
68,perro,tsìnâ,,3270,,pied12,josserand1983mixtec
68,perro,tsǐnâ,,3271,,flor12,josserand1983mixtec
68,perro,tìna,,3272,,mont12,josserand1983mixtec
68,perro,tǐnà,,3273,,mixt11,josserand1983mixtec
69,gato,chítu,,3274,,tlah11,josserand1983mixtec
69,gato,chújtu,,3275,,pied12,josserand1983mixtec
69,gato,chútu,,3276,,flor12,josserand1983mixtec
69,gato,chitó,,3277,,mont12,josserand1983mixtec
69,gato,vílú,,3278,,mixt11,josserand1983mixtec
69,gato,vilú,,3279,,tlah11,josserand1983mixtec
69,gato,,,3280,,pied12,josserand1983mixtec
69,gato,,,3281,,flor12,josserand1983mixtec
69,gato,{micho},,3282,,mont12,josserand1983mixtec
69,gato,,,3283,,mixt11,josserand1983mixtec
70,gallo,chéle,,3284,,tlah11,josserand1983mixtec
70,gallo,chéle,,3285,,pied12,josserand1983mixtec
70,gallo,chéle,,3286,,flor12,josserand1983mixtec
70,gallo,chéle,,3287,,mont12,josserand1983mixtec
70,gallo,tó'lo,,3288,,mixt11,josserand1983mixtec
71,gallina,ndyuxí,,3289,,tlah11,josserand1983mixtec
71,gallina,nchuxí,,3290,,pied12,josserand1983mixtec
71,gallina,nchuxi,,3291,,flor12,josserand1983mixtec
71,gallina,,,3292,,mont12,josserand1983mixtec
71,gallina,chùún,,3293,,mixt11,josserand1983mixtec
72,cerdo,kìnì,,3294,,tlah11,josserand1983mixtec
72,cerdo,kinì,,3295,,pied12,josserand1983mixtec
72,cerdo,kinì,,3296,,flor12,josserand1983mixtec
72,cerdo,ndìkochí,,3297,,mont12,josserand1983mixtec
72,cerdo,kinì,,3298,,mixt11,josserand1983mixtec
73,caballo,kwayì,,3299,,tlah11,josserand1983mixtec
73,caballo,{kuayì},,3300,,pied12,josserand1983mixtec
73,caballo,kuayì,,3301,,flor12,josserand1983mixtec
73,caballo,kuáyì,,3302,,mont12,josserand1983mixtec
73,caballo,kwa.ìì,,3303,,mixt11,josserand1983mixtec
74,borrego,levo,,3304,,tlah11,josserand1983mixtec
74,borrego,lanchi,,3305,,pied12,josserand1983mixtec
74,borrego,lanchi,,3306,,flor12,josserand1983mixtec
74,borrego,lévo,,3307,,mont12,josserand1983mixtec
74,borrego,ndikachi,,3308,,mixt11,josserand1983mixtec
75,hormiga,tyòkó,,3309,,tlah11,josserand1983mixtec
75,hormiga,tsiòkó,,3310,,pied12,josserand1983mixtec
75,hormiga,tsiòkó,,3311,,flor12,josserand1983mixtec
75,hormiga,tìkù kuaá,,3312,,mont12,josserand1983mixtec
75,hormiga,chokǒ,,3313,,mixt11,josserand1983mixtec
76,cuerno,ndikí,,3314,,tlah11,josserand1983mixtec
76,cuerno,ntsikǐn,,3315,,pied12,josserand1983mixtec
76,cuerno,ntsikǐ,,3316,,flor12,josserand1983mixtec
76,cuerno,ndikì,,3317,,mont12,josserand1983mixtec
76,cuerno,ndikǐ,,3318,,mixt11,josserand1983mixtec
77,pluma,tùmi,,3319,,tlah11,josserand1983mixtec
77,pluma,tǒmî,,3320,,pied12,josserand1983mixtec
77,pluma,tǒmî,,3321,,flor12,josserand1983mixtec
77,pluma,tòmi,,3322,,mont12,josserand1983mixtec
77,pluma,tùmì,,3323,,mixt11,josserand1983mixtec
78,ala,ndìxin,,3324,,tlah11,josserand1983mixtec
78,ala,nchìxǐn,,3325,,pied12,josserand1983mixtec
78,ala,nchìxǐn,,3326,,flor12,josserand1983mixtec
78,ala,ndìsì,,3327,,mont12,josserand1983mixtec
78,ala,ntsìtsǐ,,3328,,mixt11,josserand1983mixtec
79,cola,ndo'ó,,3329,,tlah11,josserand1983mixtec
79,cola,nto'ǒ,,3330,,pied12,josserand1983mixtec
79,cola,nto'ǒ,,3331,,flor12,josserand1983mixtec
79,cola,ndo'ò,,3332,,mont12,josserand1983mixtec
79,cola,ndo'ó,,3333,,mixt11,josserand1983mixtec
80,árbol,itú,,3334,,tlah11,josserand1983mixtec
80,árbol,ijtǔ,,3335,,pied12,josserand1983mixtec
80,árbol,ijtǔn,,3336,,flor12,josserand1983mixtec
81,hierba,yùkù,,3337,,tlah11,josserand1983mixtec
81,hierba,yùjkù,,3338,,pied12,josserand1983mixtec
81,hierba,yùjkù,,3339,,flor12,josserand1983mixtec
81,hierba,yùkù,,3340,,mont12,josserand1983mixtec
81,hierba,yùkù,,3341,,mixt11,josserand1983mixtec
82,zacate/pasto,ità,,3342,,tlah11,josserand1983mixtec
82,zacate/pasto,ijtsiâ,,3343,,pied12,josserand1983mixtec
82,zacate/pasto,ijtsià,,3344,,flor12,josserand1983mixtec
82,zacate/pasto,ityà,,3345,,mont12,josserand1983mixtec
82,zacate/pasto,ichà,,3346,,mixt11,josserand1983mixtec
83,flor,ita,,3347,,tlah11,josserand1983mixtec
83,flor,ijtâ,,3348,,pied12,josserand1983mixtec
83,flor,ita,,3349,,flor12,josserand1983mixtec
83,flor,ítà,,3350,,mont12,josserand1983mixtec
83,flor,ità,,3351,,mixt11,josserand1983mixtec
84,maguey,yaví,,3352,,tlah11,josserand1983mixtec
84,maguey,yavǐ,,3353,,pied12,josserand1983mixtec
