"ID"	"DOCULECT"	"CONCEPT"	"GLOSS"	"VALUE"	"FORM"	"IDlist"	"CONCEPTICON_ID"	"LOAN"	"LOAN_SOURCE"	"SOURCE"	"FLOATTONE"	"VARIETY_CODE"
475	"AyutlalosLibresMixtec"	"ROOT"	"root"	"tyoho"	"tyoho"	85	670	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
476	"AyutlalosLibresMixtec"	"THORN"	"thorn"	"in̄uh"	"in̄uh"	86	124	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
477	"AyutlalosLibresMixtec"		"corn kernel"	"nūnih"	"nūnih"	87		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4717	"AyutlalosLibresMixtec"	"CORN"	"corn"	"nūnìʔ"	"nūnìʔ"	87	506	"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
10454	"AyutlalosLibresMixtec"	"CORN"	"maíz"	"nu̧ni̧"	"nu̧ni̧"	87	506	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
478	"AyutlalosLibresMixtec"		"cornfield, corn plant"	"itu"	"itu"	88		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
10577	"AyutlalosLibresMixtec"	"CORN FIELD"	"milpa"	"iʰtu"	"iʰtu"	88	449	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
479	"AyutlalosLibresMixtec"		"fresh ear of corn"	"niih"	"niih"	89		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
480	"AyutlalosLibresMixtec"		"corn dough, tortilla dough"	"ishānh"	"ishānh"	91		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
10693	"AyutlalosLibresMixtec"	"CORN DOUGH"	"masa"	"išaʔ"	"išaʔ"	91		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
481	"AyutlalosLibresMixtec"	"TORTILLATORTILLA"	"tortilla"	"shītah"	"shītah"	92		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4731	"AyutlalosLibresMixtec"	"TORTILLATORTILLA"	"tortilla"	"štā ̀ʔ"	"štā-̀ʔ"	92		"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
10816	"AyutlalosLibresMixtec"	"TORTILLATORTILLA"	"tortilla"	"šitaʔ"	"šitaʔ"	92		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
10939	"AyutlalosLibresMixtec"	"CORN STALK"	"rastrojo"	"ñā̧ma̧"	"ñā̧ma̧"	93		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
482	"AyutlalosLibresMixtec"		"furrow, planting row"	"yūkun"	"yūkun"	94		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
11030	"AyutlalosLibresMixtec"		"surco"	"yūku̧"	"yūku̧"	94		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
11116	"AyutlalosLibresMixtec"		"espiga"	"yōʰkoʔ"	"yōʰkoʔ"	95		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
483	"AyutlalosLibresMixtec"	"BEAN"	"bean"	"nduchīh"	"nduchīh"	96	832	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4745	"AyutlalosLibresMixtec"		"beans"	"ⁿdùčíʔ"	"ⁿdùčíʔ"	96		"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
11209	"AyutlalosLibresMixtec"		"frijol(es)"	"ⁿdučiʔ"	"ⁿdučiʔ"	96		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
11324	"AyutlalosLibresMixtec"		"ejote"	"ⁿdiči"	"ⁿdiči"	97		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
484	"AyutlalosLibresMixtec"	"CHILI PEPPER"	"chili pepper"	"yahāh"	"yahāh"	98	919	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
485	"AyutlalosLibresMixtec"	"SALT"	"salt"	"īīnh"	"īīnh"	99	1274	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
11414	"AyutlalosLibresMixtec"	"SALT"	"sal"	"i̧i̧ʔ"	"i̧i̧ʔ"	99	1274	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
11536	"AyutlalosLibresMixtec"	"PUMPKIN"	"calabaza"	"iki̧ʔ"	"iki̧ʔ"	100	864	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
11650	"AyutlalosLibresMixtec"	"SUGAR CANE"	"caña"	"ⁿdooʔ"	"ⁿdooʔ"	102	146	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
11766	"AyutlalosLibresMixtec"	"HONEY"	"miel"	"ñu̧ñu̧ʔ"	"ñu̧ñu̧ʔ"	103	942	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
486	"AyutlalosLibresMixtec"	"EGG"	"egg"	"ndīvih"	"ndīvih"	105	744	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
11892	"AyutlalosLibresMixtec"		"blanquillo, huevo"	"ⁿdiwiʔ"	"ⁿdiwiʔ"	105		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
487	"AyutlalosLibresMixtec"	"TOMATO"	"tomato"	"tinanah"	"ti-nanah"	106	986	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
12011	"AyutlalosLibresMixtec"	"TOMATO"	"jitomate"	"ti-na̧na̧ʔ"	"ti-na̧na̧ʔ"	106	986	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
488	"AyutlalosLibresMixtec"	"AVOCADO"	"avocado"	"tichīh"	"tichīh"	108	3725	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
489	"AyutlalosLibresMixtec"	"BANANA"	"banana"	"chītya"	"chītya"	109	868	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
12099	"AyutlalosLibresMixtec"	"PRICKLY PEAR CACTUS"	"nopal"	"vī̧ʔⁿdʸa"	"vī̧ʔⁿdʸa"	110		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
12186	"AyutlalosLibresMixtec"	"MAMEYMAMEY"	"mamey"	"ⁿdīʰkāʔ"	"ⁿdīʰkāʔ"	111		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
490	"AyutlalosLibresMixtec"	"MEAT"	"meat"	"ndeih"	"ndeih"	114	2615	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
12277	"AyutlalosLibresMixtec"	"MEAT"	"carne"	"ku̧ñu"	"ku̧ñu"	114	2615	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
12398	"AyutlalosLibresMixtec"	"GRIDDLE"	"comal"	"šiyoʔ"	"šiyoʔ"	115		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
491	"AyutlalosLibresMixtec"		"clay pot"	"kisi"	"kisi"	116		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
4792	"AyutlalosLibresMixtec"		"clay pot"	"kìsì"	"kìsì"	116		"NA"	"NA"	"durr1987preliminary"	"NA"	"ayut11"
12519	"AyutlalosLibresMixtec"	"COOKING POT"	"olla"	"kisi"	"kisi"	116	3653	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
492	"AyutlalosLibresMixtec"	"FIRE"	"fire"	"nūhu"	"nūhu"	118	221	"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
12719	"AyutlalosLibresMixtec"		"lumbre"	"ñū̧ʔu̧"	"ñū̧ʔu̧"	118		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
12838	"AyutlalosLibresMixtec"	"SMOKE (EXHAUST)"	"humo"	"ñū̧ʔma̧"	"ñū̧ʔma̧"	121	778	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
493	"AyutlalosLibresMixtec"		"garbage, trash"	"mihīh"	"mihīh"	122		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
12961	"AyutlalosLibresMixtec"	"GARBAGE"	"basura"	"mi̧ʔi̧"	"mi̧ʔi̧"	122	909	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
494	"AyutlalosLibresMixtec"		"gourd, gourd bowl"	"yashīnh"	"yashīnh"	124		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
13057	"AyutlalosLibresMixtec"	"GOURD BOWL"	"jícara"	"yaši̧ʔ"	"yaši̧ʔ"	124		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
495	"AyutlalosLibresMixtec"		"box"	"shātunh"	"shātunh"	126		"NA"	"NA"	"hills1990syntactic"	"NA"	"ayut11"
13182	"AyutlalosLibresMixtec"	"BOX OR CHEST"	"cajón"	"šāʰty"	"šāʰty"	126	1592	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
13290	"AyutlalosLibresMixtec"		"hilo"	"yuʔƀa"	"yuʔƀa"	127		"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
13407	"AyutlalosLibresMixtec"	"COMB"	"peine"	"vīʰka"	"vīʰka"	128	1475	"NA"	"NA"	"josserand1983mixtec"	"NA"	"ayut11"
