Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^l	l	lo'o, láxa	pena11, tlah11, flor12, prog12, mont12, alac11, jica13, coat11, pied12, atat11, xoch11, colo11, ocot11, mixt11, diux11, jami11, ayut11, yoso11, peno11, chay11, jica11, tepe03, caca11, zaca11, gran11, chic12, cahu11, yolo11, papa11, abas11, moli11	100	U+005e U+006c
í	í	shíká, tiín	diux11, prog12, coat11, alac11, ocot11, abas11, chic02, peno11, conc11, jica11, gran11, ayut11, yoso11, mixt11, jami11, tlah11, caca11, atat11, flor12	100	U+00ed
aa$	aa	yaa, tʸaa	tepo01, chic02, chay11, tepe03, abas11, zaca11, ayut11, mont12, jica13, yoso11, alac11, xoch11, prog12, atat11, jami11, tlah11, colo11, mixt11, pena11, juxt11, more11, tejo11, toto12, tona11, flor11, tlac12, flor12, esta11, tepe11, cahu11, nuxa11, aten11, chal11, coso11, ocot11, sayu11, chay12, cuat11, chaz11, metl11, amat11, pied12, brav11, ixpa11, mica11, ixta13, diux11, alco11	100	U+0061 U+0061 U+0024
^w	w	weʔe, wilu	cahu11, prom01, ayut11, yucu11, copa11, sind11, nuxa11, pied11, apas11, tida11, teit11, alco11, tama11, ixta12, chic11, cuya11, este11, coso11, lore11, sayu11, cuat11, chaz11, cuil11, tepo11, soya11, mech11, brav11, cuau11, huaz11, joco11, atoy11, juxt11, tila11, tepe12, tlaz11, caca11, tona11, chig11, apoa11, tepe11, yolo12, zapo11, acat11, soso11, chay11, tutu11, huit11	100	U+005e U+0077
ch	ch	tichí, kwachī	abas11, tepo01, yolo11, diux11, chic02, prog12, alac11, copa11, ocot11, jami11, yoso11, conc11, ayut11	100	U+0063 U+0068
³	³	ca³'a³-yi³ndi³tu³, i³ta²	yolo11, papa11, copa11	100	U+00b3
ɨ$	ɨ	ⁿdɨʔyɨ, čɨtɨ	chay11, atat11, colo11, diux11, jami11, yoso11, coat11, tlaz11, pino12, tama11, itun11, ixta11, cuya11, nuyo11, acat11, yolo11, lore11, mont13, prom01, sind11, tutu11, mech11, cuau11, huaz11, cris11, tila11, tata11, pied11, chal11, este11, chay12, yucu11, nuti11, yuta12, yuta11, huit11	100	U+0268 U+0024
kʷ	kʷ	ⁿdakʷa, lakʷa	prom01, esta11, peno11, soya11, ixpa11, cahu11, ixta12, alco11, chic11, ayut11, tepe12, tejo11, tata11, caca11, chig11, atat11, nund12, aten11, mont12, nund13, ixta11, tama12, este11, coso11, chay11, mont13, achi11, tepo11, brav11, mica11, atoy11, nund11, huit11, juxt11, mont14, jate11, jami11, pied11, yucu16, apas11, acat11, coxc11, ocot11, coat11, sayu11, coic11, jica12, cuat11, chaz11, teit11, nuti11, cuau11, pino11, apoa11, tama11, gran11, tepe11, colo11, chal11, dura11, nuyo11, ndua11, reye11, teco11, ahue11, joco11, cuil11, cris11, more11, jica11, pino12, nuxi11, itun11, nuxa11, cuya11, lore11, mixt11, pena12, adeq11, moli11, amat11, mech11, ixta13, diux11	100	U+006b U+02b7
í$	í	tichí, kání	diux11, ocot11, prog12, alac11, coat11, jica11, peno11, jami11, tlah11, gran11, conc11, metl11, ayut11, cahu11, mixt11, chay11, moli11, caca11, atat11, mont12, yoso11, xaya11	100	U+00ed U+0024
³$	³	nii³, chi³du³	copa11, yolo11, papa11	100	U+00b3 U+0024
