Grapheme	IPA	CLASS	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^tʃ	tʃ	C	tʃi²ʰ, tʃi²ʔ	chic12	2	U+005e U+0074 U+0283
^ʧ	ʧ	C	ʧi⁴¹ĩ⁴, ʧi³ɲu³	zaca11, yucu16, alco11	8	U+005e U+02a7
ch	tʃ	C	tichí, kwachī	abas11, tepo01, yolo11, diux11, chic02, prog12, alac11, copa11, ocot11, jami11, yoso11, conc11, ayut11	100	U+0063 U+0068
tʃ	tʃ	C	si³ɡa²tʃi³, ʃu³tʃe³²	chic12	4	U+0074 U+0283
ʧ	ʧ	C	kʷa¹ʧi², i³ʧi¹	zaca11, chal11, alco11, yucu16	19	U+02a7
^čč	tʃː	C	ččio	xaya12	1	U+005e U+010d U+010d
^čʸ	tʃʲ	C	čʸei, čʸo̧o̧	reye11, ndua11	2	U+005e U+010d U+02b8
tw	tw	C	đitwi	tlal11	1	U+0074 U+0077
^ȼ̣	ʈʂ	C	ȼ̣i-đi̧ʔi̧, ȼ̣eye	guad11	8	U+005e U+023c U+0323
^ʈʂ	ʈʂ	C	ʈʂa³, ʈʂũ³⁵	chic12	7	U+005e U+0288 U+0282
ȼ̣	ʈʂ	C	yuȼ̣a	guad11	1	U+023c U+0323
ʈʂ	ʈʂ	C	ʃi³ʈʂi³ˀ, ʃi³ʈʂo³²ʰ	chic12	8	U+0288 U+0282
^ȼ̣ʸ	ʈʂʲ	C	ȼ̣ʸàa	guad11	1	U+005e U+023c U+0323 U+02b8
^vh	vh	C	vhua	tepo01	1	U+005e U+0076 U+0068
^vs	vs	C	vsa	tepo01	1	U+005e U+0076 U+0073
^vv	vv	C	vvui	tepo01	1	U+005e U+0076 U+0076
^w	w	C	weʔe, wilu	cahu11, prom01, ayut11, yucu11, copa11, sind11, nuxa11, pied11, apas11, tida11, teit11, alco11, tama11, ixta12, chic11, cuya11, este11, coso11, lore11, sayu11, cuat11, chaz11, cuil11, tepo11, soya11, mech11, brav11, cuau11, huaz11, joco11, atoy11, juxt11, tila11, tepe12, tlaz11, caca11, tona11, chig11, apoa11, tepe11, yolo12, zapo11, acat11, soso11, chay11, tutu11, huit11	100	U+005e U+0077
^w̃	w	C	w̃i̧ʔi̧	tida11	1	U+005e U+0077 U+0303
°	ʷ	C	k°aʔa, k°iya	chic11, jami11	2	U+00b0
w	w	C	yawi, yuwi	prom01, ayut11, copa11, tepe12, chig11, cahu11, alco11, apas11, coso11, chay11, cuat11, chaz11, brav11, cuau11, atoy11, tona11, itun11, tepe11, yolo12, chic11, cuya11, zapo11, acat11, huit11, lore11, sayu11, tepo11, mech11, huaz11, cris11, toto12, caca11, tama11, ixta12, nuxa11, pied11, colo11, tida11, alac11, yucu11, teit11, soya11, tutu11, xaya12, mica11, pino11, joco11, pena11, cuil11	100	U+0077
w̃	w	C	ña̧w̃a̧	tida11	1	U+0077 U+0303
^wː	wː	C	wːe³⁵, wːi¹³	chic12	4	U+005e U+0077 U+02d0
^xʸ	xʲ?	C	xʸèʔè, xʸa̧ʔū̧	nuyo11, mont13, yucu12, itun11, gran11, yoso11	6	U+005e U+0078 U+02b8
hʸ	xʲ?	C	ti-hʸa̧ʔa̧	aten11	1	U+0068 U+02b8
xʸ	xʲ?	C	uxʸa, nì̧xʸà̧	itun11, huit11, prog11, yucu12, nuyo11, pied11, mont13, cuau11, yuta11	15	U+0078 U+02b8
^xʷ	xʷ?	C	xʷa̧a̧, xʷi̧ñi̧	huit11, pied11, tama11, yuta11, cuil11	9	U+005e U+0078 U+02b7
xʷ	xʷ?	C	či-xʷȩñi̧, kɨtɨxʷi̧ʔna̧	tama11, pied11, huit11	3	U+0078 U+02b7
^yy	yː	C	yyaj⁵⁴, yyatan	chic12, papa11, chic02	4	U+005e U+0079 U+0079
^z	z	C	zutu, zavi	chay11, copa11	14	U+005e U+007a
^ž̯	ʐ	C	ž̯íkì	teco11	1	U+005e U+017e U+032f
^ẓ̌	ʐ	C	ẓ̌ute	yucu11	1	U+005e U+1e93 U+030c
^ž̩	ʑ	C	ž̩úú, ž̩utu	ixta12	8	U+005e U+017e U+0329
ž	ʒ	C	težu, ⁿdɨʔžɨ	nuch11, prog12, yucu15, gran11, pied11, peno11, sind11, tlaz11, tlac11, tama11, este11, yucu11, ahue11, moli11, ixpa11, cuau11, yuta12, yucu12, jate11, caca11, esta11, nuxa11, aten11, tama12, chal11, yoso11, yolo11, ocot11, soya11, huit11, cris11, tila11, mont14, atat11, mont12, nund13, apas11, achi11, adeq11, reye11, yuta11, diux11, sini11, cuil11	100	U+017e
^ž	ʒ	C	žuʔu, žùkù	atat11, gran11, peno11, prog12, caca11, moli11, ocot11, diux11, cuau11, juxt11, cris11, yucu15, apoa11, ixta12, aten11, chic11, apas11, chal11, este11, dura11, achi11, ahue11, ixpa11, huit11, cuil11	100	U+005e U+017e
^ʒ	ʒ	C	ʒu³wi³ʰ, ʒu³we³ʰ	chic12	3	U+005e U+0292
'	ʔ	C	ku'¹ba³, và'a			U+0027
'$	ʔ	C	xu'un', yo'ó'	zaca11, metl11	9	U+0027 U+0024
^ʔ	ʔ	C	ʔìvì, ʔiti	yucu15, prom01, yucu12, nuyo11, teco11, reye11, tama12, coic11, ahue11, dura11, ixpa11, tlac12, aten11, yucu13, guad11, nuch11, ocot11, prog11, prog12, cris11, coxc11, peno11, achi11	100	U+005e U+0294
ʔ	ʔ	C	kùʔù, sèʔē	atat11, gran11, peno11, prog12, moli11, cahu11, metl11, ocot11, caca11, coat11, xaya11, diux11, mixt11, jica11, chay11, alac11, ayut11	100	U+0294
ʔ$	ʔ	C	ⁿdiča̧ʔ, nɨyi̧ʔ	prom01, zaca11, ayut11, tepe12, tejo11, jica11, ixta11, sayu11, pino12, jica12, atoy11	100	U+0294 U+0024
̀ʔ$	̀ʔ	C	štā-̀ʔ	ayut11	1	U+0300 U+0294 U+0024
ʔʸ	ʔʲ	C	ʔiʔʸa	aten11	1	U+0294 U+02b8
^ˀᵑ	ˀᵑ	C	ˀᵑɡo¹³ʰ	chic12	1	U+005e U+02c0 U+1d51
ƀ	β	C	žiƀi, saʔƀa	prog12, coat11, jica11, metl11, mixt11, chay11, alac11, cris11, atat11, esta11, juxt11, gran11, jami11, mont12, ixta11, jica12, xaya11, moli11, more11, tejo11, yucu15, pino12, flor11, tlac12, zaca11, itun11, tlal11, nund12, aten11, nund13, yucu16, tama12, colo11, chal11, nuch11, dura11, nuyo11, ocot11, peno11, chay12, prog11, coic11, mont13, teco11, yucu13, ahue11, nuti11, amat11, guad11, ixpa11, mica11, yucu12, sini11, cuil11	100	U+0180
^v	β	C	ve'e, và'a	tlah11, diux11, abas11, alac11, ayut11, pied12, yoso11, flor12, prog12, mont12, mixt11, coat11, ocot11, jami11, tepo01, conc11	100	U+005e U+0076
^ƀ	β	C	ƀeʔe, ƀàʔā	prog12, gran11, peno11, caca11, coat11, alac11, xaya11, metl11, moli11, jica11, atat11, mixt11, chay11, ocot11, diux11, cris11, more11, jate11, tejo11, tlac11, pino12, nuxi11, tata11, flor11, itun11, jami11, esta11, nund12, mont12, nund13, ixta11, chal11, coxc11, pena12, chay12, achi11, mont13, adeq11, jica12, prog11, ndua11, nuti11, amat11, mica11, pino11, ixta13, sini11, nund11	100	U+005e U+0180
b	β	C	iba, u¹bi¹	yolo11, tepe03, zaca11, alco11, colo11, tlal11, nund12, toto12, xoch11	47	U+0062
v	β	C	ndivi, uvi	coat11, alac11, tepo01, ayut11, prog12, abas11, jami11, tlah11, mont12, ocot11, flor12, pied12, conc11, yoso11, mixt11, diux11	100	U+0076
^vʸ	βʲ	C	vʸeʔɛ	ayut11	1	U+005e U+0076 U+02b8
^θ	θ	C	θiko, θütü	esta11, tama12, ahue11, yucu16, chal11, ndua11, prog12, tila11, chay11, cuau11	36	U+005e U+03b8
θ	θ	C	ƀiθi, ku̧u̧-θaƀi	ahue11, tama12, esta11, coat11, yucu16, reye11	24	U+03b8
θʸ	θʲ	C	ⁿdi-θʸa̧ʔa̧, la-θʸa̧ʔa̧	ahue11, tama12	2	U+03b8 U+02b8
.	.	other	ī̧ì̧.ī̧, kwa.ìì	mixt11, metl11	2	U+002e
 	+	other	đo̧ʔno̧ kʷiši, ⁿdi ñu̧u̧	zaca11, tlah11, chic11, chay11, colo11, pino11, jami11	8	U+00a0
_	+	other	đo̧ʔno̧ kʷiši, ⁿdi ñu̧u̧	zaca11, tlah11, chic11, colo11, pino11, jami11	7	U+005f
-	+	other	sani-sa-nuu-sichi, ndī-kāchī	tepo01, ocot11, jami11, yolo11, prog12, copa11, alac11, diux11, coat11, ayut11, chic02, abas11, yoso11, conc11, gran11	100	U+002d
=	+	other	te²=a²ma², ⁿdí=ʔ²-kʷéjṍ	chal11, prom01	2	U+003d
·	ː	other	i̧·ñu̧, ñu̧·a̧	tlal11, nund13, coxc11	3	U+00b7
^	NULL	other				
^̠$	NULL	other	̠	xoch11	1	U+005e U+0320 U+0024
$	NULL	other				
ⁿ$	NULL	other	či̧i̧ⁿ, i̧i̧ⁿ	diux11, coso11, xaya11, mont14	4	U+0069 U+0327 U+207f U+0024
ⁿ$	NULL	other	kaxo̧ⁿ	mica11	1	U+006f U+0327 U+207f U+0024
ⁿ$	NULL	other	yutu̧ⁿ, ko̧u̧ⁿ	nund13, coso11, coxc11	3	U+0075 U+0327 U+207f U+0024
`	¹	T	ⁿdī`čī	yucu15	1	U+0060
`$	¹	T	tù̧mī̧`	yucu15	1	U+0060 U+0024
^ᴮ	¹	T	ᴮ-tówĩ̀, ᴮ-kójõ̀	prom01	5	U+005e U+1d2e
¹	¹	T	ti¹ĩ¹ʔ, ni¹i⁴	yolo11, papa11, yucu16, alco11, chal11, zaca11, prom01	100	U+00b9
¹$	¹	T	xi¹kun¹, ʃi¹tũ¹	yolo11, copa11, yucu16, chal11, papa11, alco11, zaca11	100	U+00b9 U+0024
¹³	¹³	T	xa¹³ni²	yolo11	1	U+00b9 U+00b3
¹³$	¹³	T	nuhwe¹³, ri³kix¹³	copa11, chic12, yolo11	9	U+00b9 U+00b3 U+0024
¹³ʰ$	¹³ʰ	T	ˀᵑɡo¹³ʰ, ja¹³ʰ	chic12	2	U+00b9 U+00b3 U+02b0 U+0024
¹⁴	¹⁴	T	nu¹⁴u³, i³che¹⁴nu³	yolo11, papa11	7	U+00b9 U+2074
¹⁴$	¹⁴	T	cua¹⁴, da²cu¹⁴	papa11	9	U+00b9 U+2074 U+0024
¹ʰ$	¹ʰ	T	tna⁴kɨ̃¹ʰ, na³to³²-ro²ʔo¹ʰ	chic12	6	U+00b9 U+02b0 U+0024
¹ˀ	¹ˀ	T	wa¹ˀnĩ³, ne³²-ri¹ˀi¹	chic12	3	U+00b9 U+02c0
¹ˀ$	¹ˀ	T	ɡa³tsi¹ˀ, a³nĩ¹ˀ	chic12	10	U+00b9 U+02c0 U+0024
²	²	T	i²ʃi²ʔ, te²=a²ma²	papa11, zaca11, chal11, yolo11, yucu16, alco11	100	U+00b2
²$	²	T	ndi³chi², i³ta²	yolo11, papa11, copa11, chal11, yucu16, zaca11, alco11, prom01	100	U+00b2 U+0024
²¹	²¹	T	ka²ti²¹ʔ, ⁿdi²ʧã²¹ʔ	zaca11	8	U+00b2 U+00b9
²¹$	²¹	T	ju²ku²¹, u²bi²¹	zaca11	16	U+00b2 U+00b9 U+0024
²³⁴$	²³⁴	T	yi²ta²³⁴	papa11	1	U+00b2 U+00b3 U+2074 U+0024
²⁴$	²⁴	T	y'en²⁴, yu⁴quien²⁴	papa11, yolo11	14	U+00b2 U+2074 U+0024
²ʰ$	²ʰ	T	da²ʔa²ʰ, tʃi²ʰ	chic12	3	U+00b2 U+02b0 U+0024
³	³	T	ca³'a³-yi³ndi³tu³, i³ta²	yolo11, papa11, copa11	100	U+00b3
³$	³	T	nii³, chi³du³	copa11, yolo11, papa11	100	U+00b3 U+0024
³¹$	³¹	T	nːĩ³¹, nii³¹	copa11, chic12	13	U+00b3 U+00b9 U+0024
³²	³²	T	na³to³²-ro²ʔo¹ʰ, da³ˀnĩ³²-ta³ˀu³²	chic12	5	U+00b3 U+00b2
³²$	³²	T	ʃu³tʃe³², mːĩ³²	chic12, copa11, yolo11, papa11	64	U+00b3 U+00b2 U+0024
³²ʰ$	³²ʰ	T	ma³tsi³²ʰ, mã²ja³²ʰ	chic12	21	U+00b3 U+00b2 U+02b0 U+0024
³⁴	³⁴	T	i³t-cu³⁴chi⁴, nne³⁴-ri'i'⁴	papa11, chic12	2	U+00b3 U+2074
³⁴$	³⁴	T	ca³⁴, gu'man³⁴	chic12	13	U+00b3 U+2074 U+0024
³⁴²$	³⁴²	T	nã³⁴², ta³⁴²	chic12	2	U+00b3 U+2074 U+00b2 U+0024
³⁵$	³⁵	T	xutu⁴-güi³⁵, da³ki³⁵	chic12	23	U+00b3 U+2075 U+0024
³ʰ$	³ʰ	T	kʷe³ʰ, a³ko³ʰ	chic12	25	U+00b3 U+02b0 U+0024
³ˀ	³ˀ	T	du³ˀwi³, da³ˀnĩ³²-ta³ˀu³²	chic12	31	U+00b3 U+02c0
³ˀ$	³ˀ	T	ʃi³ʈʂi³ˀ, ʃi³nũ³ˀ	chic12	22	U+00b3 U+02c0 U+0024
⁴	⁴	T	'i⁴yan⁴-chin²-ye⁴'en⁴, nu⁴ni⁴-d'i²v'i³yu³	papa11, yolo11, alco11, chic12	100	U+2074
⁴$	⁴	T	ñu¹ñu⁴, ndo'¹o⁴	yolo11, copa11, papa11	100	U+2074 U+0024
⁴¹	⁴¹	T	kʷi⁴¹i⁴, ʧi⁴¹ĩ⁴	alco11	3	U+2074 U+00b9
⁴²$	⁴²	T	ñu³u⁴², ta¹kwi⁴²	yolo11	2	U+2074 U+00b2 U+0024
⁴³	⁴³	T	cu⁴³-yi³nun³-ta̠³'a̠⁴	papa11	1	U+2074 U+00b3
⁴³$	⁴³	T	ga⁴³, xiquïn⁴³	papa11, chic12	8	U+2074 U+00b3 U+0024
⁴⁵	⁴⁵	T	da'ni⁴⁵-xano'⁵, da'ni⁴⁵-sna'u'⁴	chic12	2	U+2074 U+2075
⁴⁵$	⁴⁵	T	a'i⁴⁵, da'ni⁴⁵	chic12	2	U+2074 U+2075 U+0024
⁴ʰ$	⁴ʰ	T	a³tsi⁴ʰ, du³gᵂã³ˀã⁴ʰ	chic12	2	U+2074 U+02b0 U+0024
⁵	⁵	T	atsij⁵i, ni'⁴⁵-huaj³	chic12	5	U+2075
⁵$	⁵	T	chruun⁵, mii⁵	copa11, chic12	26	U+2075 U+0024
⁵³$	⁵³	T	nia⁵³, gui'yo⁵³	chic12	12	U+2075 U+00b3 U+0024
⁵⁴$	⁵⁴	T	yyaj⁵⁴	chic12	1	U+2075 U+2074 U+0024
ã	ã	T	j̃ã³ˀã³², rã³ˀã³	chic12, zaca11, alco11, chal11, yucu16	53	U+00e3
a̧ⁿ$	ã	T	kʷa̧a̧ⁿ	mont12	1	U+0061 U+0327 U+207f U+0024
A	ḁ	T	sA-kʷaa	nuch11	1	U+0041
aʰ	ḁ	T	šaʰtu	ayut11	1	U+0061 U+02b0
^à	a ¹	T	àđì, ànjìn	mont12, xaya12	2	U+005e U+00e0
à	a ¹	T	ƀàʔā, kàā	coat11, metl11, mixt11, ayut11, prog12, peno11, caca11, abas11, moli11, xaya11, chay11, atat11, gran11, ocot11, jica11, alac11, diux11, cahu11	100	U+00e0
a̠	a ¹	T	va̠'a, ta̠a	alac11, jica13, xoch11, papa11, yuta13, zaca11	80	U+0061 U+0320
à$	a ¹	T	šàʔà, ītà	prog12, gran11, caca11, mixt11, ayut11, mont12, chay11, peno11, atat11, ocot11, alac11, xaya11, moli11, jica11, flor12, abas11, pied12, cahu11, coat11, metl11, diux11	100	U+00e0 U+0024
a̠$	a ¹	T	kui̠ya̠, u̠xa̠	yuta13, alac11, jica13, xoch11	56	U+0061 U+0320 U+0024
à̧	ã ¹	T	ñà̧mà̧, kʷà̧á̧	ocot11, xaya12, nuyo11, peno11, yucu12, yucu15, jica11, aten11, nuch11, prog12, caca11, ayut11, tama12, dura11, coat11, xaya11, teco11, ahue11, guad11, diux11	37	U+00e0 U+0327
à̧$	ã ¹	T	ñà̧mà̧, ʔù̧nà̧	xaya12, ocot11, nuyo11, yucu12, yucu15, peno11, nuch11, xaya11, prog12, aten11, alac11, teco11, metl11, jica11, caca11, gran11, dura11, coat11, mixt11, coic11, ahue11, moli11, ixpa11	63	U+00e0 U+0327 U+0024
ã̀$	ã ¹	T	ʔ-kʷáã̀	prom01	1	U+00e3 U+0300 U+0024
ǎ	a ¹⁵	T	tàjtǎn, tsiǎà	pied12, mixt11, flor12, yucu17, jica13	24	U+01ce
ǎ$	a ¹⁵	T	nañǎ, sa'mǎ	yucu17, mixt11, pied12, flor12, coat11, ahue11, teit11, tlah11	54	U+01ce U+0024
^ā	a ³	T	āmā	alac11, conc11	2	U+005e U+0101
ā	a ³	T	ñānī, nāná	ayut11, conc11, yoso11, prog12, ocot11, alac11, jami11, coat11, diux11, cahu11	100	U+0101
ā$	a ³	T	kʷàʔā, sāvā	prog12, alac11, yoso11, conc11, ocot11, jami11, coat11, metl11, gran11, cahu11, moli11, atat11, xaya11, diux11, mixt11, chay11, ayut11	100	U+0101 U+0024
ā̧	ã ³	T	ñā̧nī̧, ñā̧ʔā̧	ocot11, nuyo11, yucu12, yucu15, xaya12, moli11, mixt11, xaya11, atat11, teco11, gran11, nuch11, ayut11	24	U+0101 U+0327
ā̧$	ã ³	T	ƀītā̧, ñā̧ʔā̧	gran11, nuyo11, ocot11, atat11, moli11, xaya12, yucu12, metl11, jica11, tama12, alac11, caca11, teco11	30	U+0101 U+0327 U+0024
^á	a ⁵	T	ámá, ási	abas11, coat11, huen11, colo11, prom01, jami11	6	U+005e U+00e1
á	a ⁵	T	kwáhá, nánī	diux11, prog12, alac11, ocot11, yoso11, chic02, conc11, ayut11, gran11, abas11, coat11, peno11, caca11, jami11	100	U+00e1
á$	a ⁵	T	kʷáʔá, kwáhá	diux11, coat11, prog12, alac11, peno11, ocot11, yoso11, mixt11, jica11, gran11, ayut11, jami11, cahu11, xaya11, abas11, caca11, atat11, chic02, chay11, conc11, metl11	100	U+00e1 U+0024
á̧	ã ⁵	T	ná̧ʔví, kʷá̧ñù̧	yucu15, nuyo11, peno11, prog12, mixt11, tama12, yucu12, coic11, atat11	16	U+00e1 U+0327
á̧$	ã ⁵	T	kʷà̧á̧, ñù̧má̧	peno11, yucu15, coat11, nuch11, ocot11, mixt11, xaya12, alac11, caca11, coic11, xaya11, diux11, metl11	24	U+00e1 U+0327 U+0024
ã́$	ã ⁵	T	áwã́	prom01	1	U+00e3 U+0301 U+0024
â	a ⁵¹	T	kâní, yâá	chic02, peno11, xoch11, jica13, tlah11, mixt11, yucu15, flor12	21	U+00e2
â$	a ⁵¹	T	tsaâ, tsikâ	diux11, pied12, flor12, coat11, nuyo11, mixt11, yucu17	20	U+00e2 U+0024
â̧	ã ⁵¹	T	škʷâ̧ñū̧, kʷâ̧á̧	peno11, ocot11	2	U+00e2 U+0327
^a	*/a/a ³/a ¹	V	ađi, ama	chic12, tepo01, chay11, nuxi11, caca11, chig11, atat11, zaca11, jami11, tepe11, nuxa11, chic11, apas11, prom01, soya11, sind11, pena11, juxt11, prog12, atoy11, tila11, more11, tepe12, tejo11, jica11, tlac11, tepe03, pino12, tona11, apoa11, tama11, itun11, gran11, ayut11, esta11, ixta12, pied11, ixta11, colo11, jica13, chal11, cuya11, tida11, coso11, yolo11, chic02, acat11, coat11, lore11, mixt11, sayu11, achi11, alac11, papa11, jica12, xoch11, cuil11, chaz11, tepo11, teit11, copa11, pied12, mech11, mica11, cuau11, huaz11, pino11, yuta11, joco11, diux11, nund11, alco11	100	U+005e U+0061
a	*/a/a ³/a ¹	V	ya¹ma⁴, ya⁴a²⁴	yolo11, abas11	100	U+0061
a$	*/a/a ³/a ¹	V	nama, una	abas11, jami11, prog12, ayut11, ocot11, coat11	100	U+0061 U+0024
^a̧	*/ã/ã ³/ã ¹	V	a̧ma̧, a̧wa̧	cris11, tepe12, jica11, pino12, toto12, chig11, apoa11, zaca11, tama11, gran11, jami11, tepe11, cahu11, yolo12, ixta12, mont12, chic11, ixta11, apas11, cuya11, este11, acat11, lore11, coat11, mixt11, sayu11, chay11, alac11, jica12, cuat11, xaya11, tepo11, nuti11, soya11, tutu11, mech11, brav11, xaya12, mica11, cuau11, huaz11, pino11, ixta13, atoy11, huit11, alco11	46	U+005e U+0061 U+0327
a̧	*/ã/ã ³/ã ¹	V	ña̧ni̧, ya̧ni̧	tila11, alac11, huit11, apoa11, cris11, prog12, tepe12, tlac11, tlaz11, tata11, toto12, caca11, tona11, chig11, atat11, esta11, nund12, aten11, nund13, ixta11, tama12, yoso11, este11, coso11, chay11, mont13, achi11, yucu13, tepo11, soya11, tutu11, brav11, guad11, mica11, atoy11, sini11, juxt11, mont14, flor11, jami11, cahu11, yolo12, ixta12, pied11, yucu16, apas11, tida11, acat11, coxc11, yolo11, sayu11, chay12, coic11, jica12, cuat11, chaz11, teit11, cuau11, pino11, alco11, tlac12, tama11, gran11, tlal11, tepe11, chic11, colo11, chal11, dura11, prog11, ndua11, reye11, ahue11, sind11, joco11, cuil11, more11, jica11, pino12, nuxi11, ayut11, nuxa11, cuya11, nuch11, lore11, mixt11, pena12, adeq11, xaya11, yucu11, moli11, amat11, mech11, huaz11, ixta13	100	U+0061 U+0327
a̧$	*/ã/ã ³/ã ¹	V	đi̧ʔña̧, ši̧ʔña̧	cahu11, juxt11, tila11, tama11, esta11, zapo11, brav11, tlac11, nuxi11, toto12, caca11, ayut11, tepe11, yoso11, tida11, peno11, achi11, coic11, cuat11, chaz11, yucu11, tepo11, teit11, soya11, alco11, cris11, more11, tlaz11, tona11, apoa11, atat11, itun11, jami11, nund12, nuxa11, ixta12, aten11, nund13, chic11, pied11, tama12, colo11, apas11, chal11, este11, dura11, coso11, acat11, yolo11, lore11, mixt11, mont13, prog11, alac11, xaya11, cuil11, teco11, ahue11, moli11, tutu11, sind11, mech11, ixpa11, huaz11, yuta11, joco11, huit11	100	U+0061 U+0327 U+0024
^e	*/e/e ³/e ¹	V	eđe, etu̧	coat11, tida11, copa11, ixta12, tila11, flor11	12	U+005e U+0065
e	*/e/e ³/e ¹	V	kwehe, nneheha	chic02, copa11, yolo11, ocot11, abas11, conc11, diux11, tepo01, coat11, prog12, alac11, jami11, yoso11, ayut11	100	U+0065
e$	*/e/e ³/e ¹	V	chéle, kwehe	tepo01, chic12, chay11, coat11, alac11, ayut11, diux11, pena11, atat11, flor12, chic02, ocot11, prog12, tlah11, colo11, xoch11, pied12, tepe03, jami11, mixt11, mont12, jica13, yoso11, conc11	100	U+0065 U+0024
ȩ	*/ẽ/ẽ ³/ẽ ¹	V	kʷȩñu̧, nȩñu̧	prom01, huit11, cuya11, itun11, coat11, tepo11, cuau11, tlac11, nuxi11, pied11, chic11, este11, yucu11, sind11, joco11, tata11, caca11, chig11, apoa11, flor11, tama11, tepe11, nuxa11, ixta12, apas11, zapo11, peno11, mont13, chaz11, teit11, soya11, brav11, yuta12, yucu12, yuta11, diux11	67	U+0229
ȩ$	*/ẽ/ẽ ³/ẽ ¹	V	ñu̧mȩ, đu̧ʔmȩ	pied11, coat11, cuau11, cuya11, sind11, itun11, este11, tama11, nuxa11, peno11, prog11, huit11, nuxi11, chic11, prom01, tepo11, yuta12, yuta11, tlaz11, tata11, apoa11, atat11, ixta12, tama12, apas11, tida11, nuyo11, mont13, yucu11, soya11, joco11	87	U+0229 U+0024
^i	*/i/i ³/i ¹	V	ita, iñu	yolo11, ayut11, abas11, tepo01, coat11, copa11, jami11, prog12, tlah11, mont12, mixt11, flor12, pied12, conc11, ocot11, alac11, diux11, yoso11	100	U+005e U+0069
i	*/i/i ³/i ¹	V	ndi¹bi⁴, ndi³xi⁴	yolo11, abas11	100	U+0069
i$	*/i/i ³/i ¹	V	nuni, ndivi	abas11, prog12, jami11, ocot11, ayut11	100	U+0069 U+0024
^i̧	*/ĩ/ĩ ³/ĩ ¹	V	i̧ñu̧, i̧ño̧	brav11, alco11, atoy11, jica11, toto12, chig11, apoa11, mont12, pied11, nund13, chic11, cuya11, coso11, peno11, sayu11, jica12, cuat11, sind11, amat11, pino11, joco11, diux11, juxt11, prog12, cris11, tila11, mont14, more11, tepe12, jate11, pino12, nuxi11, caca11, atat11, itun11, gran11, jami11, esta11, tlal11, nund12, prog11, nuxa11, ixta12, ixta11, colo11, apas11, chal11, este11, ixta13, acat11, coxc11, lore11, coat11, mixt11, pena12, chay11, chay12, achi11, alac11, mont13, adeq11, xaya11, chaz11, cuil11, ndua11, tepo11, moli11, nuti11, soya11, mech11, mica11, cuau11, huaz11, sini11, nund11, huit11	100	U+005e U+0069 U+0327
i̧	*/ĩ/ĩ ³/ĩ ¹	V	ni̧ñi̧, kʷi̧ñu̧	prom01, jate11, apoa11, ayut11, coxc11, achi11, atoy11, nund11, huit11, mont14, jica11, nuxi11, nund12, nuxa11, chic11, colo11, apas11, prog11, jica12, yucu11, teit11, moli11, pino11, joco11, tila11, yucu14, tepe12, tlac11, pino12, toto12, chig11, zaca11, tama11, esta11, alco11, aten11, nund13, pied11, chal11, tida11, este11, dura11, coso11, yolo11, acat11, coat11, pena12, chay11, coic11, adeq11, cuat11, xaya11, tepo11, ahue11, soya11, sind11, nuti11, brav11, diux11, yuta12, yuta11, sini11, cuil11	100	U+0069 U+0327
i̧$	*/ĩ/ĩ ³/ĩ ¹	V	ña̧ni̧, ya̧ni̧	tila11, alac11, huit11, apoa11, prog12, tepe12, tlac11, tlaz11, tata11, toto12, caca11, tona11, chig11, atat11, esta11, nund12, aten11, nund13, ixta11, tama12, yoso11, este11, zapo11, coso11, chay11, mont13, achi11, yucu13, tepo11, soya11, tutu11, brav11, guad11, mica11, atoy11, sini11, juxt11, mont14, flor11, jami11, cahu11, yolo12, ixta12, pied11, yucu16, apas11, tida11, acat11, coxc11, yolo11, coat11, sayu11, chay12, coic11, jica12, cuat11, chaz11, teit11, cuau11, pino11, alco11, tlac12, zaca11, tama11, tlal11, tepe11, chic11, colo11, chal11, dura11, prog11, ndua11, reye11, ahue11, sind11, cuil11, more11, jica11, pino12, nuxi11, itun11, ayut11, nuxa11, cuya11, nuch11, lore11, mixt11, pena12, adeq11, xaya11, yucu11, moli11, amat11, mech11, huaz11, ixta13	100	U+0069 U+0327 U+0024
^ɨ	*/ɨ/ɨ ³/ɨ ¹	V	ɨwɨ, ɨši	itun11, cuil11	2	U+005e U+0268
o	*/o/o ³/o ¹	V	konoho⁴, ndo'¹o⁴	yolo11, copa11, alac11, abas11, chic02, ayut11, prog12, jami11, tepo01, diux11, yoso11, ocot11	100	U+006f
o$	*/o/o ³/o ¹	V	oko, xito	tepo01, abas11, alac11, prog12, chic02, tlah11, yoso11, ayut11, ocot11, mont12, pied12, mixt11, diux11, jami11, flor12, coat11, conc11	100	U+006f U+0024
o̧	*/õ/õ ³/õ ¹	V	ko̧ño̧, no̧ʔo̧	cahu11, soya11, zapo11, caca11, chic11, apoa11, itun11, alac11, brav11, esta11, cuat11, sind11, huaz11, cuil11, jami11, alco11, aten11, acat11, chay11, prog11, ndua11, tepo11, tutu11, mech11, joco11, cris11, mont14, jate11, flor11, zaca11, nuxa11, mont12, pied11, apas11, chal11, yoso11, lore11, yucu13, reye11, amat11, yuta11, atoy11	100	U+006f U+0327
