ID	DOCULECT	CONCEPT	SPANISH_GLOSS	VALUE	FORM	IDlist	CONCEPTICON_ID	LOAN	LOAN_SOURCE	SOURCE	FLOATTONE	VARIETY_CODE
11385	CuatzoquitengoMixtec	CORN	maíz	no̧ni̧	no̧ni̧	87	506			josserand1983mixtec		cuat11
11437	SantosReyesTepejilloMixtec	CORN	maíz	no̧ni̧	no̧ni̧	87	506			josserand1983mixtec		reye11
11441	SanBartoloSoyaltepecMixtec	CORN	maíz	no̧ni̧	no̧ni̧	87	506			josserand1983mixtec		soya11
11474	ZapotitlanPalmasMixtec	CORN	maíz	no̧ni̧	no̧ni̧	87	506			josserand1983mixtec		zapo11
4565	AlacatlatzalaMixtec	CORN	maíz	no̠ni̠	no̠ni̠	87	506			zylstra2012gramatica		alac11
11436	Proto-Mixtec	CORN	maíz	noniʔ	noniʔ	87	506			josserand1983mixtec		prom01
5689	Proto-Mixtec	CORN	maíz	nònìʔ	nònìʔ	87	506			swanton2020observaciones		prom01
1020	AlacatlatzalaMixtec	FACE	face	noo	noo	20	1560			zylstra1991syntactic		alac11
20800	SanAndresYutatioMixtec	FACE	cara	noo̠	noo̠	20	1560			williams2017diccionario		yuta13
3030	SanSebastianMonteMixtec	FACE	cara	nòò	nòò	20	1560			oxnard2020		mont12
2158	CahuatacheMixtec	FACE	face	nò̧ò̧	nò̧ò̧	20	1560			durr1987preliminary		cahu11
12599	SantiagoNuyooMixtec	SUGAR CANE	caña	nò̧ò̧	nò̧ò̧	102	146			josserand1983mixtec		nuyo11
12637	SantaMariaYucuhitiMixtec	SUGAR CANE	caña	nò̧ò̧	nò̧ò̧	102	146			josserand1983mixtec		yucu12
4510	AlacatlatzalaMixtec	FACE	cara	no̠o̠	no̠o̠	20	1560			zylstra2012gramatica		alac11
14614	SanMiguelProgresoMixtec	WATER	agua	no̧te	no̧te	137	948			josserand1983mixtec		prog11
7051	Proto-Mixtec	TOOTH	diente	noʔo	noʔo	22	1380			josserand1983mixtec		prom01
2179	SantiagoCacaloxtepecMixtec	TOOTH	tooth	nò̧ʔō̧	nò̧ʔō̧	22	1380			durr1987preliminary		caca11
2180	CahuatacheMixtec	TOOTH	tooth	nò̧ʔō̧	nò̧ʔō̧	22	1380			durr1987preliminary		cahu11
6991	SantaMariaAcatepecMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		acat11
6995	AlacatlatzalaMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		alac11
7003	SantaCruzBravoMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		brav11
7004	SantiagoCacaloxtepecMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		caca11
7005	CahuatacheMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		cahu11
7007	SanAgustinChayucoMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		chay11
7009	SanMiguelChicahuaMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		chic11
7016	CuatzoquitengoMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		cuat11
7018	CuilapamGuerreroMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		cuil11
7025	SantaMariaHuazolotitlanMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		huaz11
7031	SantiagoJamiltepecMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		jami11
7038	SantaCatarinaMechoacanMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		mech11
7054	SanMateoSindihuiMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		sind11
7055	SanBartoloSoyaltepecMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		soya11
7062	SanPedroySanPabloTeposcolulaMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		tepo11
7069	VillaTututepecMelchorOcampoMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		tutu11
7079	SantaMariaZacatepecMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		zaca11
7080	ZapotitlanPalmasMixtec	TOOTH	diente	no̧ʔo̧	no̧ʔo̧	22	1380			josserand1983mixtec		zapo11
9674	SanJuanDiuxiMixtec	FROG	rana	ⁿraka	ⁿraka	54	503			josserand1983mixtec		diux11
8217	SanMiguelChicahuaMixtec	PUS	pus	ⁿřakʷa	ⁿřakʷa	37	1808			josserand1983mixtec		chic11
17244	SanMiguelChicahuaMixtec	POOR	pobre	ⁿr̃aʔwi	ⁿr̃aʔwi	169	1674			josserand1983mixtec		chic11
10596	SanMiguelChicahuaMixtec	HORN (ANATOMY)	cuerno	ⁿreke	ⁿreke	76	1393			josserand1983mixtec		chic11
8104	SanMiguelChicahuaMixtec	PIMPLE	grano	ⁿr̃iʔi	ⁿr̃iʔi	36	1809			josserand1983mixtec		chic11
12551	SanMiguelChicahuaMixtec	SUGAR CANE	caña	ⁿr̃oo	ⁿr̃oo	102	146			josserand1983mixtec		chic11
12118	SanMiguelChicahuaMixtec	BEAN	frijol(es)	ⁿřuči	ⁿřuči	96	832			josserand1983mixtec		chic11
14552	SanMiguelChicahuaMixtec	WATER	agua	ⁿřuȼa	ⁿřuȼa	137	948			josserand1983mixtec		chic11
12664	SanMiguelChicahuaMixtec	HONEY	miel	ⁿr̃uđi	ⁿr̃uđi	103	942			josserand1983mixtec		chic11
15750	SanAgustinMonteLobosMixtec	MUD	lodo	ⁿsaʔyu	ⁿsaʔyu	149	640			josserand1983mixtec		mont14
12814	SanMiguelIxtapamMixtec	EGG	blanquillo, huevo	ⁿsiƀi	ⁿsiƀi	105	744			josserand1983mixtec		ixta13
12824	ElRosarioMicaltepecMixtec	EGG	blanquillo, huevo	ⁿsiƀi	ⁿsiƀi	105	744			josserand1983mixtec		mica11
12874	SanJeronimoXayacatlanMixtec	EGG	blanquillo, huevo	ⁿsiƀi	ⁿsiƀi	105	744			josserand1983mixtec		xaya11
12875	XayacatlanBravoMixtec	EGG	blanquillo, huevo	ⁿsīƀī	ⁿsīƀī	105	744			josserand1983mixtec		xaya12
12298	ZapotitlanPalmasMixtec	GREEN BEAN	ejote	ⁿsiči	ⁿsiči	97				josserand1983mixtec		zapo11
10601	CosoltepecMixtec	HORN (ANATOMY)	cuerno	ⁿsiki	ⁿsiki	76	1393			josserand1983mixtec		coso11
10631	ElRosarioMicaltepecMixtec	HORN (ANATOMY)	cuerno	ⁿsiki	ⁿsiki	76	1393			josserand1983mixtec		mica11
10666	TepejilloMixtec	HORN (ANATOMY)	cuerno	ⁿsiki	ⁿsiki	76	1393			josserand1983mixtec		tepe11
10675	SantaMariaTonahuixtlaMixtec	HORN (ANATOMY)	cuerno	ⁿsiki	ⁿsiki	76	1393			josserand1983mixtec		tona11
10678	SanJeronimoXayacatlanMixtec	HORN (ANATOMY)	cuerno	ⁿsiki	ⁿsiki	76	1393			josserand1983mixtec		xaya11
10690	ZapotitlanPalmasMixtec	HORN (ANATOMY)	cuerno	ⁿsiki	ⁿsiki	76	1393			josserand1983mixtec		zapo11
10595	SantiagoChazumbaMixtec	HORN (ANATOMY)	cuerno	ⁿsiki̧	ⁿsiki̧	76	1393			josserand1983mixtec		chaz11
10597	ChigmecatitlanMixtec	HORN (ANATOMY)	cuerno	ⁿsiki̧	ⁿsiki̧	76	1393			josserand1983mixtec		chig11
10679	XayacatlanBravoMixtec	HORN (ANATOMY)	cuerno	ⁿsīkì	ⁿsīkì	76	1393			josserand1983mixtec		xaya12
12788	SantiagoChazumbaMixtec	EGG	blanquillo, huevo	ⁿsiwi	ⁿsiwi	105	744			josserand1983mixtec		chaz11
12790	ChigmecatitlanMixtec	EGG	blanquillo, huevo	ⁿsiwi	ⁿsiwi	105	744			josserand1983mixtec		chig11
12794	CosoltepecMixtec	EGG	blanquillo, huevo	ⁿsiwi	ⁿsiwi	105	744			josserand1983mixtec		coso11
12862	TepejilloMixtec	EGG	blanquillo, huevo	ⁿsiwi	ⁿsiwi	105	744			josserand1983mixtec		tepe11
12871	SantaMariaTonahuixtlaMixtec	EGG	blanquillo, huevo	ⁿsiwi	ⁿsiwi	105	744			josserand1983mixtec		tona11
12887	ZapotitlanPalmasMixtec	EGG	blanquillo, huevo	ⁿsiwi	ⁿsiwi	105	744			josserand1983mixtec		zapo11
8109	CosoltepecMixtec	PIMPLE	grano	ⁿsiʔi	ⁿsiʔi	36	1809			josserand1983mixtec		coso11
8173	TepejilloMixtec	PIMPLE	grano	ⁿsiʔi	ⁿsiʔi	36	1809			josserand1983mixtec		tepe11
8181	SantaMariaTonahuixtlaMixtec	PIMPLE	grano	ⁿsiʔi	ⁿsiʔi	36	1809			josserand1983mixtec		tona11
8182	TotoltepecGuerreroMixtec	PIMPLE	grano	ⁿsiʔi	ⁿsiʔi	36	1809			josserand1983mixtec		toto12
8184	SanJeronimoXayacatlanMixtec	PIMPLE	grano	ⁿsiʔi	ⁿsiʔi	36	1809			josserand1983mixtec		xaya11
8197	ZapotitlanPalmasMixtec	PIMPLE	grano	ⁿsiʔi	ⁿsiʔi	36	1809			josserand1983mixtec		zapo11
