Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^č	č	čito, čatu̧	huaz11, mech11, atoy11, jami11, jica11, chay11, lore11, tutu11, pino11, alac11, xaya11, ixta11, sayu11, nuxa11, jica12, pino12, yucu13, esta11, pied11, zaca11, ocot11, nuxi11, mixt11, sind11, ixpa11, colo11, tepe12, amat11, tama12, yuta11, tepe11, atat11, dura11, prog12, huit11, aten11, teco11, yucu16, reye11, cris11, nuti11, gran11, tona11, ixta13, tama11, guad11, mica11, diux11, tlal11, tejo11, chal11, xaya12, toto12, moli11, yucu15, chig11, more11, yucu12, juxt11, coic11	100	U+005e U+010d
h	h	kwehe, yaha	chic02, chay11, colo11, ocot11, tepo01, prog12, copa11, coat11, atat11, diux11, ayut11, chic12, alac11, yoso11, jami11, ixpa11, pino12, yucu13, conc11	100	U+0068
^đ	đ	đaʔa, đeʔe	caca11, peno11, xaya11, soya11, chic11, coat11, joco11, tama11, coso11, diux11, apas11, apoa11, tepo11, ixta12, cuya11, ndua11, amat11, cuau11, nuxa11, huit11, adeq11, coxc11, tona11, ixta13, nuxi11, cuil11, este11, tata11, tila11, mont14, tepe11, yuta11, yucu16, chaz11, flor11, teit11, pied11, guad11, mica11, tlal11, sind11, tlaz11, xaya12, zapo11, jate11, toto12, yucu15, chig11, tida11, alac11, yuta12	100	U+005e U+0111
x	x	kaxa, ƀixi̧	dura11, copa11, alac11, tlah11, xoch11, yolo11, jica13, pied12, atat11, nund12, huit11, flor12, gran11, ocot11, yoso11, prog11, prom01, colo11, huen11, pena12, nund13, chal11, moli11, tata11, cuya11, amat11, cuau11, yuta11, prog12, yoso14, tlac11, adeq11, itun11, flor11, cris11, nuti11, coxc11, teit11, chay11, sini11, yucu11, ixta13, tama11, abas11, mica11, nuyo11, pena11, diux11, chay12, nund11, tlal11, mont13, tejo11, yuta13, achi11, mont12, yuta12, jate11	100	U+0078
^ƀ	v	ƀilu, ƀiši	gran11, nuxi11, mixt11, moli11, ixta11, ndua11, peno11, coat11, prog12, nund12, adeq11, itun11, caca11, coxc11, ocot11, sini11, nuyo11, mont13, diux11, pena12, chay12, nund13, metl11, chal11, soya11, achi11, apoa11, alac11, jate11, xaya11, amat11, tama12, yuta11, atat11, dura11, jica12, pino12, tlac11, aten11, nuch11, reye11, coic11, esta11, flor11, jami11, jica11, nuti11, yoso11, prog11, yolo11, joco11, yucu11, ixta13, guad11, mica11, nund11, tejo11, yucu15, ixpa11, more11, tata11, mont12, pino11, yuta12, colo11, ahue11, juxt11	100	U+005e U+0180
^u	u	uwa, ua	coat11, yolo11, pena11, atat11, brav11, chay11, zaca11, colo11, prog12, jami11, flor12, tona11, abas11, huen11, chal11, pied12, tepo11, ixta12, cuya11, ixta11, sayu11, cuau11, nuxa11, tepe11, mont14, tila11, jica12, pino12, huaz11, yolo12, tlac11, huit11, yoso14, adeq11, itun11, chaz11, mech11, xoch11, esta11, jica11, gran11, coxc11, chic12, yoso11, ocot11, alco11, joco11, yucu11, tama11, coso11, lore11, tutu11, mont13, tlal11, mixt11, ayut11, tlaz11, soya11, este11, moli11, achi11, chig11, apas11, apoa11, chic11, pino11, atoy11, tida11, flor11, acat11, tepe12, juxt11	100	U+005e U+0075
ɨ	ɨ	kɨtɨ, kɨsɨ	prom01, chal11, chay11, colo11, coat11, atat11, tama11, este11, itun11, jami11, gran11, sind11, cuya11, ixta11, cuau11, tila11, pino12, huaz11, huit11, mech11, pied11, yolo11, lore11, mont13, tlaz11, yuta12, acat11, yuta11, tlac11, adeq11, chic12, cris11, nuti11, coxc11, yoso11, cuil11, tutu11, diux11, chay12, tata11, jate11	100	U+0268
^x	x	xito, xixi	chic12, flor12, jica13, tlah11, prog12, yolo11, pied12, xoch11, huen11, ocot11, yoso11, chal11, alac11, dura11, yoso14, yucu17, gran11, prom01, yucu11, chic02, pena11, yuta13, yuta11, atat11, tlac11, huit11, pied11, zaca11, tama11, abas11, conc11, colo11, pena12, mont13, nund13, soya11, moli11, achi11	100	U+005e U+0078
á	á	káʔnū, ká'nu	diux11, yuta13, prog12, tlah11, atat11, jica13, alac11, ocot11, prom01, colo11, pena11, xoch11, chic02, huen11, mont12, coat11, yucu17, gran11, yoso11, mixt11, ayut11, pied12, dura11, peno11, teco11, jica11, nuyo11, metl11, yucu15, yucu12, coic11	100	U+00e1
đ	đ	iđu, kiđi	peno11, ixta12, nuxa11, tama11, nuxi11, este11, apas11, apoa11, coat11, huit11, caca11, teit11, pied11, joco11, cuil11, diux11, sind11, soya11, chig11, chic11, tida11, ndua11, adeq11, coxc11, tlaz11, jate11, xaya11, cuya11, cuau11, yuta11, tepe11, tila11, mont14, chaz11, tona11, guad11, coso11, tlal11, xaya12, zapo11, tepo11, yucu15, tata11, yuta12	100	U+0111
v	v	kìvì, kivi	alac11, papa11, ayut11, tlah11, xoch11, flor12, colo11, pena11, mont12, dura11, coat11, prog12, zaca11, chay11, ocot11, tepo01, huen11, jica13, tama12, atat11, yucu17, tepo11, pied12, aten11, nuch11, reye11, jami11, gran11, yoso11, abas11, guad11, conc11, mixt11, xaya12, yuta13, moli11, ixpa11, ahue11, coic11	100	U+0076
w	w	uwa, kiwi	chaz11, chic12, prom01, cahu11, cuau11, brav11, chay11, alco11, cuat11, coso11, tutu11, soya11, apas11, chic11, atoy11, acat11, cuya11, sayu11, nuxa11, pino12, huaz11, mech11, teit11, tona11, yoso11, yucu11, lore11, chig11, tida11, tepe12, ixta12, tepe11, yolo12, tlac11, huit11, itun11, caca11, cris11, pied11, joco11, guad11, cuil11, pena11, mont13, copa11, ayut11, sind11, zapo11, moli11, achi11, tepo11	100	U+0077
à$	à	kʷìkà, ùvà	mont12, colo11, dura11, pena11, flor12, yucu17, ocot11, huen11, pied12, prog12, mixt11, tlah11, peno11, tama12, teco11, gran11, abas11, nuyo11, xaya12, yucu15, yucu12, xaya11, coat11, yucu13, aten11, tlac12, caca11, jica11, chay11, guad11, diux11, chay12, moli11, alac11, ahue11, juxt11	100	U+00e0 U+0024
ì$	ì	kàčì, ⁿdūčì	huen11, aten11, mont12, dura11, prog12, pena11, peno11, gran11, ocot11, xaya12, moli11, cahu11, teco11, caca11, guad11, ayut11, nuch11, tlac12, flor12, colo11, mixt11, metl11, pied12, alac11, ixta12, xaya11, coat11, atat11, reye11, yucu17, xoch11, jica11, prom01, abas11, diux11, ixpa11, yucu12, ahue11	100	U+00ec U+0024
à	à	kàčì, kʷàʔā	yucu17, dura11, colo11, mixt11, mont12, tlah11, peno11, pena11, pied12, coat11, prog12, flor12, prom01, nuch11, xoch11, chay11, ocot11, abas11, huen11, diux11, ayut11, moli11, yucu15, yucu12, ixta12, cahu11, atat11, aten11, teco11, jica11, caca11, gran11, nuyo11, xaya12, coic11	100	U+00e0
^l	l	laa, laʔwa	coat11, prog12, ahue11, dura11, peno11, tepe11, pena11, yuta13, mont12, tlah11, cuau11, yucu16, aten11, teco11, reye11, chaz11, esta11, caca11, tona11, prom01, guad11, nuxi11, coso11, chay12, juxt11, cuya11, ndua11, sayu11, amat11, nuxa11, mont14, yucu13, huaz11, tlac11, nuch11, yucu17, huit11, xoch11, flor11, pied11, ocot11, zaca11, ixta13, tama11, mica11, nund13, metl11, sind11, tlaz11, xaya12, jica13, toto12, este11, yucu15, ixpa11, apoa11, alac11, yuta12, coic11	100	U+005e U+006c
í	í	xíká, vílú	huen11, diux11, yuta13, alac11, coat11, prog12, ocot11, abas11, mixt11, tlah11, peno11, atat11, dura11, yucu17, xoch11, chic02, pena11, jica13, flor12, jica11, conc11, colo11, tlac11, teco11, aten11, gran11, prom01, nuyo11, ayut11, moli11, yucu15, mont12, coic11	100	U+00ed
aa$	aː	saa, laa	chay11, ayut11, atat11, flor11, dura11, alac11, cuya11, coat11, cuau11, aten11, reye11, itun11, esta11, jami11, caca11, teit11, ixta13, guad11, nuxi11, mica11, lore11, huen11, sind11, moli11, acat11, juxt11, coic11, tepo11, ixta11, prog12, huaz11, nuch11, brav11, pied11, prog11, coso11, diux11, tejo11, chal11, jica13, achi11, more11, apas11, tata11, pino11, tida11, ahue11, sayu11, mont14, jica12, nund12, cris11, coxc11, alco11, cuat11, mont13, pena12, chay12, soya11, este11, apoa11, mont12, atoy11, colo11, tepe12, ixta12, cahu11, ndua11, amat11, tama12, nuxa11, tepe11, pino12, teco11, adeq11, chaz11, mech11, jica11, nuti11, sini11, prom01, joco11, tama11, abas11, tepo01, cuil11, nund11, nund13, mixt11, ixpa11, chig11, chic11, jate11	100	U+0061 U+0061 U+0024
³	³	gu³vi³, ki³ti⁴	chic12, papa11, yolo11, yucu16, alco11, chal11, copa11	100	U+00b3
^w	w	waʔa, wilu	prom01, teit11, alco11, apas11, ixta12, cahu11, cuya11, sayu11, cuau11, pied11, joco11, yucu11, tama11, sind11, chic11, tida11, nuxa11, tepe11, huaz11, yolo12, huit11, chaz11, mech11, brav11, chay11, coso11, lore11, cuil11, soya11, este11, chig11, atoy11, acat11, tepo11, tona11, cuat11, colo11, tutu11, ayut11, tlaz11, zapo11, apoa11, alac11, tepe12	100	U+005e U+0077
í$	í	tichí, ntiví	jica13, xoch11, tlah11, diux11, jica11, yucu15, coic11, peno11, alac11, dura11, coat11, prog12, metl11, yuta13, teco11, yucu17, flor12, prom01, colo11, mixt11, pied12, mont12, atat11, yolo12, zaca11, chay11, ocot11, abas11, conc11, pena11, ahue11	100	U+00ed U+0024
ch	ch	tichi, tichí	yucu17, mixt11, papa11, abas11, alac11, tepe03, diux11, pied12, mont12, tlah11, prog12, xoch11, chic12, flor12, ocot11, yolo11, chic02, pena11, huen11, jica13, yuta13, dura11, yoso14, jami11, zaca11, tepo01, ayut11, atat11, yoso11, conc11, copa11	100	U+0063 U+0068
ɨ$	ɨ	kɨtɨ, kɨsɨ	chay11, jami11, colo11, atat11, yoso11, ixta11, coat11, pino12, huaz11, itun11, mech11, yolo11, lore11, tutu11, mont13, diux11, cuya11, cuau11, tila11, huit11, cris11, gran11, nuti11, pied11, tama11, chal11, tlaz11, sind11, este11, acat11, yuta11, tlac11, prom01, nuyo11, cuil11, chay12, tata11, yuta12, jate11	100	U+0268 U+0024
kʷ	kʷ	sa-kʷaa, kukʷa	ixta12, nuch11, chic12, tlal11, soya11, achi11, xaya11, coat11, amat11, tama12, mont14, atat11, yucu16, aten11, coic11, caca11, tona11, zaca11, prom01, alco11, joco11, guad11, mont13, xaya12, more11, apoa11, chic11, pino11, acat11, ahue11, cahu11, sayu11, cuya11, cuau11, tepe11, yucu13, huaz11, tlac11, adeq11, chaz11, flor11, tlac12, jami11, brav11, teit11, ocot11, yucu11, ixta13, nuxi11, mica11, coso11, lore11, ayut11, chal11, zapo11, jate11, toto12, yucu15, chig11, yucu12, mont12, apas11, atoy11, tepo11	100	U+006b U+02b7
³$	³	gu³vi³, ki¹si³	chic12, papa11, copa11, yolo11, alco11, chal11, yucu16	100	U+00b3 U+0024
á$	á	xíká, tátá	jica13, tlah11, coat11, diux11, yuta13, alac11, xoch11, peno11, prog12, pena11, dura11, atat11, ocot11, mixt11, mont12, colo11, flor12, gran11, yoso11, cahu11, yucu17, jami11, nuyo11, huen11, metl11, yucu15, yucu12, pied12	100	U+00e1 U+0024
ù	ù	tùún, nùnì	tlah11, mixt11, pena11, yucu17, dura11, colo11, flor12, ocot11, pied12, peno11, chay11, abas11, metl11, xaya11, ayut11, moli11, yucu12, coat11, zaca11, nuyo11, huen11, yucu15	100	U+00f9
^v	v	và'a, vílú	alac11, ayut11, yucu17, abas11, diux11, tlah11, atat11, xoch11, pena11, huen11, mixt11, jica13, coat11, yoso14, flor12, zaca11, yoso11, chay11, colo11, yuta13, pied12, mont12, dura11, papa11, ocot11, prog12, jami11, tepo01, ixpa11, ahue11	100	U+005e U+0076
l	l	ƀilu, wilu	diux11, ocot11, peno11, atat11, yucu17, flor11, chic12, xoch11, caca11, cris11, gran11, chay11, prom01, yolo11, yucu11, nund13, mixt11, metl11, soya11, ixta12, tlah11, xaya11, ixta11, ndua11, tama12, nuxa11, yuta11, nund12, yoso14, tlac11, huit11, yolo12, reye11, adeq11, itun11, coxc11, teit11, pied11, zaca11, yoso11, sini11, alco11, joco11, prog11, tama11, abas11, nuxi11, mica11, nuyo11, chic02, lore11, pena11, huen11, mont13, nund11, pena12, papa11, tejo11, chal11, sind11, ayut11, jate11, yuta13, moli11, achi11, yucu15, more11, apas11, apoa11, mont12, chic11, tata11, atoy11, tida11, yucu12, yuta12, tepe12, zapo11	100	U+006c
ā	ā	sāvā, ñānī	ocot11, gran11, cahu11, atat11, ayut11, conc11, yoso11, prog12, jami11, caca11, xaya12, alac11, xaya11, moli11, yucu15, coat11, reye11, nuyo11, ahue11, nuch11, tlac12, jica11, diux11, mixt11, metl11, yucu12, dura11, coic11	100	U+0101
ī	ī	kītī, kītì	ocot11, ayut11, yucu15, alac11, jami11, cahu11, atat11, gran11, conc11, metl11, xaya12, prog12, yoso11, yucu12, xaya11, aten11, caca11, moli11, ixpa11, dura11, coat11, teco11, reye11, jica11, chay11, guad11, nuyo11, mixt11	100	U+012b
^u̧	u̧	u̧na̧, u̧ʔu̧	ayut11, atat11, chal11, achi11, apas11, alco11, chay12, atoy11, amat11, adeq11, chaz11, chig11, xaya11, cuya11, coat11, cuau11, yuta11, tlac11, itun11, esta11, jami11, teit11, yoso11, ixta13, nuxi11, mica11, lore11, sind11, moli11, acat11, juxt11, ixta11, prog12, huaz11, brav11, pied11, tona11, prog11, yolo11, yucu11, coso11, diux11, tejo11, more11, tata11, pino11, tida11, sayu11, jica12, nund12, flor11, cris11, gran11, coxc11, zaca11, chay11, tutu11, mont13, pena12, tlaz11, soya11, este11, apoa11, colo11, tepe12, ixta12, ndua11, nuxa11, tepe11, tila11, pino12, yolo12, huit11, yucu16, mech11, jica11, nuti11, joco11, tama11, cuil11, nund11, nund13, mixt11, toto12, chic11, alac11, yuta12, jate11	100	U+005e U+0075 U+0327
^ʔ	ʔ	ʔi̧ʔni̧, ʔu̧na̧	nuyo11, yucu15, yucu12, teco11, ixpa11, tama12, ocot11, dura11, reye11, ahue11, coic11, aten11, nuch11, guad11, yucu13, tlac12, peno11, prog11, chic12, coxc11	100	U+005e U+0294
ee$	eː	ƀee, wee	caca11, mica11, ixta13, chay11, colo11, xaya11, yuta11, tlac11, aten11, esta11, jami11, teit11, yoso11, guad11, nuxi11, lore11, sind11, moli11, acat11, juxt11, ixta11, prog12, huaz11, tepe03, yucu13, nuch11, brav11, pied11, tona11, prog11, yolo11, yucu11, coso11, chic02, diux11, tejo11, chal11, achi11, apas11, tata11, pino11, tida11, ahue11, sayu11, jica12, nund12, flor11, cris11, coxc11, alco11, cuat11, tutu11, pena12, chay12, tlal11, tlaz11, soya11, este11, apoa11, atoy11, dura11, tepe12, ixta12, cahu11, ndua11, amat11, tama12, nuxa11, tepe11, tila11, pino12, yolo12, huit11, teco11, yucu16, adeq11, chaz11, mech11, jica11, nuti11, sini11, joco11, tama11, abas11, cuil11, nund11, nund13, mixt11, toto12, chig11, chic11, jate11	100	U+0065 U+0065 U+0024
ž	ž	žužu, đaʔža	nuch11, ixpa11, cuau11, gran11, pied11, yucu15, tama12, prog12, tlac11, huit11, reye11, yucu11, sind11, este11, nuxa11, ocot11, yoso11, sini11, yolo11, tama11, tlaz11, chal11, moli11, achi11, yucu12, apas11, ahue11, juxt11, ixta12, cuya11, peno11, tila11, atat11, yucu13, teco11, aten11, esta11, tlac12, caca11, teit11, nuxi11, cuil11, pena12, diux11, soya11, apoa11, chic11, tida11, yuta12, dura11	100	U+017e
ū	ū	ⁿdūčī, ⁿdūčì	ayut11, atat11, conc11, alac11, gran11, ocot11, coat11, yoso11, chay11, xaya12, yucu15, jami11, nuyo11, diux11, metl11, teco11, reye11, caca11, yucu12, cahu11, xaya11, prog12, aten11, tlac12, mixt11, moli11, coic11	100	U+016b
²	²	i²ta², i²ʃi²Ɂ	zaca11, papa11, chal11, chic12, alco11, yucu16, prom01	100	U+00b2
ā$	ā	ƀàʔā, ītā	atat11, gran11, ocot11, cahu11, conc11, alac11, coat11, metl11, moli11, prog12, jami11, yoso11, jica11, chay11, nuyo11, yucu12, xaya11, caca11, mixt11, yucu15, diux11, ayut11, xaya12, ixpa11, dura11	100	U+0101 U+0024
o̧$	o̧	o̧ʔo̧, ko̧ño̧	cahu11, brav11, alac11, soya11, caca11, cuat11, zapo11, prom01, joco11, cuil11, apoa11, chic11, yuta11, huaz11, itun11, esta11, jami11, mech11, nuti11, pied11, chay11, yolo11, tutu11, jate11, tepo11, apas11, acat11, ndua11, nuxa11, tila11, nund12, cris11, coxc11, tama11, nuxi11, lore11, nund11, sind11, mont12, atoy11	100	U+006f U+0327 U+0024
ʔw	ʔw	ⁿdaʔwi, saʔwa	cahu11, cuau11, tepe11, huaz11, mech11, chay11, coso11, tutu11, acat11, atoy11, cuya11, sayu11, nuxa11, yolo12, huit11, itun11, chaz11, teit11, pied11, tona11, alco11, joco11, prom01, cuat11, yucu11, lore11, ayut11, sind11, chig11, apas11, chic11, tida11, tepe12, zapo11, ndua11, tila11, flor11, brav11, prog11, guad11, nuxi11, tama11, nuyo11, cuil11, diux11, chay12, nund13, tlaz11, soya11, este11, tepo11, apoa11, tata11, alac11, dura11, ahue11	100	U+0294 U+0077
⁴$	⁴	ñu¹ñu⁴, ni¹i⁴	yolo11, papa11, alco11, chic12, copa11	100	U+2074 U+0024
^ch	ch	chii, chîín	chic02, jami11, flor12, papa11, tepe03, zaca11, mixt11, pied12, alac11, dura11, tlah11, yucu17, pena11, jica13, yuta13, mont12, atat11, prog12, yoso14, chic12, ocot11, yoso11, yolo11, abas11, conc11, tepo01, diux11, copa11, ayut11, xoch11, chay11	100	U+005e U+0063 U+0068
j	j	ntsijkǎ, chìjchí	flor12, chic12, pied12, prom01, pena11, atat11, zaca11, alco11, huen11, mont12, chal11, yucu16, yoso14	100	U+006a
uu$	uː	žuu, yuu	yoso14, pena11, tepe03, sind11, yuta12, ndua11, nuxa11, yuta11, huit11, mech11, gran11, pied11, chay11, sini11, joco11, tama11, abas11, tepo01, nund13, tlaz11, este11, tata11, chic11, ixta12, peno11, mont14, prog12, atat11, tila11, yolo12, yucu13, aten11, nund12, tlac11, huaz11, yucu17, adeq11, reye11, itun11, jami11, coxc11, teit11, zaca11, ocot11, yoso11, yolo11, yucu11, nuxi11, cuil11, lore11, huen11, diux11, mont13, nund11, pena12, tlal11, chay12, tejo11, mixt11, chal11, yucu14, zapo11, jate11, moli11, chig11, apas11, apoa11, tida11, juxt11, coic11	100	U+0075 U+0075 U+0024
oo$	oː	koo, šoo	tepo01, chig11, coat11, amat11, tepe11, prog12, nuch11, esta11, jami11, caca11, chay11, nuxi11, chic02, tlal11, mixt11, chal11, more11, tida11, alac11, dura11, juxt11, ixta12, cahu11, ndua11, cuya11, ixta11, sayu11, cuau11, nuxa11, tila11, jica12, pino12, huaz11, tlac11, yucu16, aten11, huit11, itun11, tlac12, chaz11, mech11, jica11, brav11, teit11, pied11, zaca11, ocot11, alco11, joco11, ixta13, cuat11, tama11, coso11, colo11, cuil11, lore11, mont13, tlaz11, sind11, soya11, este11, yuta13, tepo11, moli11, achi11, acat11, apas11, apoa11, chic11, pino11, atoy11, tepe12, ahue11, zapo11	100	U+006f U+006f U+0024
^m	m	mi̧ʔi̧, mi̧stu	alac11, chay11, ayut11, atoy11, colo11, cahu11, sayu11, peno11, coat11, atat11, dura11, chic12, jica11, brav11, pied11, alco11, cuat11, abas11, lore11, tepo01, mixt11, este11, chig11, pino11, ixta12, ixta11, yuta11, mont14, jica12, pino12, yolo12, tepe03, huaz11, huit11, nuch11, reye11, yucu17, chaz11, jami11, mech11, cris11, nuti11, papa11, zaca11, caca11, gran11, yolo11, prog11, joco11, coso11, cuil11, pena11, huen11, tlal11, copa11, chal11, tlaz11, sind11, achi11, acat11, apas11, mont12, apoa11, chic11, tepe12, ahue11, juxt11, tepo11	100	U+005e U+006d
²$	²	i²ta², i³ta²	yolo11, chal11, yucu16, papa11, chic12, zaca11, alco11, copa11, prom01	100	U+00b2 U+0024
ú	ú	yúyú, tùún	huen11, diux11, coat11, peno11, colo11, tlah11, ocot11, mixt11, jica13, pied12, yucu17, flor12, yuta13, alac11, prog12, atat11, xoch11, jica11, prom01, conc11, chic02, yucu12, mont12, dura11, tepe03, teco11, jami11, gran11, abas11, nuyo11, pena11, ayut11, metl11, yucu15	100	U+00fa
ī$	ī	kìsī, kʷàčī	ocot11, prog12, metl11, alac11, atat11, cahu11, xaya12, caca11, conc11, moli11, jami11, gran11, yoso11, nuyo11, mixt11, yucu15, yucu12, xaya11, chay11, coat11, tama12, reye11, tlac12, jica11, ixpa11	100	U+012b U+0024
ʔ$	ʔ	nɨyi̧ʔ, ku̧mi̧ʔ	ayut11, prom01, zaca11, mont13, yolo12, huit11	100	U+0294 U+0024
i̧i̧$	i̧i̧	či̧i̧, ni̧i̧	adeq11, ndua11, amat11, tepe11, prog12, yucu16, esta11, flor11, caca11, brav11, ixta13, mica11, coso11, tejo11, mixt11, more11, acat11, mont12, tida11, dura11, ahue11, juxt11, ixta12, cahu11, xaya11, cuya11, ixta11, coat11, sayu11, cuau11, yuta11, tama12, atat11, huaz11, nund12, tlac11, teco11, aten11, nuch11, reye11, yolo12, itun11, chaz11, jami11, mech11, cris11, tlac12, coxc11, pied11, tona11, chay11, sini11, alco11, joco11, cuat11, guad11, lore11, tutu11, mont13, pena12, chay12, nund13, sind11, chal11, zapo11, soya11, toto12, tepo11, achi11, ixpa11, chig11, apas11, apoa11, chic11, tata11, yucu13, coic11	100	U+0069 U+0327 U+0069 U+0327 U+0024
u̧u̧$	u̧u̧	ñu̧u̧, ku̧u̧	adeq11, itun11, coxc11, yoso11, diux11, chal11, achi11, ixta11, nuxa11, mont14, nund12, huit11, esta11, brav11, teit11, yolo11, yucu11, nuxi11, coso11, mont13, soya11, chig11, tata11, tida11, colo11, ahue11, ixta12, cuya11, coat11, amat11, cuau11, tila11, atat11, dura11, yolo12, tlac11, aten11, huaz11, coic11, jami11, chaz11, flor11, cris11, zaca11, chay11, sini11, alco11, cuat11, guad11, pena12, chay12, tlal11, nund13, soso11, ayut11, zapo11, este11, tepo11, moli11, ixpa11, acat11, apas11, apoa11, chic11, atoy11, tepe12, jate11	100	U+0075 U+0327 U+0075 U+0327 U+0024
^i̧	i̧	i̧ʔni̧, i̧ñu̧	brav11, alco11, apoa11, atoy11, cuya11, sayu11, peno11, amat11, tila11, jica12, jica11, caca11, pied11, joco11, coso11, sind11, toto12, achi11, chig11, apas11, pino11, acat11, tepe12, tepo11, ixta12, xaya11, coat11, cuau11, nuxa11, mont14, tepe11, atat11, pino12, huaz11, tlac11, huit11, adeq11, itun11, chaz11, esta11, jami11, mech11, teit11, tona11, chay11, yucu11, cuat11, tama11, nuxi11, colo11, lore11, cuil11, tutu11, mont13, diux11, tlal11, nund13, mixt11, ayut11, soso11, tlaz11, chal11, zapo11, soya11, este11, moli11, more11, mont12, chic11, tida11, alac11, juxt11	100	U+005e U+0069 U+0327
ù$	ù	žùkù, yùkù	pena11, colo11, huen11, yucu17, ocot11, peno11, mixt11, dura11, gran11, chay11, xaya12, yucu15, yucu12, mont12, alac11, atat11, reye11, flor12, prom01, abas11, nuyo11, moli11, pied12, tlah11, coat11, yucu13, xoch11, caca11, ayut11, metl11	100	U+00f9 U+0024
ú$	ú	yúyú, vílú	diux11, xoch11, peno11, pena11, jica13, tlah11, huen11, mixt11, coat11, yucu17, ocot11, chic02, yucu15, colo11, jami11, conc11, alac11, flor12, yucu12, pied12, prog12, atat11, dura11, zaca11, nuyo11, metl11, xaya12, yuta13, moli11, mont12, coic11	100	U+00fa U+0024
o̧	o̧	ko̧ño̧, ko̧mi̧	zapo11, cahu11, esta11, caca11, soya11, brav11, cuat11, cuil11, alac11, reye11, itun11, chic11, yuta11, huaz11, aten11, flor11, jami11, cris11, coxc11, chay11, yolo11, joco11, sind11, apoa11, apas11, mont12, acat11, ndua11, amat11, nuxa11, yucu16, mech11, pied11, prog11, alco11, lore11, tutu11, nund11, jate11, tepo11, ixpa11, more11, atoy11	100	U+006f U+0327
¹	¹	ñu¹ñu⁴, ni¹i⁴	yolo11, yucu16, alco11, chal11, zaca11, papa11, prom01, chic12	100	U+00b9
ii$	iː	kii, ⁿdii	chic02, alac11, cuya11, coat11, cuau11, tepe11, yoso14, caca11, zapo11, ixta12, xaya11, huit11, teit11, zaca11, chay11, alco11, yucu11, abas11, mica11, coso11, tepo01, mixt11, more11, sayu11, yuta11, nuxa11, prog12, jica12, tepe03, aten11, adeq11, yucu17, tlac12, flor12, jica11, yoso11, ocot11, sini11, tona11, joco11, ixta13, nuxi11, guad11, tutu11, huen11, pena12, chay12, tlal11, nund13, tejo11, chal11, yucu14, xaya12, este11, tepo11, moli11, achi11, apoa11, atoy11, tida11, dura11, tepe12, jate11	100	U+0069 U+0069 U+0024
tʸ	tʲ	katʸi, ⁿdutʸi	tutu11, chay11, jami11, ixta11, sayu11, mixt11, huaz11, mech11, colo11, lore11, nuti11, juxt11, nuxa11, acat11, zapo11, esta11, cris11, teco11, nuxi11	100	U+0074 U+02b8
¹$	¹	xiriqui¹, ndu¹xa¹	yucu16, chic12, yolo11, chal11, copa11, papa11, alco11, zaca11	100	U+00b9 U+0024
^d	d	du³ˀwi³, dzico	chic12, tepo01, papa11, yuta13, coat11, tepe03, conc11, chic02	100	U+005e U+0064
ū$	ū	žūkū, tūtū	atat11, gran11, ocot11, yoso11, conc11, metl11, prog12, yucu12, nuyo11, alac11, coat11, chay11, xaya12, moli11, xaya11, jami11, mixt11, caca11, jica11, diux11, ayut11, coic11	100	U+016b U+0024
ɨ̧$	ɨ̧	tɨ̧ñɨ̧, nɨ̧ñɨ̧	tama11, pied11, ixta11, huit11, jami11, yoso11, lore11, este11, cuya11, coat11, cuau11, tila11, itun11, mech11, chay11, mont13, diux11, sind11, yuta12, colo11, peno11, pino12, huaz11, cris11, yolo11, tutu11, tlaz11, tata11, acat11, yucu12, yuta11, atat11, nuti11, prom01, nuyo11, cuil11, chal11, soya11, jate11	100	U+0268 U+0327 U+0024
^j	j	ja²a², jùtù	pena11, zaca11, chal11, prom01, yucu16, mont12, alco11, chic12, atat11, colo11, yoso14, huen11	100	U+005e U+006a
ɨ̧	ɨ̧	tɨ̧ñɨ̧, nɨ̧ñɨ̧	tama11, cuya11, este11, coat11, huit11, pied11, ixta11, cuau11, tila11, itun11, jami11, cris11, nuti11, chay11, yoso11, prom01, lore11, mont13, diux11, sind11, yuta12, colo11, atat11, pino12, huaz11, mech11, gran11, tutu11, chal11, tata11, acat11, peno11, yuta11, yolo11, nuxi11, cuil11, tlaz11	100	U+0268 U+0327
^c	c	cañi, caca	colo11, papa11, chay11, tepo01, atat11, chic12, ndua11	100	U+005e U+0063
c	c	yucu, caca	colo11, chay11, papa11, tepo01, chic12, atat11, alco11, cuil11	100	U+0063
⁴	⁴	'i⁴yan⁴-chin²-ye⁴’en⁴, y’u⁴vi⁴-y’a²na⁴	papa11, chic12, yolo11, alco11	100	U+2074
ts	ts	ntsìtsǎ, vitsin	flor12, pied12, colo11, chic12, mixt11, coat11, yucu17, chic02, abas11, copa11, tepe03	100	U+0074 U+0073
