Grapheme	IPA	Class	Status	Comments	Source	Doculect																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ùùn	ũ1ũ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
uūn	ũ1ũ3	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ùūn	ũ1ũ3	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
uún	ũ1ũ5	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ùún	ũ1ũ5	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ū	u3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūn	ũ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūun	ũ3ũ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūùn	ũ3ũ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūūn	ũ3ũ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ūún	ũ3ũ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ú	u5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
ún	ũ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
úun	ũ5ũ1	vowel and tone			johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
úùn	ũ5ũ1	vowel and tone			pensinger1974diccionario	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
úūn	ũ5ũ3	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
úún	ũ5ũ5	vowel and tone			pensinger1974diccionario, johnson1988syntactic	jami11																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																									
