ID,Doculect,Concept,Form,PMCouplet,CogID_Durr,ToneMod,CitForm
60,peno11,stool,tèžú,HL,32,no,no
461,gran11,stool,tēžù,HL,32,no,no
558,caca11,stool,tēì,HL,32,no,no
734,alac11,stool,tāyì,HL,32,no,no
781,metl11,stool,tʸāyù,HL,32,no,no
848,cahu11,stool,tāyī,HL,32,no,no
1061,jica11,stool,tāyū,HL,32,no,no
1119,chay11,stool,tēì,HL,32,no,no
61,peno11,lime,kàkà,HL,33,no,no
360,atat11,lime,kākā,HL,33,no,no
462,gran11,lime,kākà,HL,33,no,no
676,ayut11,lime,kàkà,HL,33,no,no
782,metl11,lime,kākā’,HL,33,no,no
849,cahu11,lime,kākā,HL,33,no,no
918,mixt11,lime,kākà,HL,33,no,no
1062,jica11,lime,kākā,HL,33,no,no
6,diux11,uncle,'đìtò,HL,34,no,no
62,peno11,uncle,đìtó,HL,34,no,no
147,coat11,uncle,đító,HL,34,no,yes
224,moli11,uncle,stōò,HL,34,no,no
285,ocot11,uncle,šītò,HL,34,no,no
361,atat11,uncle,stōō,HL,34,no,no
463,gran11,uncle,stōò,HL,34,no,no
559,caca11,uncle,đītò,HL,34,no,no
621,xaya11,uncle,đītò,HL,34,no,no
677,ayut11,uncle,šìtò,HL,34,no,no
783,metl11,uncle,šītò,HL,34,no,no
850,cahu11,uncle,sītō,HL,34,no,no
919,mixt11,uncle,šītò,HL,34,no,no
981,prog12,uncle,hìtò,HL,34,no,no
1063,jica11,uncle,šītō,HL,34,no,no
7,diux11,aunt,'đìđí,HL,35,no,no
63,peno11,aunt,đìđí,HL,35,no,no
148,coat11,aunt,đíđí,HL,35,no,yes
225,moli11,aunt,sīsì,HL,35,no,no
286,ocot11,aunt,šīšì,HL,35,no,no
362,atat11,aunt,sīsī,HL,35,no,no
464,gran11,aunt,šīì,HL,35,no,no
560,caca11,aunt,đīđì,HL,35,no,no
622,xaya11,aunt,đīđī,HL,35,no,no
678,ayut11,aunt,šìšì,HL,35,no,no
784,metl11,aunt,šīšī,HL,35,no,no
851,cahu11,aunt,sīsī,HL,35,no,no
982,prog12,aunt,hìhì,HL,35,no,no
1064,jica11,aunt,čīšī,HL,35,no,no
64,peno11,frog,làʔƀá,HL,36,no,no
149,coat11,frog,ȼàʔƀá,HL,36,no,yes
465,gran11,frog,sāʔƀà,HL,36,no,no
920,mixt11,frog,sàʔƀà,HL,36,no,no
983,prog12,frog,láʔƀà,HL,36,no,no
1065,jica11,frog,sāʔƀā,HL,36,no,no
65,peno11,bird,tɨ́-làá,HL,37,no,no
150,coat11,bird,làá,HL,37,no,yes
287,ocot11,bird,sāà,HL,37,no,no
363,atat11,bird,sāā,HL,37,no,no
466,gran11,bird,sāà,HL,37,no,no
561,caca11,bird,tì-lāà,HL,37,no,no
679,ayut11,bird,sàà,HL,37,no,no
785,metl11,bird,sāā,HL,37,no,no
852,cahu11,bird,sáá,HL,37,no,no
984,prog12,bird,lāā,HL,37,no,no
1066,jica11,bird,sāā,HL,37,no,no
467,gran11,wall,nāmà,HL,38,no,no
562,caca11,wall,nā̧mà̧,HL,38,no,no
623,xaya11,wall,nāmā,HL,38,no,no
680,ayut11,wall,nāmà,HL,38,no,no
786,metl11,wall,nāmà,HL,38,no,no
1067,jica11,wall,nāmā,HL,38,no,no
1120,chay11,wall,nāmà,HL,38,no,no
66,peno11,town,ñùú,HL,39,no,no
151,coat11,town,ñù̧ú̧,HL,39,no,yes
226,moli11,town,ñùù,HL,39,no,no
288,ocot11,town,ñūù,HL,39,no,no
364,atat11,town,ñūū,HL,39,no,no
468,gran11,town,ñūù,HL,39,no,no
563,caca11,town,ñō̧ò̧,HL,39,no,no
681,ayut11,town,ñùù,HL,39,no,no
735,alac11,town,ñō̧ō̧,HL,39,no,no
853,cahu11,town,ñó̧ō̧,HL,39,no,no
921,mixt11,town,ñūù,HL,39,no,no
985,prog12,town,ñūū,HL,39,no,no
1068,jica11,town,ñū̧ū̧,HL,39,no,no
1121,chay11,town,ñūù,HL,39,no,no
8,diux11,brother,'ñànì,HL,40,no,no
67,peno11,brother,ñàní,HL,40,no,no
152,coat11,brother,éní̧,HL,40,no,yes
289,ocot11,brother,ñānì,HL,40,no,no
365,atat11,brother,ñānī,HL,40,no,no
469,gran11,brother,ñānì,HL,40,no,no
564,caca11,brother,ñāñī̧,HL,40,no,no
624,xaya11,brother,ñānī,HL,40,no,no
682,ayut11,brother,ñànì,HL,40,no,no
787,metl11,brother,yānī,HL,40,no,no
854,cahu11,brother,ñānī,HL,40,no,no
986,prog12,brother,ñànì,HL,40,no,no
68,peno11,hole,žàú,HL,41,no,no
153,coat11,hole,šáƀǐ,HL,41,no,no
366,atat11,hole,žāū,HL,41,no,no
,atat11,hole,žāƀū,HL,41,no,no
470,gran11,hole,žāù,HL,41,no,no
625,xaya11,hole,yāƀī,HL,41,no,no
736,alac11,hole,yāƀì,HL,41,no,no
855,cahu11,hole,yāwī,HL,41,no,no
922,mixt11,hole,yàƀì,HL,41,no,no
987,prog12,hole,žáƀì,HL,41,no,no
1122,chay11,hole,yāƀì,HL,41,no,no
69,peno11,flower,ìtá,HL,42,no,no
154,coat11,flower,(làà),HL,42,no,no
227,moli11,flower,ītà,HL,42,no,no
290,ocot11,flower,ītà,HL,42,no,no
367,atat11,flower,ītā,HL,42,no,no
471,gran11,flower,ītā,HL,42,no,no
683,ayut11,flower,ìtà,HL,42,no,no
788,metl11,flower,ītā,HL,42,no,no
856,cahu11,flower,yītā,HL,42,no,no
923,mixt11,flower,ītà,HL,42,no,no
1069,jica11,flower,ītā,HL,42,no,no
1123,chay11,flower,ītà,HL,42,no,no
70,peno11,deer,ìđú,HL,43,no,no
155,coat11,horse,íđú ,HL,43,no,no
228,moli11,deer,īsù,HL,43,no,no
291,ocot11,deer,īsù,HL,43,no,no
472,gran11,deer,īsù,HL,43,no,no
626,xaya11,horse,īđū ,HL,43,no,no
737,alac11,deer,yūsū,HL,43,no,no
857,cahu11,deer,tn-ǖsǖ,HL,43,no,no
988,prog12,deer,ǖhǖ,HL,43,no,no
71,peno11,inside,ìní,HL,44,no,no
229,moli11,inside,īnì,HL,44,no,no
292,ocot11,inside,īnì,HL,44,no,no
368,atat11,inside,īnī,HL,44,no,no
473,gran11,inside,īnì,HL,44,no,no
684,ayut11,inside,ìnì,HL,44,no,no
789,metl11,inside,īnī,HL,44,no,no
858,cahu11,inside,īnī,HL,44,no,no
989,prog12,inside,īnī,HL,44,no,no
