ID,CATEGORY,CONCEPTICON_ID,CONCEPTICON_GLOSS,ADD_CONCEPT,ENGLISH,SPANISH,COVERAGE,ID_EWC,ID_MAT,ID_JOSS,ID_DURR,ID_SWME,ID_PADG,SPANISH_EWC,SPANISH_MAT,SPANISH_JOSS,SPANISH_SWME,SPANISH_PADG,ENGLISH_EWC,ENGLISH_MAT,ENGLISH_JOSS,ENGLISH_DURR,ENGLISH_PADG
174,property,1813,TASTY,NA,TASTY,sabroso,3,254,58; 423,130,NA,NA,NA,sabroso,"delicioso, sabroso",sabroso,NA,NA,tasty,"delicious, tasty",tasty,NA,NA
175,property,1243,WIDE,NA,WIDE,ancho,4,164,82,NA,NA,71,7,ancho,ancho,NA,"amplio, muy abierto",ancho,wide,wide,NA,NA,wide
176,property,1231,NEW,NA,NEW,nuevo,4,270,137,NA,107,NA,70,nuevo,nuevo,NA,NA,nuevo,new,new,NA,new,new
177,property,1564,LAZY,NA,LAZY,flojo,4,277,264,17,NA,56,NA,flojo,perezoso,flojo,flojo,NA,lazy,lazy,lazy,NA,NA
178,property,1548,UGLY,NA,UGLY,feo,2,278,NA,70,NA,NA,NA,feo,NA,feo,NA,NA,ugly,NA,ugly,NA,NA
179,property,2821,JEALOUS,NA,JEALOUS,celoso,2,NA,311,NA,NA,63,NA,NA,celoso,NA,celoso,NA,NA,jealous,NA,NA,NA
180,property,1942,NEAR,NA,NEAR,"cerca de, está cerca",4,NA,212,10,NA,13,24,NA,cerca de,está cerca,cerca,cerca,NA,near,near,NA,nearby
181,property,1406,FAR,NA,FAR,"está lejos, lejos",3,281,68,NA,NA,NA,57,está lejos,lejos,NA,NA,lejos,far,far,NA,NA,far away
182,property,1203,LONG,NA,LONG,largo,3,170,NA,NA,97,NA,56,largo,NA,NA,NA,largo,long,NA,NA,long,long
183,property,1210,HEAVY,NA,HEAVY,pesado,3,255,NA,187,NA,50,NA,pesado,NA,pesado,pesado,NA,heavy,NA,heavy,NA,NA
184,property,1959,RAW,NA,RAW,crudo,3,266,511,NA,NA,54,NA,crudo,crudo,NA,crudo,NA,raw,"raw, uncooked",NA,NA,NA
185,property,1234,SMOOTH,NA,SMOOTH,liso,3,318,228,152,NA,NA,NA,liso,liso,liso,NA,NA,smooth,smooth,smooth,NA,NA
186,property,701,SLOW,NA,SLOW,despacio,3,NA,147,163,NA,62,NA,NA,despacio,despacio,despacio,NA,NA,slowly,slow,NA,NA
187,time,1174,YESTERDAY,NA,YESTERDAY,ayer,5,132,107,170,29,12,NA,ayer,ayer,ayer,ayer,NA,yesterday,yesterday,yesterday,yesterday,NA
188,time,1226,YEAR,NA,YEAR,año,4,117,500,74,81,NA,NA,año,año,año,NA,NA,year,year,year,year,NA
189,time,1376,NOW,NA,NOW,ahora,4,NA,466,134,27,17,NA,NA,ahora,abora,ahora,NA,NA,now,now,now,NA
190,time,1233,NIGHT,NA,NIGHT,noche,3,20,NA,83,NA,NA,68,noche,NA,toda la noche,NA,noche,night,NA,all night,NA,night
191,time,1225,DAY (NOT NIGHT),NA,DAY (NOT NIGHT),día,3,NA,71,154,63,NA,NA,NA,"día, sol",dia,NA,NA,NA,"day, sun",day,day,NA
192,measure,816,HALF,NA,HALF,mitad,3,307,359,92,NA,NA,NA,mitad,mitad,mitad,NA,NA,half,"half, middle",half,NA,NA
193,measure,NA,NA,CUARTA DE MANO,handspan,cuarta de mano,3,308,NA,62,17,NA,NA,cuarta de mano,NA,cuarta,NA,NA,handspan,NA,handspan,handspan,NA
194,abstract,1559,MONEY,,money,dinero,2,97,275,NA,NA,NA,NA,dinero,dinero,NA,NA,NA,money,money,NA,NA,NA
195,abstract,984,WORK (LABOUR),NA,work,trabajo,5,109,297,49,16,15,NA,trabajo,trabajo,trabajo,trabajo,NA,NA,work,work,work,NA
196,abstract,1599,WORD,NA,WORD,palabra,5,18,NA,9,48,49,73,palabra,NA,palabra,palabra,palabra,word,NA,word,word,word
197,abstract,NA,NA,CULPA,"fault, blame",culpa,4,104,75,20,NA,46,NA,culpa,"pecado, culpa",culpa,culpa,NA,"fault, blame","sin, blame",NA,NA,NA
198,abstract,2374,DREAM,NA,dream,sueño,3,327,182,NA,NA,78,NA,sueño,sueño,NA,sueño,NA,dream,dream,NA,NA,NA
199,abstract,1238,WHEN,NA,when,cuando,3,NA,8; 190,155,NA,11,NA,NA,cuando,cuando,cuándo,NA,NA,when,when,NA,NA
200,abstract,NA,NA,CANCION O MUSICA,"song, music","canción, música",2,NA,440,NA,NA,20,NA,NA,"canción, música",NA,"canción, música",NA,NA,"song, music",NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2,,,,
