LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V277_ni'i,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V278_kuntxita,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V279_ntxiko,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V280_santxiko, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V281_ntachikaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V282_nta'ava,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V283_kuna'a,5 ⇌ 111 / _[1-3],5 ⇌ 31 / _[1-3],11 ⇌ 3 / _X+
V284_ntikua'a,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V285_kunaa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V286_ñani,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V287_ntaka'nu,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V288_koso,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V289_titi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V290_ka'nu,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V291_kutatxi, ⇌ 1 / _X+,1 ⇌ 5 / 3_533,1_1 ⇌ _5 / _3_533
V292_takue'e, ⇌ 1 / _X+,1 ⇌ 3 / [3-5]+3_1?,1_1 ⇌ 3_ / _3?[1-3]_[1-3]
V293_kutatan,_5_ ⇌ 1__1 / _3_5_, ⇌  / X+,1_1 ⇌ _5 / _35_
V294_shatxa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V295_chichi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V296_ntaxin,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V297_ñu'ma,55 ⇌ 111 / _,55 ⇌ 11 / _,1 ⇌  / _X+
V298_kava,53 ⇌ 111 / _3*,53 ⇌ 11 / _3*,1 ⇌  / _X+
V299_kaan,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V300_kaya,53 ⇌ 111 / _3*,53 ⇌ 11 / _3*,1 ⇌  / _X+
V301_kantxaa,3 ⇌ 11 / _X+,3 ⇌ 1 / _X+,1 ⇌  / _X+
V302_ka'vi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V303_kata,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V304_kuun,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V305_kisi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V306_kuya'vi,3 ⇌ 11 / _X+,3 ⇌ 1 / _X+,1 ⇌  / _X+
V307_kokonii,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V308_kokona'na,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V309_kuchuun,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V310_sama,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V311_ntasama,_3 ⇌ 11_ / _[1-3]+_[3-5]+5?,_3 ⇌ 1_ / _[1-3]_[3-5],1 ⇌  / _X+
V312_nana,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V313_nta'a, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V314_xaxan,55 ⇌ 133 / _5*,55 ⇌ 33 / _5*,1 ⇌  / _X+
V315_ntxitxa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V316_sayaa,5_ ⇌ 1_1 / _3?1+_,5_ ⇌ _1 / _[1-3]?1_3*,1 ⇌  / _X+
V317_ta'ni,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V318_kuyatxi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V319_xo'o, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V320_xini,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V321_kasi,5_ ⇌ 1_3 / _[3-5]_X*,5 ⇌ 3 / [3-5]_[3-5]*,1 ⇌  / _X+
V322_katxa,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V323_kuchishi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V324_ntichishi,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V325_ntxii, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V326_kukiniini,5 ⇌ 13 / _X+,5 ⇌ 3 / _X+,1 ⇌  / _X+
V327_xi'in,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V328_kuntaya,5 ⇌ 13 / _X+,5 ⇌ 33 / _[3-5],1 ⇌ 3 / _[1-3]+
V329_sakua'na, ⇌ 1 / _X+, ⇌  / X+,1 ⇌  / _X+
V330_xiti,5 ⇌ 13 / _X+,5 ⇌ 33 / _[3-5],1 ⇌ 3 / _[1-3]+
V331_yoso,5 ⇌ 113 / _[3-5],5 ⇌ 13 / _5,1 ⇌  / _X+
V332_kunii, ⇌ 33 / 1?[1-3]_3?,1 ⇌ 33 / _3,1 ⇌  / _X+
V333_kakanuu,53_ ⇌ _333 / _11_,5_11 ⇌ _333 / _3_,11 ⇌ 3 / _X+
V334_kuntxaka,5 ⇌ 113 / _[3-5],5 ⇌ 33 / _[3-5],11 ⇌ 3 / _X+
V335_ntxee,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
V336_shiko,5 ⇌ 11 / _X+,5 ⇌ 1 / _X+,1 ⇌  / _X+
