LEXEME,"('IMPF', 'PFV')","('IMPF', 'IRR')","('PFV', 'IRR')"
V181_kanta,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V182_xaa, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V183_ntani'i,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V184_ntativi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V185_kukuiti, ⇌ 1 / _[1-3-5]+ <45>,5 ⇌ 3 / _[1-3-5]+ <145>,15 ⇌ 3 / _335 <1>
V186_sakutxiya'a, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V187_sakukunuo, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V188_koto'va,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V189_ntoo,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V190_ntaki'in,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V191_ni'i,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V192_kuka'nu,3 ⇌ 11 / _[1-3-5]+ <10>, ⇌  / [1-3-5]+ <46>,11 ⇌ 3 / _[1-3-5]+ <28>
V193_xaa,_3 ⇌ 1_5 / _[3-5]_5? <2>,3 ⇌ 5 / [3-5]_5? <3>,1 ⇌  / _[1-3-5]+ <282>
V194_koko,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V195_tivi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V196_santxi'i, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V197_tase'e, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V198_kaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V199_santoo, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V200_kontoo,5 ⇌ 113 / _[3-5] <7>,5 ⇌ 33 / _[3-5] <11>,11 ⇌ 3 / _[1-3-5]+ <28>
V201_ntañuu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V202_ntaa,33 ⇌ 1 / _33 <1>,33 ⇌  / _3+ <2>,1 ⇌  / _[1-3-5]+ <282>
V203_xinu,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V204_katxa,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V205_kuitxa,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 31 / _[1-3] <6>,1 ⇌ 3 / _[1-3]+ <9>
V206_yakun,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V207_katei,33 ⇌ 111 / _1 <1>,33 ⇌ 11 / _1 <1>,1 ⇌  / _[1-3-5]+ <282>
V208_nañu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V209_nuntxa'a,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V210_ntiku'unini,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V211_saya'a, ⇌ 1 / _[1-3-5]+ <45>,5 ⇌  / _[1-3]+ <2>,15 ⇌  / _[1-3]+ <2>
V212_ku'ni,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V213_kaan,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V214_yata,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V215_ka'ntxi,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V216_xuun,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V217_tuun,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V218_chikava'a,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V219_ntakaa, ⇌ 1 / _[1-3-5]+ <45>,5 ⇌  / _[1-3]+ <2>,15 ⇌  / _[1-3]+ <2>
V220_chikanii, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V221_yivintxaa, ⇌ 3 / 1_3+ <2>,1_ ⇌ _3 / 3*_3+_ <3>,1 ⇌  / _[1-3-5]+ <282>
V222_chikili,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V223_txa'ntxa,55 ⇌ 111 / _ <5>,55 ⇌ 11 / _ <5>,1 ⇌  / _[1-3-5]+ <282>
V224_kuntasi,3 ⇌ 11 / _[1-3-5]+ <10>,3 ⇌ 1 / _[1-3-5]+ <6>,1 ⇌  / _[1-3-5]+ <282>
V225_kuntakaa,53_ ⇌ 11_11 / _3_ <1>,5_ ⇌ _11 / _33_ <1>,11 ⇌ 3 / _[1-3-5]+ <28>
V226_cho'o,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V227_kuva'a,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V228_kee,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V229_kai,3 ⇌ 11 / _[1-3-5]+ <10>,3 ⇌ 1 / _[1-3-5]+ <6>,1 ⇌  / _[1-3-5]+ <282>
V230_ka'a,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V231_sakuachi, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V232_shita,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V233_ntakaxi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V234_txaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V235_sana'a, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V236_ntuva'a,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V237_saka,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V238_chita'an,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V239_ntakuni,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V240_sanuntxa'a, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V241_kununu,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 3 / _[1-3-5]+ <145>,11 ⇌ 3 / _[1-3-5]+ <28>
V242_kakintxaa, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V243_ta'vi,55 ⇌ 111 / _ <5>,55 ⇌ 11 / _ <5>,1 ⇌  / _[1-3-5]+ <282>
V244_kavanuu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V245_ntisaka,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V246_saa,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V247_kuntaa, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V248_ntxikokoo,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V249_kukuaan, ⇌ 13 / _[1-3-5]+ <7>, ⇌ 3 / _[1-3-5]+ <8>,1 ⇌  / _[1-3-5]+ <282>
V250_kuxiva'a,_ ⇌ 1_1 / _5?[1-3]_[1-3]* <2>, ⇌ 1 / [3-5]*_[1-3]* <2>,1 ⇌  / _[1-3-5]+ <282>
V251_kukuii, ⇌ 13 / _[1-3-5]+ <7>, ⇌ 3 / _[1-3-5]+ <8>,1 ⇌  / _[1-3-5]+ <282>
V252_kuita,_5 ⇌ 13_ / _[3-5]?5_ <28>,_5 ⇌ 3_ / 3*_[3-5]_[3-5]* <34>,1 ⇌  / _[1-3-5]+ <282>
V253_kuntxee, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V254_shu'un,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V255_sana,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V256_ntatava,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V257_chintxaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V258_xixin,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V259_chiko'va,5_5 ⇌ 133_ / _[3-5]+_ <5>,5_5 ⇌ _13 / _3_ <1>,13_ ⇌ _1 / _3_3 <1>
V260_sakee, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V261_sakoyo, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V262_kuntxitxa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V263_numi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V264_ntantiki,5_5 ⇌ 133_ / _[3-5]+_ <5>,5_5 ⇌ 33_ / _[3-5]+_ <4>,1 ⇌  / _[1-3-5]+ <282>
V265_sante'i, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V266_ntasaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V267_kunte'i, ⇌ 13 / _[1-3-5]+ <7>, ⇌ 3 / _[1-3-5]+ <8>,1 ⇌  / _[1-3-5]+ <282>
V268_tana,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V269_txañu,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V270_txian,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V271_kukuiin, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V272_ntakasi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V273_sakitxi, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V274_saketa, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V275_ntiko'o,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V276_kuxiva'a, ⇌ 13 / _[1-3-5]+ <7>, ⇌ 3 / _[1-3-5]+ <8>,1 ⇌  / _[1-3-5]+ <282>
V277_ni'i,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V278_kuntxita,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V279_ntxiko,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V280_santxiko, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V281_ntachikaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V282_nta'ava,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V283_kuna'a,5 ⇌ 111 / _[1-3] <2>,5 ⇌ 31 / _[1-3] <6>,11 ⇌ 3 / _[1-3-5]+ <28>
V284_ntikua'a,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V285_kunaa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V286_ñani,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V287_ntaka'nu,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V288_koso,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V289_titi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V290_ka'nu,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V291_kutatxi, ⇌ 1 / _[1-3-5]+ <45>,1 ⇌ 5 / 3_533 <1>,1_1 ⇌ _5 / _3_533 <1>
V292_takue'e, ⇌ 1 / _[1-3-5]+ <45>,1 ⇌ 3 / [3-5]+3_1? <2>,1_1 ⇌ 3_ / _3?[1-3]_[1-3] <5>
V293_kutatan,_5_ ⇌ 1__1 / _3_5_ <1>, ⇌  / [1-3-5]+ <46>,1_1 ⇌ _5 / _35_ <1>
V294_shatxa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V295_chichi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V296_ntaxin,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V297_ñu'ma,55 ⇌ 111 / _ <5>,55 ⇌ 11 / _ <5>,1 ⇌  / _[1-3-5]+ <282>
V298_kava,53 ⇌ 111 / _3* <3>,53 ⇌ 11 / _3* <3>,1 ⇌  / _[1-3-5]+ <282>
V299_kaan,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V300_kaya,53 ⇌ 111 / _3* <3>,53 ⇌ 11 / _3* <3>,1 ⇌  / _[1-3-5]+ <282>
V301_kantxaa,3 ⇌ 11 / _[1-3-5]+ <10>,3 ⇌ 1 / _[1-3-5]+ <6>,1 ⇌  / _[1-3-5]+ <282>
V302_ka'vi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V303_kata,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V304_kuun,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V305_kisi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V306_kuya'vi,3 ⇌ 11 / _[1-3-5]+ <10>,3 ⇌ 1 / _[1-3-5]+ <6>,1 ⇌  / _[1-3-5]+ <282>
V307_kokonii,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V308_kokona'na,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V309_kuchuun,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V310_sama,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V311_ntasama,_3 ⇌ 11_ / _[1-3]+_[3-5]+5? <6>,_3 ⇌ 1_ / _[1-3]_[3-5] <3>,1 ⇌  / _[1-3-5]+ <282>
V312_nana,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V313_nta'a, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V314_xaxan,55 ⇌ 133 / _5* <17>,55 ⇌ 33 / _5* <17>,1 ⇌  / _[1-3-5]+ <282>
V315_ntxitxa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V316_sayaa,5_ ⇌ 1_1 / _3?1+_ <28>,5_ ⇌ _1 / _[1-3]?1_3* <26>,1 ⇌  / _[1-3-5]+ <282>
V317_ta'ni,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V318_kuyatxi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V319_xo'o, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V320_xini,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V321_kasi,5_ ⇌ 1_3 / _[3-5]_[1-3-5]* <97>,5 ⇌ 3 / [3-5]_[3-5]* <3>,1 ⇌  / _[1-3-5]+ <282>
V322_katxa,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V323_kuchishi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V324_ntichishi,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V325_ntxii, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V326_kukiniini,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 3 / _[1-3-5]+ <145>,1 ⇌  / _[1-3-5]+ <282>
V327_xi'in,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V328_kuntaya,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 33 / _[3-5] <11>,1 ⇌ 3 / _[1-3]+ <9>
V329_sakua'na, ⇌ 1 / _[1-3-5]+ <45>, ⇌  / [1-3-5]+ <46>,1 ⇌  / _[1-3-5]+ <282>
V330_xiti,5 ⇌ 13 / _[1-3-5]+ <140>,5 ⇌ 33 / _[3-5] <11>,1 ⇌ 3 / _[1-3]+ <9>
V331_yoso,5 ⇌ 113 / _[3-5] <7>,5 ⇌ 13 / _5 <1>,1 ⇌  / _[1-3-5]+ <282>
V332_kunii, ⇌ 33 / 1?[1-3]_3? <1>,1 ⇌ 33 / _3 <1>,1 ⇌  / _[1-3-5]+ <282>
V333_kakanuu,53_ ⇌ _333 / _11_ <1>,5_11 ⇌ _333 / _3_ <1>,11 ⇌ 3 / _[1-3-5]+ <28>
V334_kuntxaka,5 ⇌ 113 / _[3-5] <7>,5 ⇌ 33 / _[3-5] <11>,11 ⇌ 3 / _[1-3-5]+ <28>
V335_ntxee,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
V336_shiko,5 ⇌ 11 / _[1-3-5]+ <63>,5 ⇌ 1 / _[1-3-5]+ <48>,1 ⇌  / _[1-3-5]+ <282>
