ID	Doculect	Concept	Form	PMCouplet	CogID_Durr	ToneMod	CitForm	IDlist	ID
434	gran11	clothes	sāʔmā 	HHʔ	6	yes	no	39	2266
545	caca11	clothes	đāʔmà̧ 	HHʔ	6	yes	no	39	2267
609	xaya11	clothes	đāʔmà̧ 	HHʔ	6	yes	no	39	2268
662	ayut11	clothes	sàʔmáʔ	HHʔ	6	no	no	39	2269
908	mixt11	clothes	sàʔmǎ	HHʔ	6	no	no	39	2270
965	prog12	clothes	háʔmà	HHʔ	6	no	no	39	2271
1048	jica11	clothes	sàʔmà	HHʔ	6	no	no	39	2272
170	coat11	sandal	ⁿdíʔšȩ̌	LLʔ	66	no	no	40	2273
388	atat11	sandal	ⁿdīxȩ̀	LLʔ	66	no	no	40	2274
495	gran11	sandal	ⁿdīxà̧ 	LLʔ	66	yes	no	40	2275
579	caca11	sandal	ⁿdìsà	LLʔ	66	no	no	40	2276
638	xaya11	sandal	ⁿdìsà̧	LLʔ	66	no	no	40	2277
698	ayut11	sandal	ⁿdīšà̧ʔ	LLʔ	66	no	no	40	2278
875	cahu11	sandal	ⁿdǜsà	LLʔ	66	no	no	40	2279
939	mixt11	sandal	ⁿzìȼǎ	LLʔ	66	no	no	40	2280
1007	prog12	sandal	ⁿdǜsà	LLʔ	66	no	no	40	2281
66	peno11	town	ñùú	HL	39	no	no	43	2282
151	coat11	town	ñù̧ú̧	HL	39	no	yes	43	2283
226	moli11	town	ñùù	HL	39	no	no	43	2284
288	ocot11	town	ñūù	HL	39	no	no	43	2285
364	atat11	town	ñūū	HL	39	no	no	43	2286
468	gran11	town	ñūù	HL	39	no	no	43	2287
563	caca11	town	ñō̧ò̧	HL	39	no	no	43	2288
681	ayut11	town	ñùù	HL	39	no	no	43	2289
735	alac11	town	ñō̧ō̧	HL	39	no	no	43	2290
853	cahu11	town	ñó̧ō̧	HL	39	no	no	43	2291
921	mixt11	town	ñūù	HL	39	no	no	43	2292
985	prog12	town	ñūū	HL	39	no	no	43	2293
1068	jica11	town	ñū̧ū̧	HL	39	no	no	43	2294
1121	chay11	town	ñūù	HL	39	no	no	43	2295
56	peno11	house	ƀèʔè	HH	28	no	no	44	2296
145	coat11	house	ƀìʔì	HH	28	no	no	44	2297
220	moli11	house	ƀēʔē	HH	28	no	no	44	2298
283	ocot11	house	ƀēʔē	HH	28	no	no	44	2299
356	atat11	house	ƀēʔē	HH	28	no	no	44	2300
457	gran11	house	ƀēʔē	HH	28	no	no	44	2301
555	caca11	house	ƀēʔē	HH	28	no	no	44	2302
617	xaya11	house	ƀēʔē	HH	28	no	no	44	2303
673	ayut11	house	wìʔè	HH	28	no	no	44	2304
733	alac11	house	ƀēʔē	HH	28	no	no	44	2305
778	metl11	house	ƀēʔē	HH	28	no	no	44	2306
846	cahu11	house	wēʔē	HH	28	no	no	44	2307
915	mixt11	house	ƀēʔē	HH	28	no	no	44	2308
978	prog12	house	ƀēʔē	HH	28	no	no	44	2309
1057	jica11	house	ƀèʔè	HH	28	no	no	44	2310
1116	chay11	house	ƀēʔē	HH	28	no	no	44	2311
43	peno11	road	ìčì	HHʔ	15	no	no	45	2312
210	moli11	road	īčī	HHʔ	15	no	no	45	2313
278	ocot11	road	īčī	HHʔ	15	no	no	45	2314
343	atat11	road	īčī	HHʔ	15	no	no	45	2315
443	gran11	road	īčī 	HHʔ	15	yes	no	45	2316
773	metl11	road	īčí	HHʔ	15	no	no	45	2317
839	cahu11	road	yīčī	HHʔ	15	no	no	45	2318
972	prog12	road	íčì	HHʔ	15	no	no	45	2319
1053	jica11	road	ìtì	HHʔ	15	no	no	45	2320
1114	chay11	road	ītʸī	HHʔ	15	no	no	45	2321
38	peno11	straw mat	žùù	HHʔ	9	no	no	47	2322
276	ocot11	straw mat	žūū	HHʔ	9	no	no	47	2323
337	atat11	straw mat	žūū	HHʔ	9	no	no	47	2324
437	gran11	straw mat	žūū 	HHʔ	9	yes	no	47	2325
547	caca11	straw mat	žūù 	HHʔ	9	yes	no	47	2326
610	xaya11	straw mat	yūì	HHʔ	9	no	no	47	2327
664	ayut11	straw mat	yìwìʔ	HHʔ	9	no	no	47	2328
769	metl11	straw mat	yūƀì 	HHʔ	9	yes	no	47	2329
834	cahu11	straw mat	yīwí	HHʔ	9	no	no	47	2330
909	mixt11	straw mat	yùƀǐ	HHʔ	9	no	no	47	2331
1050	jica11	straw mat	yùƀì	HHʔ	9	no	no	47	2332
1111	chay11	straw mat	yūū	HHʔ	9	no	no	47	2333
60	peno11	stool	tèžú	HL	32	no	no	49	2334
461	gran11	stool	tēžù	HL	32	no	no	49	2335
558	caca11	stool	tēì	HL	32	no	no	49	2336
734	alac11	stool	tāyì	HL	32	no	no	49	2337
781	metl11	stool	tʸāyù	HL	32	no	no	49	2338
848	cahu11	stool	tāyī	HL	32	no	no	49	2339
1061	jica11	stool	tāyū	HL	32	no	no	49	2340
1119	chay11	stool	tēì	HL	32	no	no	49	2341
1	diux11	animal	kɨ̀tɨ̀	HHʔ	1	no	no	50	2342
31	peno11	animal	kɨ̀tɨ̀	HHʔ	1	no	no	50	2343
198	moli11	animal	kītī	HHʔ	1	no	no	50	2344
270	ocot11	animal	kītī	HHʔ	1	no	no	50	2345
329	atat11	animal	kɨ̄tɨ̄	HHʔ	1	no	no	50	2346
429	gran11	animal	kɨ̄tɨ̄ 	HHʔ	1	yes	no	50	2347
542	caca11	animal	kītì 	HHʔ	1	yes	no	50	2348
607	xaya11	animal	kīsì 	HHʔ	1	yes	no	50	2349
765	metl11	animal	kītí	HHʔ	1	no	no	50	2350
827	cahu11	animal	kītī	HHʔ	1	no	no	50	2351
961	prog12	animal	kítì	HHʔ	1	no	no	50	2352
1044	jica11	animal	kìtì	HHʔ	1	no	no	50	2353
1108	chay11	animal	kɨ̄tɨ̄	HHʔ	1	no	no	50	2354
65	peno11	bird	tɨ́-làá	HL	37	no	no	51	2355
150	coat11	bird	làá	HL	37	no	yes	51	2356
287	ocot11	bird	sāà	HL	37	no	no	51	2357
363	atat11	bird	sāā	HL	37	no	no	51	2358
466	gran11	bird	sāà	HL	37	no	no	51	2359
561	caca11	bird	tì-lāà	HL	37	no	no	51	2360
679	ayut11	bird	sàà	HL	37	no	no	51	2361
785	metl11	bird	sāā	HL	37	no	no	51	2362
852	cahu11	bird	sáá	HL	37	no	no	51	2363
984	prog12	bird	lāā	HL	37	no	no	51	2364
1066	jica11	bird	sāā	HL	37	no	no	51	2365
26	diux11	fish	čákà	MT	94	no	no	52	2366
114	peno11	fish	čáká	MT	94	no	no	52	2367
185	coat11	fish	ȼàʔká	MT	94	no	yes	52	2368
261	moli11	fish	čākā	MT	94	no	no	52	2369
415	atat11	fish	čàká	MT	94	no	no	52	2370
524	gran11	fish	čáká 	MT	94	no	no	52	2371
525	gran11	fish	tɨ̄-žáká	MT	94	no	no	52	2372
597	caca11	fish	tì-žākā	MT	94	no	no	52	2373
651	xaya11	fish	s-yākā	MT	94	no	no	52	2374
713	ayut11	fish	tʸàkáʔ	MT	94	no	no	52	2375
757	alac11	fish	tiáká	MT	94	no	no	52	2376
820	metl11	fish	tʸàká	MT	94	no	no	52	2377
896	cahu11	fish	tʸāká	MT	94	no	no	52	2378
1031	prog12	fish	tī-žàká	MT	94	no	no	52	2379
88	peno11	snake	kóó	LLʔ	65	no	no	53	2380
169	coat11	snake	kóǒ	LLʔ	65	no	no	53	2381
245	moli11	snake	kòò 	LLʔ	65	yes	no	53	2382
387	atat11	snake	kōò	LLʔ	65	no	no	53	2383
494	gran11	snake	kōò 	LLʔ	65	yes	no	53	2384
578	caca11	snake	kòò	LLʔ	65	no	no	53	2385
637	xaya11	snake	kòò	LLʔ	65	no	no	53	2386
697	ayut11	snake	kōòʔ	LLʔ	65	no	no	53	2387
746	alac11	snake	kòò	LLʔ	65	no	no	53	2388
805	metl11	snake	kōò 	LLʔ	65	yes	no	53	2389
938	mixt11	snake	kòó	LLʔ	65	no	no	53	2390
1006	prog12	snake	kòò	LLʔ	65	no	no	53	2391
1083	jica11	snake	kóó	LLʔ	65	no	no	53	2392
1132	chay11	snake	kòò	LLʔ	65	no	no	53	2393
64	peno11	frog	làʔƀá	HL	36	no	no	54	2394
149	coat11	frog	ȼàʔƀá	HL	36	no	yes	54	2395
465	gran11	frog	sāʔƀà	HL	36	no	no	54	2396
920	mixt11	frog	sàʔƀà	HL	36	no	no	54	2397
983	prog12	frog	láʔƀà	HL	36	no	no	54	2398
1065	jica11	frog	sāʔƀā	HL	36	no	no	54	2399
113	peno11	rat	tɨ̀ñɨ̀	MT	92	no	no	60	2400
413	atat11	rat	Nɨ́ñɨ́	MT	92	no	no	60	2401
521	gran11	rat	tɨ̄ní	MT	92	no	no	60	2402
