ID,ID_Durr,Doculect,Concept,Form,PMCouplet
456,27,SM,now,ƀīnā,HH
457,27,SM,now,ƀītā̧,HH
458,28,SM,house,ƀēʔē,HH
459,29,SM,yesterday,īkū (M),HH
460,30,SM,one,ī̧ī̧,HH
461,31,SM,paper,tūtù,HL
462,32,SM,stool,tēžù,HL
463,33,SM,lime,kākà,HL
464,34,SM,uncle,stōò,HL
465,35,SM,aunt,šīì,HL
466,36,SM,frog,sāʔƀà,HL
467,37,SM,bird,sāà,HL
468,38,SM,wall,nāmà,HL
469,39,SM,town,ñūù,HL
470,40,SM,brother,ñānì,HL
471,41,SM,hole,žāù,HL
472,42,SM,flower,ītā,HL
473,43,SM,deer,īsù,HL
474,44,SM,inside,īnì,HL
475,45,SM,dog,īnà,HL
476,46,SM,stomach,čìī,LH
477,47,SM,man,čàā,LH
478,48,SM,word,tù̧ʔū̧,LH
479,49,SM,clay pot,kɨ̀sɨ̄,LH
480,50,SM,metal,kàā,LH
481,51,SM,meat,kùñū,LH
482,52,SM,cross-sex sibling,kʷàʔā,LH
483,53,SM,adobe,ⁿdòʔō,LH
484,54,SM,child,sèʔē,LH
485,55,SM,sibling's wife,xànū,LH
486,56,SM,ear,sòʔō,LH
487,57,SM,tooth,nù̧ʔū̧,LH
488,58,SM,river,žùčā,LH
489,59,SM,cold,ƀìxī̧,LH
490,60,SM,good,ƀàʔā,LH
491,61,SM,medicine,tānà,LLʔ
492,62,SM,four,kū̧ù̧ (M),LLʔ
493,63,SM,day,kɨ̄ƀɨ̀,LLʔ
494,64,SM,cotton,kāčì,LLʔ
495,65,SM,snake,kōò (M),LLʔ
496,66,SM,sandal,ⁿdīxà̧ (M),LLʔ
497,67,SM,cane,ⁿdōò,LLʔ
498,68,SM,tortilla,stāà (M),LLʔ
499,69,SM,head,šīnì (M),LLʔ
500,70,SM,comal,xīò,LLʔ
501,71,SM,soap,nāmà,LLʔ
502,72,SM,face,nūù (M),LLʔ
503,73,SM,corn,nūnì,LLʔ
504,74,SM,stone,žūù,LLʔ
505,75,SM,moon,žōò,LLʔ
506,76,SM,to go,kɨ̧̄ʔɨ̧̀,LL
507,77,SM,comb,kūkà,LL
508,78,SM,sister,kùʔù,LL
509,79,SM,to cut,kāʔⁿǰà,LL
510,80,SM,to speak,kā̧ʔà̧,LL
511,81,SM,year,kʷīà,LL
512,82,SM,niece,šīkù,LL
513,83,SM,nephew,sāxì̧,LL
514,84,SM,foot,xāʔà,LL
515,85,SM,"herb, bush",žūkù,LL
516,86,SM,thread,žūʔà,LL
517,87,SM,sweet,ƀīšì,LL
518,88,SM,nine,ɨ̧̄ɨ̧̀,LL
519,89,SM,two,ūù,LL
520,90,SM,five,ū̧ʔù̧,LL
521,91,SM,fingernail,tíñū,MT
522,92,SM,rat,tɨ̄ní,MT
523,93,SM,turkey hen,čù̧ú̧,MT
524,93,SM,turkey hen,tī-ñùú,MT
525,94,SM,fish,čáká,MT
526,94,SM,fish,tɨ̄-žáká,MT
527,95,SM,black,tú̧ú̧,MT
528,96,SM,sibling's husband,kàsá,MT
529,97,SM,long,kánī,MT
530,98,SM,big (sg),káʔnū,MT
531,99,SM,white,kʷíxí̧,MT
532,100,SM,green,kʷíì,MT
533,101,SM,small (in pieces),kʷáčí,MT
534,102,SM,red,kʷáʔá,MT
535,103,SM,yellow,kʷá̧á̧,MT
536,104,SM,poor,ⁿdáʔú,MT
537,105,SM,to sell,šìkó,MT
538,106,SM,precious metal,šù̧ʔú̧,MT
539,107,SM,new,xáá,MT
540,108,SM,little,lúlí,MT
541,109,SM,people,ñà-žɨ̄ƀɨ̄,MT
542,110,SM,tongue,žáā,MT
543,1,Cac,animal,kītì (M),HHʔ
544,2,Cac,to eat,kāà (M),HHʔ
545,3,Cac,beans,ⁿdūčī (M),HHʔ
546,6,Cac,clothes,đāʔmà̧ (M),HHʔ
547,7,Cac,tree,žītò̧,HHʔ
548,9,Cac,straw mat,žūù (M),HHʔ
549,10,Cac,mouth,žūʔū (M),HHʔ
550,14,Cac,rope,žōʔò,HHʔ
551,16,Cac,work,čō̧ō̧,HH
552,18,Cac,to come,kīšī,HH
553,21,Cac,to sing,kātā,HH
554,23,Cac,to burn,kāʔmā̧,HH
555,27,Cac,now,ƀīčī,HH
556,28,Cac,house,ƀēʔē,HH
557,30,Cac,one,ī̧ī̧,HH
558,31,Cac,paper,tūtù,HL
559,32,Cac,stool,tēì,HL
560,34,Cac,uncle,đītò,HL
561,35,Cac,aunt,đīđì,HL
562,37,Cac,bird,tì-lāà,HL
563,38,Cac,wall,nā̧mà̧,HL
564,39,Cac,town,ñō̧ò̧,HL
565,40,Cac,brother,ñāñī̧,HL
566,45,Cac,dog,t-ì̧nā̧,HL
567,46,Cac,stomach,tìšī,LH
568,49,Cac,clay pot,kìđī,LH
569,50,Cac,metal,kàā,LH
570,51,Cac,meat,kò̧ñō̧,LH
571,54,Cac,child,đèʔē,LH
572,56,Cac,ear,đòʔō,LH
573,57,Cac,tooth,nò̧ʔō̧,LH
574,59,Cac,cold,ƀìšī,LH
575,60,Cac,good,ƀàʔā,LH
576,61,Cac,medicine,tàtà (M),LLʔ
577,62,Cac,four,kòmì̧ (M),LLʔ
578,64,Cac,cotton,kàčì,LLʔ
579,65,Cac,snake,kòò,LLʔ
580,66,Cac,sandal,ⁿdìsà,LLʔ
581,67,Cac,cane,ⁿdòò (M),LLʔ
582,68,Cac,tortilla,đìtà (M),LLʔ
583,69,Cac,head,đìnì (M),LLʔ
584,70,Cac,comal,šòò (M),LLʔ
585,71,Cac,soap,nàmà (M),LLʔ
586,74,Cac,stone,žùù,LLʔ
587,77,Cac,comb,kùkà,LL
588,78,Cac,sister,kùʔù,LL
589,79,Cac,to cut,tèʔⁿdè,LL
590,80,Cac,to speak,kà̧ʔà̧,LL
591,81,Cac,year,kùà,LL
592,84,Cac,foot,sàʔà,LL
593,86,Cac,thread,žùʔà,LL
594,87,Cac,sweet,ƀìđì,LL
595,88,Cac,nine,ì̧ì̧,LL
596,91,Cac,fingernail,čí̧ì̧,MT
597,93,Cac,turkey hen,čò̧ò̧,MT
598,94,Cac,fish,tì-žākā,MT
599,97,Cac,long,kánì̧,MT
600,99,Cac,white,kúší,MT
601,100,Cac,green,kʷíì,MT
602,102,Cac,red,kʷàʔá,MT
603,103,Cac,yellow,kʷà̧á̧,MT
604,105,Cac,to sell,đìkò,MT
605,107,Cac,new,sàà,MT
606,108,Cac,little,līlūū,MT
607,110,Cac,tongue,žáà,MT
608,1,Xay,animal,kīsì (M),HHʔ
609,5,Xay,hand,ⁿdāʔà (M),HHʔ
610,6,Xay,clothes,đāʔmà̧ (M),HHʔ
611,9,Xay,straw mat,yūì,HHʔ
612,13,Xay,woman,ñā̧ʔà̧,HHʔ
613,14,Xay,rope,yōʔò,HHʔ
614,16,Xay,work,čū̧ū̧,HH
615,17,Xay,handspan,tōō,HH
616,20,Xay,to be,kūū,HH
617,27,Xay,now,ƀīčī,HH
618,28,Xay,house,ƀēʔē,HH
619,29,Xay,yesterday,īkū,HH
620,30,Xay,one,ī̧ī̧,HH
621,31,Xay,paper,tūtū,HL
622,34,Xay,uncle,đītò,HL
623,35,Xay,aunt,đīđī,HL
624,38,Xay,wall,nāmā,HL
625,40,Xay,brother,ñānī,HL
626,41,Xay,hole,yāƀī,HL
627,43,Xay,horse,īđū,HL
628,45,Xay,dog,sì-īnà,HL
