ID	PARAMETER_ID	CONCEPT	DOCULECT	VALUE	FORM	TOKENS	COGIDS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LANGID	IPA	DUPLICATES
127	1_animal	ANIMAL	SantoTomasOcotepecMixtec_B	kiti	kiti	k i t i	11	ocot1243	619	17.14419	-97.76322		143	kiti	0
128	1_animal	ANIMAL	SanMateoPenascoMixtec	kiti	kiti	k i t i	11	sanm1293	619	17.15127	-97.53321		74	kiti	0
129	1_animal	ANIMAL	SantaMariaPenolesMixtec	kɨ̀tɨ̀	kɨ̀tɨ̀	k ɨ ¹ t ɨ ¹	11	sant1445	619	17.07959	-97.00272		115	kɨ¹tɨ¹	1
130	1_animal	ANIMAL	SanMiguelPiedrasMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	sanm1294	619	16.9944	-97.2056		83	kɨtɨ	0
131	1_animal	ANIMAL	SantiagoPinotepaNacionalMixtec	kiti-(kuʔu)	kiti-kuʔu	k i t i + k u ʔ u	11 19	pino1237	619	16.3043	-97.9966		132	kiti+kuʔu	0
132	1_animal	ANIMAL	PinotepaDonLuisMixtec	kɨtɨ	kɨtɨ	k ɨ t ɨ	11	pino1237	619	16.42666	-97.97647		27	kɨtɨ	0
133	1_animal	ANIMAL	SanMiguelProgresoMixtec	kiti	kiti	k i t i	11		619	17.1743	-97.79838		84	kiti	0
134	1_animal	ANIMAL	SanJeronimoProgresoMixtec_B	kiti	kiti	k i t i	11	sila1250	619	17.44616	-98.15466		50	kiti	1
135	1_animal	ANIMAL	Proto-Mixtec	kɨtɨʔ	kɨtɨʔ	k ɨ t ɨ ʔ	11	mixt1427	619				28	kɨtɨʔ	1
136	1_animal	ANIMAL	SantosReyesTepejilloMixtec	kīči	kīči	k i ³ tʃ i	11		619	17.43262	-97.93997		141	ki³tʃi	0
137	1_animal	ANIMAL	SanFranciscoSayultepecMixtec	kiti	kiti	k i t i	11	pino1237	619	16.59537	-98.12933		48	kiti	0
