Grapheme	IPA	FREQUENCY	CODEPOINTS
(kú̧ū̧)-sāƀì	<???>	1	U+0028 U+006b U+00fa U+0327 U+016b U+0327 U+0029 U+002d U+0073 U+0101 U+0180 U+00ec
(ku̧u̧)-hàƀì	<???>	1	U+0028 U+006b U+0075 U+0327 U+0075 U+0327 U+0029 U+002d U+0068 U+00e0 U+0180 U+00ec
(kú̧ū̧)-sàƀí	<???>	1	U+0028 U+006b U+00fa U+0327 U+016b U+0327 U+0029 U+002d U+0073 U+00e0 U+0180 U+00ed
ʐ̌	ʐ̌	1	U+0290 U+030c
yukü-(ñu̧ʔu̧)	<???>	1	U+0079 U+0075 U+006b U+00fc U+002d U+0028 U+00f1 U+0075 U+0327 U+0294 U+0075 U+0327 U+0029
fʸ	fʸ	1	U+0066 U+02b8
(kaa)-to̧ni̧	<???>	1	U+0028 U+006b U+0061 U+0061 U+0029 U+002d U+0074 U+006f U+0327 U+006e U+0069 U+0327
aⁿ	aⁿ	1	U+0061 U+207f
(te)-tʸu̧ni̧	<???>	1	U+0028 U+0074 U+0065 U+0029 U+002d U+0074 U+02b8 U+0075 U+0327 U+006e U+0069 U+0327
i̭	i̭	1	U+0069 U+032d
ù̧ù̧	ù̧ù̧	1	U+00f9 U+0327 U+00f9 U+0327
(xā)kʷāʔá	<???>	1	U+0028 U+0078 U+0101 U+0029 U+006b U+02b7 U+0101 U+0294 U+00e1
(tu)kʷeʔe	<???>	1	U+0028 U+0074 U+0075 U+0029 U+006b U+02b7 U+0065 U+0294 U+0065
ê	ê	1	U+00ea
(tɨ̀)kʷèʔȩ	<???>	1	U+0028 U+0074 U+0268 U+0300 U+0029 U+006b U+02b7 U+00e8 U+0294 U+0229
(i)kʷeʔe	<???>	1	U+0028 U+0069 U+0029 U+006b U+02b7 U+0065 U+0294 U+0065
ā̧ā̧	ā̧ā̧	1	U+0101 U+0327 U+0101 U+0327
a̧ⁿ	a̧ⁿ	1	U+0061 U+0327 U+207f
ũ	ũ	1	U+0169
ku̧u̧(n)	<???>	1	U+006b U+0075 U+0327 U+0075 U+0327 U+0028 U+006e U+0029
u̧᷄́	u̧᷄́	1	U+0075 U+0327 U+1dc4 U+0301
ĩ̀	ĩ̀	1	U+0129 U+0300
i̧(y)u̧	<???>	1	U+0069 U+0327 U+0028 U+0079 U+0029 U+0075 U+0327
i̧ñu̧-(ƀi)	<???>	1	U+0069 U+0327 U+00f1 U+0075 U+0327 U+002d U+0028 U+0180 U+0069 U+0029
ùsʸ	ùsʸ	1	U+00f9 U+0073 U+02b8
nʸ	nʸ	1	U+006e U+02b8
isi-(ƀi)	<???>	1	U+0069 U+0073 U+0069 U+002d U+0028 U+0180 U+0069 U+0029
sa̧ʔu̧(ʔu)	<???>	1	U+0073 U+0061 U+0327 U+0294 U+0075 U+0327 U+0028 U+0294 U+0075 U+0029
ş	<?>	1	U+015f
sa̧ʔu̧-(kʷi)	<???>	1	U+0073 U+0061 U+0327 U+0294 U+0075 U+0327 U+002d U+0028 U+006b U+02b7 U+0069 U+0029
ŵ	<?>	1	U+0175
(ku)-ⁿdaʔu	<???>	1	U+0028 U+006b U+0075 U+0029 U+002d U+207f U+0064 U+0061 U+0294 U+0075
ƀisi(o)	<???>	1	U+0180 U+0069 U+0073 U+0069 U+0028 U+006f U+0029
(xa)wiši	<???>	1	U+0028 U+0078 U+0061 U+0029 U+0077 U+0069 U+0161 U+0069
ka(ʔ)nu̧	<???>	1	U+006b U+0061 U+0028 U+0294 U+0029 U+006e U+0075 U+0327
ti-ti(i)	<???>	1	U+0074 U+0069 U+002d U+0074 U+0069 U+0028 U+0069 U+0029
(sa)-luči	<???>	1	U+0028 U+0073 U+0061 U+0029 U+002d U+006c U+0075 U+010d U+0069
tii-(kʷati)	<???>	1	U+0074 U+0069 U+0069 U+002d U+0028 U+006b U+02b7 U+0061 U+0074 U+0069 U+0029
(ña̧)luu	<???>	1	U+0028 U+00f1 U+0061 U+0327 U+0029 U+006c U+0075 U+0075
lu(ʔ)lu	<???>	1	U+006c U+0075 U+0028 U+0294 U+0029 U+006c U+0075
(ⁿdiči)luči	<???>	1	U+0028 U+207f U+0064 U+0069 U+010d U+0069 U+0029 U+006c U+0075 U+010d U+0069
īī	īī	1	U+012b U+012b
(o)ƀa(ʔ)a	<???>	1	U+0028 U+006f U+0029 U+0180 U+0061 U+0028 U+0294 U+0029 U+0061
(io)ƀaʔa	<???>	1	U+0028 U+0069 U+006f U+0029 U+0180 U+0061 U+0294 U+0061
(so)wiđi	<???>	1	U+0028 U+0073 U+006f U+0029 U+0077 U+0069 U+0111 U+0069
(xa)-wiđi	<???>	1	U+0028 U+0078 U+0061 U+0029 U+002d U+0077 U+0069 U+0111 U+0069
(ña̧)-uʔwa	<???>	1	U+0028 U+00f1 U+0061 U+0327 U+0029 U+002d U+0075 U+0294 U+0077 U+0061
ʔʸ	ʔʸ	1	U+0294 U+02b8
u(ʔ)wa-ñi̧i̧	<???>	1	U+0075 U+0028 U+0294 U+0029 U+0077 U+0061 U+002d U+00f1 U+0069 U+0327 U+0069 U+0327
(ña̧)-uwa	<???>	1	U+0028 U+00f1 U+0061 U+0327 U+0029 U+002d U+0075 U+0077 U+0061
ʔia(-o)	<???>	1	U+0294 U+0069 U+0061 U+0028 U+002d U+006f U+0029
ô	ô	1	U+00f4
à̧s	à̧s	1	U+00e0 U+0327 U+0073
đusa̧(sa̧)	<???>	1	U+0111 U+0075 U+0073 U+0061 U+0327 U+0028 U+0073 U+0061 U+0327 U+0029
š̭	š̭	1	U+0161 U+032d
(ña̧)đušȩ	<???>	1	U+0028 U+00f1 U+0061 U+0327 U+0029 U+0111 U+0075 U+0161 U+0229
ùʂ̌	ùʂ̌	1	U+00f9 U+0282 U+030c
ā̧̄	ā̧̄	1	U+0101 U+0327 U+0304
kʷiʔ(y)a	<???>	1	U+006b U+02b7 U+0069 U+0294 U+0028 U+0079 U+0029 U+0061
gʷ	gʷ	1	U+0067 U+02b7
kʷee-(ni̧)	<???>	1	U+006b U+02b7 U+0065 U+0065 U+002d U+0028 U+006e U+0069 U+0327 U+0029
kʷee(ñi)	<???>	1	U+006b U+02b7 U+0065 U+0065 U+0028 U+00f1 U+0069 U+0029
ēē	ēē	1	U+0113 U+0113
ȩ́ȩ́	<?>	1	U+0229 U+0301 U+0229 U+0301
kʷʸ	kʷʸ	1	U+006b U+02b7 U+02b8
wi̧N(n)a̧	<???>	1	U+0077 U+0069 U+0327 U+004e U+0028 U+006e U+0029 U+0061 U+0327
tw	tw	1	U+0074 U+0077
(i)ni̧nu̧	<???>	1	U+0028 U+0069 U+0029 U+006e U+0069 U+0327 U+006e U+0075 U+0327
(ña̧)-ni̧u̧	<???>	1	U+0028 U+00f1 U+0061 U+0327 U+0029 U+002d U+006e U+0069 U+0327 U+0075 U+0327
=	<?>	1	U+003d
gh	gh	1	U+0067 U+0068
ìw	ìw	1	U+00ec U+0077
(še)ti̧ño̧	<???>	1	U+0028 U+0161 U+0065 U+0029 U+0074 U+0069 U+0327 U+00f1 U+006f U+0327
(t)ni̧ño̧	<???>	1	U+0028 U+0074 U+0029 U+006e U+0069 U+0327 U+00f1 U+006f U+0327
(t)ni̧ñu̧	<???>	1	U+0028 U+0074 U+0029 U+006e U+0069 U+0327 U+00f1 U+0075 U+0327
tu̧-(đawi)	<???>	1	U+0074 U+0075 U+0327 U+002d U+0028 U+0111 U+0061 U+0077 U+0069 U+0029
kw	kw	1	U+006b U+0077
na̧-(kii)	<???>	1	U+006e U+0061 U+0327 U+002d U+0028 U+006b U+0069 U+0069 U+0029
(h)-a̧wa̧	<???>	1	U+0028 U+0068 U+0029 U+002d U+0061 U+0327 U+0077 U+0061 U+0327
ⁿda̧-ʔ(a̧)ma̧	<???>	1	U+207f U+0064 U+0061 U+0327 U+002d U+0294 U+0028 U+0061 U+0327 U+0029 U+006d U+0061 U+0327
(a̧)na̧	<???>	1	U+0028 U+0061 U+0327 U+0029 U+006e U+0061 U+0327
