__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Stem alternation,Inflected form (IRR),Inflected form (NEG.IRR),Inflected form (CPL-1),Inflected form (CPL-2),Inflected form (INCPL),Inflected form (Stative),Tone (IRR),Tone (NEG.IRR),Tone (CPL-1) – lexical tone,Tone (CPL-2),Tone (INCPL)
4507,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³ndi³ka²,be inside,estar dentro,intr,Trimoraic,ku+,ku³ndi³ka²,ku¹⁴ndi³ka²,ni¹-ju³ndi³ka²,ju¹³ndi³ka²,ju⁴ndi³ka²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4532,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³ndi³kun²,cling to,colgarse,intr,Trimoraic,ku+,ku³ndi³kun²,ku¹⁴ndi³kun²,ni¹-ju³ndi³kun²,ju¹³ndi³kun²,ju⁴ndi³kun²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4508,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³ndi³to³,be awake,estar despierto,intr,Trimoraic,ku+,ku³ndi³to³,ku¹⁴ndi³to³,ni¹-ju³ndi³to³,ju¹³ndi³to³,ju⁴ndi³to³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4509,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³ndu³ndu²,surround,rodear,intr,Trimoraic,ku+,ku³ndu³ndu²,ku¹⁴ndu³ndu²,ni¹-ju³ndu³ndu²,ju¹³ndu³ndu²,ju⁴ndu³ndu²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4530,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³nduʔ⁴u⁴,sit down,sentarse,intr,Trimoraic,ku+,ku³nduʔ⁴u⁴,ku¹⁴nduʔ⁴u⁴,ni¹-ju³nduʔ⁴u⁴,ju¹³nduʔ⁴u⁴,ju⁴nduʔ¹⁴u⁴,,3–4–4,14–4–4,3–4–4,13–4–4,4–14–4
4321,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³ni²,see,ver,tr,Bimoraic,ku+,ku³ni²,ku¹⁴ni²,ni¹-ji³ni²,ji¹³ni²,ji⁴ni²,,3–2,14–2,3–2,13–2,4–2
4322,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³ni³,pay attention,hacer caso,tr,Bimoraic,ku+,ku³ni³,ku¹⁴ni³,ni¹-ji³ni³/xi³ni³,ji¹³ni³/xi¹³ni³,ji⁴ni³/xi⁴ni³,,3–3,14–3,3–3,13–3,4–3; –4–3
4323,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³nu³,run,correr,intr,Bimoraic,ku+,ku³nu³,ku¹⁴nu³,ni¹-xi³nu³,xi¹³nu³,xi⁴nu³,,3–3,14–3,3–3,13–3,4–3
4622,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³nu³nu³,move slightly to one side,desplazarse ligeramente a un lado,intr,Trimoraic,ku+,ku³nu³nu³,ku¹⁴nu³nu³,ni¹-ju³nu³nu³,ju¹³nu³nu³,ju⁴nu³nu³,,3–3–3,14–3–3,3–3–3,13–3–3,4–3–3
4514,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³si⁴ki²⁴,play,jugar,intr,Trimoraic,ku+,ku³si⁴ki²⁴,ku¹⁴si⁴ki²⁴,ni¹-ja³si⁴ki²⁴,ja¹³si⁴ki²⁴,ja⁴si⁴ki²⁴,,3–4–24,14–4–24,3–4–24,13–4–24,4–4–24
4515,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³si⁴ti²⁴,kneel,arrodillarse,intr,Trimoraic,ku+,ku³si⁴ti²⁴,ku¹⁴si⁴ti²⁴,ni¹-ju³si⁴ti²⁴,ju¹³si⁴ti²⁴,ju⁴si⁴ti²⁴,,3–4–24,14–4–24,3–4–24,13–4–24,4–4–24
4517,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³taʔ³an²,bump into,toparse,intr,Trimoraic,ku+,ku³taʔ³an²,ku¹⁴taʔ³an²,ni¹-ju³taʔ³an²,ju¹³taʔ³an²,ju⁴taʔ³an²,,3–3–2,14–3–2,3–3–2,13–3–2,4–3–2
4324,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³tu³,,chaponar (con oblicua),intr,Bimoraic,ku+,ku³tu³,ku¹⁴tu³,ni¹-xi³tu³,xi¹³tu³,xi⁴tu³,,3–3,14–3,3–3,13–3,4–3
4325,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³tu⁴,fill,llenarse,intr,Bimoraic,ku+,ku³tu⁴,ku¹⁴tu⁴,ni¹-chi³tu⁴,chi¹³tu⁴,chi⁴tu⁴,,3–4,14–4,3–4,13–4,4–4
4327,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³xa³,grow up,hacerse adulto,intr,Bimoraic,ku+,ku³xa³,ku¹⁴xa³,ni¹-xu³xa³,xu¹³xa³,xu⁴xa³,,3–3,14–3,3–3,13–3,4–3
4328,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,ku³xi³,eat soft food,comer cosas blandas,tr,Bimoraic,ku+,ku³xi³,ku¹⁴xi³,ni¹-xi³xi³,xi¹³xi³,xi⁴xi³,,3–3,14–3,3–3,13–3,4–3
4331,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwa¹ku¹,laugh,reír,intr,Bimoraic,ku+,kwa¹ku¹,kwa¹⁴ku¹,ni¹-xa¹ku¹,xa¹ku¹,xa⁴ku¹,,1–1,14–1,1–1,1–1,4–1
4332,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwa¹ñu¹,step on,pisar,tr,Bimoraic,ku+,kwa¹ñu¹,kwa¹⁴ñu¹,ni¹-xa¹ñu¹,xa¹ñu¹,xa⁴ñu¹,,1–1,14–1,1–1,1–1,4–1
4333,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwa¹xin³,squeeze,apretar,tr,Bimoraic,ku+,kwa¹xin³,kwa¹⁴xin¹³,ni¹-xa¹xin³,xa¹xin³,xa⁴xin¹³,,1–3,14–13,1–3,1–3,4–13
4334,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwa³chi³,tear apart,despedazarse,intr,Bimoraic,ku+,kwa³chi³,kwa¹⁴chi³,ni¹-cha³chi³,cha¹³chi³,cha⁴chi³,,3–3,14–3,3–3,13–3,4–3
4335,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwa³ku³,cry,llorar,intr,Bimoraic,ku+,kwa³ku³,kwa¹⁴ku³,ni¹-xa³ku³,xa¹³ku³,xa⁴ku³,,3–3,14–3,3–3,13–3,4–3
4329,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwaʔ¹a³,give,dar,dtr,Bimoraic,ku+,kwaʔ¹a³,kwaʔ¹⁴a¹³,ni¹-xaʔ¹a³,xaʔ¹a³,xaʔ⁴a¹³,,1–3,14–13,1–3,1–3,4–13
4330,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwaʔ¹a³,allow,permitir,tr,Bimoraic,ku+,kwaʔ¹a³,kwaʔ¹⁴a¹³,ni¹-xaʔ¹a³,xaʔ¹a³,xaʔ⁴a¹³,,1–3,14–13,1–3,1–3,4–13
4336,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwaʔ³nu³,grow,crecer,intr,Bimoraic,ku+,kwaʔ³nu³,kwaʔ¹⁴nu³,ni¹-xaʔ³nu³,xaʔ¹³nu³,xaʔ⁴nu³,,3–3,14–3,3–3,13–3,4–3
4337,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwe³ta³,be measured,ser medido,intr,Bimoraic,ku+,kwe³ta³,kwe¹⁴ta³,ni¹-jwe³ta³,jwe¹³ta³,jwe⁴ta³,,3–3,14–3,3–3,13–3,4–3
4338,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi¹in¹,copulate,copular,intr,Bimoraic,ku+,kwi¹in¹,kwi¹⁴in¹,ni¹-xi¹in¹,xi¹in¹,xi⁴in¹,,1–1,14–1,1–1,1–1,4–1
4340,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi¹ko⁴,be transported,ser acarreado,intr,Bimoraic,ku+,kwi¹ko⁴,kwi¹⁴ko¹⁴,ni¹-xi¹ko⁴,xi¹ko⁴,xi⁴ko¹⁴,,1–4,14–14,1–4,1–4,4–14
4341,Yoloxóchitl Mixtec,Amuzgo-Mixtecan,True,False,True,False,True,True,kwi¹kun¹,take water,coger agua,tr,Bimoraic,ku+,kwi¹kun¹,kwi¹⁴kun¹,ni¹-xi¹kun¹,xi¹kun¹,xi⁴kun¹,,1–1,14–1,1–1,1–1,4–1
