__PK,Language name,Language sub-family,AFFIX (Verb),AFFIX (Lg.),TONE (Verb),TONE (Lg.),STEM (Verb),STEM (Lg.),Citation form,English,Spanish,Transitivity,Stem phonology,Inflected form (IRR),Inflected form (CPL),Inflected form (INCPL),Prefix (IRR),Prefix (CPL),Prefix (INCPL),Tone (IRR),Tone (CPL),Tone (INCPL),Inflectional class by affixation,Stem alternation
3778,Xochapa Mixtec,Amuzgo-Mixtecan,True,True,True,,False,True,na⁴ma⁴,change,cambiar,tr,Bimoraic,na³ma³,ndi¹-na²ma²,na⁴ma⁴,,ndi¹,,33,22,44,I.b,Invariant
3779,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda⁴a⁴,go up,subir,tr,Bimoraic,nda³a³,nda²a²,nda⁴a⁴,,,,33,22,44,I.a,Invariant
3781,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda⁴chi⁴,fly,volar,intr,Bimoraic,nda³chi⁴,nda²chi⁴,nda⁴chi⁴,,,,34,24,44,I.a,Invariant
3782,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda⁴i⁴,pound,martajar,tr,Bimoraic,nda³i⁴,nda²i⁴,nda⁴i⁴,,,,34,24,44,I.a,Invariant
3786,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda⁴xin⁴,untie,desamarrar,tr,Bimoraic,nda³xin⁴,nda²xin⁴,nda⁴xin⁴,,,,34,24,44,I.a,Invariant
3787,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,nda⁴xin⁴,get wet,mojarse,intr,Bimoraic,nda³xin³,nda²xin²,nda⁴xin⁴,,,,33,22,44,I.a,Invariant
3793,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ko⁴,return,regresar,intr,Bimoraic,ndi³ko⁴,ndi²ko⁴,ndi⁴ko⁴,,,,34,24,44,I.a,Invariant
3794,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndi⁴ko⁴,grind,moler,tr,Bimoraic,ndi³ko³,ndi²ko²,ndi⁴ko⁴,,,,33,22,44,I.a,Invariant
3803,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndo⁴ʔo⁴,suffer,sufrir,intr/tr,Bimoraic,ndo³ʔo³,ndo²ʔo²,ndo⁴ʔo⁴,,,,33,22,44,I.a,Invariant
3804,Xochapa Mixtec,Amuzgo-Mixtecan,False,True,True,,False,True,ndu⁴ku⁴,look for,buscar,tr,Bimoraic,ndu³ku⁴,ndu²ku⁴,ndu⁴ku⁴,,,,34,24,44,I.a,Invariant
