Code,VarietyLocation,Group,JosserandGroup,Sources
atat11,San Esteban Atatlahuca,Mixtec,Western Alta,"\citealt{alexander1980gramatica}, \citealt{josserand1983mixtec}, \citealt{durr1987preliminary}"
chal11,Chalcatongo de Hidalgo,Mixtec,Western Alta,"\citealt{macaulay1990grammar}, \citealt{josserand1983mixtec}"
gran11,San Miguel El Grande,Mixtec,Western Alta,"\citealt{josserand1983mixtec}, \citealt{josserand1983mixtec}, \citealt{durr1987preliminary}, \citealt{durr1987preliminary}, \citealt{dyk1951vocabulario}, \citealt{dyk1951vocabulario}"
itun11,Santa Cruz Itundujia,Mixtec,Western Alta,\citealt{josserand1983mixtec}
moli11,San Pedro Molinos,Mixtec,Western Alta,"\citealt{josserand1983mixtec}, \citealt{durr1987preliminary}"
mont13,Santa Lucía Monteverde,Mixtec,Western Alta,"\citealt{josserand1983mixtec}, \citealt{solano2020verbs}"
numi11,San Juan Ñumi,Mixtec,Western Alta,"\citealt{josserand1983mixtec}, \citealt{gittlen2016gramatica}"
nund11,Santa Cruz Nundaco,Mixtec,Western Alta,\citealt{josserand1983mixtec}
nuyo11,Santiago Nuyoó,Mixtec,Western Alta,\citealt{josserand1983mixtec}
ocot11,Santo Tomás Ocotepec,Mixtec,Western Alta,"\citealt{josserand1983mixtec}, \citealt{durr1987preliminary}"
pena11,Magdalena Peñasco,Mixtec,Western Alta,\citealt{hollenbach2013gramatica}
pena12,San Mateo Peñasco,Mixtec,Western Alta,\citealt{josserand1983mixtec}
prog11,San Miguel Progreso,Mixtec,Western Alta,\citealt{josserand1983mixtec}
sini11,San José (San José Sinicahua),Mixtec,Western Alta,\citealt{josserand1983mixtec}
tata11,Santa María Tataltepec,Mixtec,Western Alta,\citealt{josserand1983mixtec}
teit11,San Juan Teita,Mixtec,Western Alta,\citealt{josserand1983mixtec}
tlac11,San Agustín Tlacotepec,Mixtec,Western Alta,\citealt{josserand1983mixtec}
yolo11,Santa María Yolotepec,Mixtec,Western Alta,"\citealt{josserand1983mixtec}, \citealt{amith2020yoloxochitl}"
yoso11,Santiago Yosondúa,Mixtec,Western Alta,"\citealt{josserand1983mixtec}, \citealt{farris2012diccionario}"
yucu11,San Bartolomé Yucuañe,Mixtec,Western Alta,\citealt{josserand1983mixtec}
yucu12,Santa María Yucuhiti,Mixtec,Western Alta,\citealt{josserand1983mixtec}
ahue11,San Miguel Ahuehuetitlán,Mixtec,Western Baja,\citealt{josserand1983mixtec}
esta11,San Martín del Estado,Mixtec,Western Baja,\citealt{josserand1983mixtec}
tama12,Santiago Tamazola,Mixtec,Western Baja,\citealt{josserand1983mixtec}
prot01,Proto-Trique,Triqui,NA,\citealt{longacre1957proto-mixtecan}
chic02,San Andrés Chicahuaxtla 1890,Triqui,NA,\citealt{belmar1897ensayo}
chic12,San Andrés Chicahuaxtla,Triqui,NA,\citealt{good1978diccionario}
copa11,San Juan Copala,Triqui,NA,\citealt{hollenbach2008gramatica}
itun12,San Martín Itunyoso,Triqui,NA,pending
papa11,Santa María Pápalo,Cuicatec,NA,\citealt{anderson1983diccionario}
tepe03,San Juan Tepeuxila 1900,Cuicatec,NA,\citealt{belmar1902el-cuicateco}
