"doc_id","citekey","code","branch","lex_est","lex_type","tones_marked","med_type","status","permission","digitized"
,,"amol12","Mixtec",,,,"specific_topic",,,
,,"atat11","Mixtec",,,,"pedagogical_material",,,
,,"atat11~gran11","Mixtec",,,,"specific_topic",,,
,,"atat11~gran11","Mixtec",,,,"specific_topic",,,
,,"atat11~ocot11~gran11","Mixtec",,,,"specific_topic",,,
,,"ayut11","Mixtec",,,,"specific_topic",,,
,,"ayut11","Mixtec",,,,"specific_topic",,,
,,"ayut11","Mixtec",,,,"specific_topic",,,
,,"ayut11~ocot11~jica11~peno11~gran11~yoso11~jami11~chal11~diux11~tila11~moli11~sila11~coat11~tezo11~alac11","Mixtec~Triqui~Cuicatec",,,,"specific_topic",,,
,,"chal11","Mixtec",,,,"specific_topic",,,
,,"chal11","Mixtec",,,,"specific_topic",,,
,,"chal11","Mixtec",,,,"specific_topic",,,
,,"chal11","Mixtec",,,,"specific_topic",,,
,,"chal11","Mixtec",,,,"specific_topic",,,
,,"chal11","Mixtec",,,,"specific_topic",,,
,,"chal11","Mixtec",,,,"specific_topic",,,
,,"chal11","Mixtec",,,,"specific_topic",,,
,,"chay11","Mixtec",,,,"specific_topic",,,
,,"chic12","Triqui",,,,"specific_topic",,,
,,"chic12","Triqui",,,,"specific_topic",,,
,,"chic12","Triqui",,,,"specific_topic",,,
,,"chic12","Triqui",,,,"specific_topic",,,
,,"chic12","Triqui",,,,"specific_topic",,,
,,"chic12","Triqui",,,,"specific_topic",,,
,,"chic12~copa11","Triqui",,,,"specific_topic",,,
,,"coat11","Mixtec",,,,"specific_topic",,,
,,"coat11","Mixtec",,,,"specific_topic",,,
,,"coat11","Mixtec",,,,"specific_topic",,,
,,"coat11","Mixtec",,,,"specific_topic",,,
,,"coat11","Mixtec",,,,"specific_topic",,,
,,"coat11","Mixtec",,,,"specific_topic",,,
,,"coat11","Mixtec",,,,"specific_topic",,,
,,"coat12","Mixtec",,,,"specific_topic",,,
,,"copa11","Triqui",0,,,"grammar_sketch",,,
,,"copa11","Triqui",0,,,"pedagogical_grammar",,,
,,"copa11","Triqui",,,,"pedagogical_material",,,
,,"copa11","Triqui",,,,"specific_topic","unavailable",,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"copa11","Triqui",,,,"specific_topic",,,
,,"diqu11","Mixtec",,,,"specific_topic",,,
,,"diux11","Mixtec",,,,"specific_topic",,,
,,"diux11","Mixtec",,,,"specific_topic",,,
,,"diux11","Mixtec",,,,"specific_topic",,,
,,"diux11","Mixtec",,,,"specific_topic",,,
,,"diux11","Mixtec",,,,"specific_topic",,,
,,"diux11","Mixtec",,,,"specific_topic",,,
,,"diux11~tila11","Mixtec",,,,"pedagogical_material",,,
,,"general","Mixtec",,,,"specific_topic",,,
,,"general","Mixtec",,,,"specific_topic",,,
,,"general","Mixtec",,,,"specific_topic",,,
,,"gran11","Mixtec",,,,"specific_topic",,,
