Grapheme1,Grapheme2,IPA,Class,Status,Comments,Source,Doculect
án$,NA,ã5,VT,NA,NA,zylstra1991syntactic,alac11
án$,NA,ã5,VT,NA,NA,alexander1980gramatica,atat11
án$,NA,ã5,VT,NA,NA,hills1990syntactic,ayut11
án$,NA,ã5,VT,NA,NA,oxnard2020,bate11
án$,NA,ã5,VT,NA,NA,pensinger1974diccionario,chay11
á̢,NA,ã5,VT,NA,NA,pike1974downstepping,coat11
án$,NA,ã5,VT,NA,NA,small1990syntactic,coat11
án$,NA,ã5,VT,NA,NA,bradley1991preliminary,conc11
á̢,NA,ã5,VT,NA,NA,pike1976stress,diux11
án,NA,ã5,VT,NA,NA,kuiper1991syntactic,diux11
án$,NA,ã5,VT,NA,NA,hernandez2020san-martin,dura11
án$,NA,ã5,VT,NA,NA,oxnard2020,flor12
án$,NA,ã5,VT,NA,NA,dyk1965vocabulario,gran11
án$,NA,ã5,VT,NA,NA,johnson1988syntactic,jami11
á̢,NA,ã5,VT,NA,NA,bradley1970a-linguistic,jica11
án,NA,ã5,VT,NA,NA,overholt1961tonemic,metl11
án,NA,ã5,VT,NA,NA,oxnard2020,mont12
án,NA,ã5,VT,NA,NA,alexander1988syntactic,ocot11
á̢,NA,ã5,VT,NA,NA,daly1977mixteco,peno11
án,NA,ã5,CVC,NA,NA,oxnard2020,pied12
án,NA,ã5,VT,NA,NA,"north1976gramatica, shields1988syntactic",prog12
án,NA,ã5,VT,NA,NA,oxnard2020,tlah11
án,NA,ã5,VT,NA,NA,farris1992syntactic,yoso11
á̧,NA,ã5,VT,NA,NA,NA,NA
á̧,NA,ã5,V,NA,NA,NA,NA
â,NA,a51,V,NA,NA,josserand1983mixtec,alac11
â,NA,a51,VT,NA,NA,oxnard2020,bate11
â,NA,a51,VT,NA,NA,"pike1974downstepping, small1990syntactic",coat11
â,NA,a51,VT,NA,NA,kuiper1991syntactic,diux11
â,NA,a51,VT,NA,NA,oxnard2020,flor12
â,NA,a51,CVC,NA,NA,oxnard2020,pied12
â,NA,a51,VT,NA,NA,NA,NA
â,NA,a51,V,NA,NA,NA,NA
â̧,NA,ã51,V,NA,NA,josserand1983mixtec,alac11
ân$,NA,ã51,VT,NA,NA,oxnard2020,bate11
â̢,NA,ã51,VT,NA,NA,pike1974downstepping,coat11
ân$,NA,ã51,VT,NA,NA,small1990syntactic,coat11
