LEXEME,IMPF,PFV,IRR
V161_ntuta'an,ⁿdutaʔã,iⁿdutaʔã,ⁿdutaʔã
V162_kutuntxe'e,ɕituⁿd͡ʑeʔe,iɕituⁿd͡ʑeʔe,kutuⁿd͡ʑeʔe
V163_chintoo,t͡ʃiⁿdoo,it͡ʃiⁿdoo,t͡ʃiⁿdoo
V164_chitivintxaa,t͡ʃitiβiⁿd͡ʑaa,it͡ʃitiβiⁿd͡ʑaa,t͡ʃitiβiⁿd͡ʑaa
V165_koso,siso,iɕiso,koso
V166_vaxi,βaɕi,ikiɕi,kiɕi
V167_tanta'a,taⁿdaʔa,itaⁿdaʔa,taⁿdaʔa
V168_ka'an,kaʔã,ikaʔã,kaʔã
V169_sa'antxiva'a,saʔaⁿd͡ʑiβaʔa,isaʔaⁿd͡ʑiβaʔa,saʔaⁿd͡ʑiβaʔa
V170_kanii,kanii,ikanii,kanii
V171_kontoo,koⁿdoo,ikoⁿdoo,koⁿdoo
V172_ntikintxee,ⁿdikiⁿd͡ʑee,iⁿdikiⁿd͡ʑee,ⁿdikiⁿd͡ʑee
V173_kuxini,ɕini,#DEF#,kuɕini
V174_tivi,tiβi,itiβi,tiβi
V175_kata,ɕita,iɕita,kata
V176_ntxikoni'i,ⁿd͡ʑikoniʔi,iⁿd͡ʑikoniʔi,ⁿd͡ʑikoniʔi
V177_chinuu,t͡ʃinuu,it͡ʃinuu,t͡ʃinuu
V178_,ʒiʔβi,iɕiʒiʔβi,kuʒiʔβi
V179_sakua'a,sakuaʔa,isakuaʔa,sakuaʔa
V180_kantakava,kaⁿdakaβa,ikaⁿdakaβa,kaⁿdakaβa
V181_kanta,kaⁿda,ikaⁿda,kaⁿda
V182_xaa,ɕaa,iɕaa,ɕaa
V183_ntani'i,ⁿdaniʔi,iⁿdaniʔi,ⁿdaniʔi
V184_ntativi,ⁿdatiβi,iⁿdatiβi,ⁿdatiβi
V185_kukuiti,sakuiti,isakuiti,kukuiti
V186_sakutxiya'a,sakut͡ɕiʒaʔa,isakut͡ɕiʒaʔa,sakut͡ɕiʒaʔa
V187_sakukunuo,sakukunuo,isakukunuo,sakukunuo
V188_koto'va,kotoʔβa,ikotoʔβa,kotoʔβa
V189_ntoo,ⁿdoo,iⁿdoo,ⁿdoo
V190_ntaki'in,ⁿdakiʔĩ,iⁿdakiʔĩ,ⁿdakiʔĩ
V191_ni'i,niʔi,iniʔi,niʔi
V192_kuka'nu,kukaʔnu,iɕikaʔnu,kukaʔnu
V193_xaa,ɕaa,iɕaa,ɕaa
V194_koko,ɕiko,iɕiko,koko
V195_tivi,tiβi,itiβi,tiβi
V196_santxi'i,saⁿd͡ʑiʔi,isaⁿd͡ʑiʔi,saⁿd͡ʑiʔi
V197_tase'e,taseʔe,itaseʔe,taseʔe
V198_kaa,kaa,ikaa,kaa
V199_santoo,saⁿdoo,isaⁿdoo,saⁿdoo
V200_kontoo,ⁿdoo,iɕiⁿdoo,koⁿdoo
V201_ntañuu,ⁿdaɲuu,iⁿdaɲuu,ⁿdaɲuu
V202_ntaa,kuaⁿdaa,iⁿdaa,ⁿdaa
V203_xinu,ɕinu,iɕinu,ɕinu
V204_katxa,ɕat͡ɕa,iɕat͡ɕa,kat͡ɕa
V205_kuitxa,ɕit͡ɕa,iɕit͡ɕa,kuit͡ɕa
V206_yakun,ʒakũ,iʒakũ,ʒakũ
V207_katei,katei,ikatei,katei
V208_nañu,naɲu,inaɲu,naɲu
V209_nuntxa'a,nuⁿd͡ʑaʔa,inuⁿd͡ʑaʔa,nuⁿd͡ʑaʔa
V210_ntiku'unini,ⁿdikuʔunini,iⁿdikuʔunini,ⁿdikuʔunini
V211_saya'a,saʒaʔa,isaʒaʔa,ʒaʔa
V212_ku'ni,ɕuʔni,iɕuʔni,kuʔni
V213_kaan,kãã,ikãã,kãã
V214_yata,ʒata,iʒata,ʒata
V215_ka'ntxi,kaʔⁿd͡ʑi,ikaʔⁿd͡ʑi,kaʔⁿd͡ʑi
V216_xuun,ɕũũ,iɕũũ,ɕũũ
V217_tuun,tũũ,itũũ,tũũ
V218_chikava'a,t͡ʃikaβaʔa,it͡ʃikaβaʔa,t͡ʃikaβaʔa
V219_ntakaa,saⁿdakaa,isaⁿdakaa,ⁿdakaa
V220_chikanii,t͡ʃikanii,it͡ʃikanii,t͡ʃikanii
