LEXEME,microclasses,IMPF,PFV,IRR,SegClass,ToneClass
V243_ta'vi,7,ta5ʔβi5,i1ta1ʔβi1,ta1ʔβi1,A,2
V297_ñu'ma,7,ɲu5ʔma5,i1ɲu1ʔma1,ɲu1ʔma1,A,2
V021_lala,22,la5la5,i1la1la3,la1la3,A,2
V123_txatxa,22,t͡ɕa5t͡ɕa5,i1t͡ɕa1t͡ɕa3,t͡ɕa1t͡ɕa3,A,2
V188_koto'va,13,ko5to1ʔβa3,i1ko1to1ʔβa3,ko3to1ʔβa3,A,3
V236_ntuva'a,13,ⁿdu5βa1ʔa3,i1ⁿdu1βa1ʔa3,ⁿdu3βa1ʔa3,A,3
V238_chita'an,13,t͡ʃi5ta5ʔã3,i1t͡ʃi1ta5ʔã3,t͡ʃi3ta5ʔã3,A,3
V239_ntakuni,13,ⁿda5ku3ni3,i1ⁿda1ku3ni3,ⁿda3ku3ni3,A,3
V086_santuvi,V086_santuvi,sa5ⁿdu3βi3,i1sa3ⁿdu3βi3,sa5ⁿdu3βi3,A,3
V169_sa'antxiva'a,V169_sa'antxiva'a,sa5ʔa3ⁿd͡ʑi5βa3ʔa1,i1sa5ʔa3ⁿd͡ʑi5βa3ʔa1,sa5ʔa3ⁿd͡ʑi5βa3ʔa3,A,3
V023_sayo'va,3,sa5ʒo1ʔβa1,i1sa5ʒo1ʔβa1,sa5ʒo1ʔβa1,A,4
V037_sakana,3,sa5ka3na3,i1sa5ka3na3,sa5ka3na3,A,4
V043_sa'a,3,sa5ʔa3,i1sa5ʔa3,sa5ʔa3,A,4
V053_suva'a,3,su5βa1ʔa3,i1su5βa1ʔa3,su5βa1ʔa3,A,4
V058_sakuchi,3,sa5ku3t͡ʃi3,i1sa5ku3t͡ʃi3,sa5ku3t͡ʃi3,A,4
V080_sakasun,3,sa5ka3sũ3,i1sa5ka3sũ3,sa5ka3sũ3,A,4
V087_kuchuun,3,ku3t͡ʃũ5ũ3,i1ku3t͡ʃũ5ũ3,ku3t͡ʃũ5ũ3,A,4
V093_santoko,3,sa5ⁿdo3ko3,i1sa5ⁿdo3ko3,sa5ⁿdo3ko3,A,4
V099_nu'un,3,nu1ʔũ1,i1nu1ʔũ1,nu1ʔũ1,A,4
V116_ntikua'a,3,ⁿdi3kʷa1ʔa1,i1ⁿdi3kʷa1ʔa1,ⁿdi3kʷa1ʔa1,A,4
V122_ki'in,3,ki3ʔĩ3,i1ki3ʔĩ3,ki3ʔĩ3,A,4
V129_satatan,3,sa5ta5tã5,i1sa5ta5tã5,sa5ta5tã5,A,4
V138_chiñu'u,3,t͡ʃi3ɲu5ʔũ5,i1t͡ʃi3ɲu5ʔũ5,t͡ʃi3ɲu5ʔũ5,A,4
V179_sakua'a,3,sa5kʷa3ʔa3,i1sa5kʷa3ʔa3,sa5kʷa3ʔa3,A,4
V182_xaa,3,ɕa1a1,i1ɕa1a1,ɕa1a1,A,4
V186_sakutxiya'a,3,sa5ku3t͡ɕi5ʒa5ʔa5,i1sa5ku3t͡ɕi5ʒa5ʔa5,sa5ku3t͡ɕi5ʒa5ʔa5,A,4
V187_sakukunuo,3,sa3ku3ku3nu3o3,i1sa3ku3ku3nu3o3,sa3ku3ku3nu3o3,A,4
V196_santxi'i,3,sa5ⁿd͡ʑi3ʔi3,i1sa5ⁿd͡ʑi3ʔi3,sa5ⁿd͡ʑi3ʔi3,A,4
V197_tase'e,3,ta3se3ʔe3,i1ta3se3ʔe3,ta3se3ʔe3,A,4
V199_santoo,3,sa5ⁿdo3o3,i1sa5ⁿdo3o3,sa5ⁿdo3o3,A,4
V220_chikanii,3,t͡ʃi5ka3ni3i3,i1t͡ʃi5ka3ni3i3,t͡ʃi5ka3ni3i3,A,4
V231_sakuachi,3,sa5kʷa3t͡ʃi3,i1sa5kʷa3t͡ʃi3,sa5kʷa3t͡ʃi3,A,4
V235_sana'a,3,sa5na1ʔa1,i1sa5na1ʔa1,sa5na1ʔa1,A,4
V240_sanuntxa'a,3,sa5nu3ⁿd͡ʑa3ʔa3,i1sa5nu3ⁿd͡ʑa3ʔa3,sa5nu3ⁿd͡ʑa3ʔa3,A,4
V247_kuntaa,3,ku3ⁿda1a1i3ni3,i1ku3ⁿda1a1i3ni3,ku3ⁿda1a1i3ni3,A,4
V253_kuntxee,3,ku3ⁿd͡ʑe3e5,i1ku3ⁿd͡ʑe3e5,ku3ⁿd͡ʑe3e5,A,4
V260_sakee,3,sa5ke3e3,i1sa5ke3e3,sa5ke3e3,A,4
V261_sakoyo,3,sa5ko3ʒo5,i1sa5ko3ʒo5,sa5ko3ʒo5,A,4
V265_sante'i,3,sa5ⁿde3ʔi3,i1sa5ⁿde3ʔi3,sa5ⁿde3ʔi3,A,4
V273_sakitxi,3,sa5ki1t͡ɕi1,i1sa5ki1t͡ɕi1,sa5ki1t͡ɕi1,A,4
V274_saketa,3,sa5ke3ta3,i1sa5ke3ta3,sa5ke3ta3,A,4
V280_santxiko,3,sa5ⁿd͡ʑi1ko3,i1sa5ⁿd͡ʑi1ko3,sa5ⁿd͡ʑi1ko3,A,4
V313_nta'a,3,ⁿda3ʔa3,i1ⁿda3ʔa3,ⁿda3ʔa3,A,4
V319_xo'o,3,ɕo3ʔo3,i1ɕo3ʔo3,ɕo3ʔo3,A,4
V325_ntxii,3,ⁿd͡ʑi3i3,i1ⁿd͡ʑi3i3,ⁿd͡ʑi3i3,A,4
V329_sakua'na,3,sa5kʷa3ʔna3,i1sa5kʷa3ʔna3,sa5kʷa3ʔna3,A,4
V207_katei,V207_katei,ka3te3i1,i1ka1te1i1,ka1te1i1,A,4
V311_ntasama,V311_ntasama,ⁿda1sa3ma3,i1ⁿda1sa1ma3,ⁿda1sa1ma3,A,4
V089_saka'a,6,sa3ka3ʔa3,i1sa1ka3ʔa3,sa1ka3ʔa3,A,5
V171_kontoo,6,ko3ⁿdo1o3,i1ko1ⁿdo1o3,ko1ⁿdo1o3,A,5
V224_kuntasi,6,ku3ⁿda3si5,i1ku1ⁿda3si5,ku1ⁿda3si5,A,5
V229_kai,6,ka3i1,i1ka1i1,ka1i1,A,5
V301_kantxaa,6,ka3ⁿd͡ʑa5a5,i1ka1ⁿd͡ʑa5a5,ka1ⁿd͡ʑa5a5,A,5
V306_kuya'vi,6,ku3ʒa1ʔβi3,i1ku1ʒa1ʔβi3,ku1ʒa1ʔβi3,A,5
V298_kava,17,ka5βa3,i1ka1βa1,ka1βa1,A,6
V300_kaya,17,ka5ʒa3,i1ka1ʒa1,ka1ʒa1,A,6
V078_kotoo,18,ko3to3o5,i1ko3to5o5,ko3to5o5,A,6
V193_xaa,18,ɕa5a3,i1ɕa5a5,ɕa5a5,A,6
V316_sayaa,re-check,sa5ʒa3a1,i1sa3ʒa1a1,sa3ʒa1a1,A,6
V092_ntachinuu,15,ⁿda5t͡ʃi3nu5u5,i1ⁿda3t͡ʃi3nu5u3,ⁿda3t͡ʃi3nu5u3,A,0
V100_ntake'e,15,ⁿda5ke3ʔe5,i1ⁿda3ke3ʔe3,ⁿda3ke3ʔe3,A,0
V264_ntantiki,15,ⁿda5ⁿdi3ki5,i1ⁿda3ⁿdi3ki3,ⁿda3ⁿdi3ki3,A,0
V033_sakusivi,V033_sakusivi,sa5ku3si5βi5,i1sa5ku3si3βi3,sa5ku3si5βi5,A,0
V259_chiko'va,V259_chiko'va,t͡ʃi5ko3ʔβa5,i1t͡ʃi3ko3ʔβa3,t͡ʃi3ko1ʔβa3,A,0
V073_kixa'a,V073_kixa'a,ki3ɕa3ʔa5,i1ki1ɕa3ʔa5,ki3ɕa5ʔa5,A,0
V164_chitivintxaa,V164_chitivintxaa,t͡ʃi3ti3βi1ⁿd͡ʑa3a3,i1t͡ʃi3ti3βi3ⁿd͡ʑa3a3,t͡ʃi3ti3βi3ⁿd͡ʑa3a3,A,0
V221_yivintxaa,V221_yivintxaa,ʒi1βi3ⁿd͡ʑa3a3,i1ʒi3βi3ⁿd͡ʑa3a3,ʒi3βi3ⁿd͡ʑa3a3,A,0
V293_kutatan,V293_kutatan,ku3ta5tã5,i1ku3ta5tã1,ku3ta5tã5,A,0
V008_ka'ntxa,5,ɕa5ʔⁿd͡ʑa5,i1ɕa3ʔⁿd͡ʑa3,ka3ʔⁿd͡ʑa3,B,1
V013_kaki,5,ɕa5ki5,i1ɕa3ki3,ka3ki3,B,1
V045_ka'ni,5,ɕa5ʔni5,i1ɕa3ʔni3,ka3ʔni3,B,1
