IMPF,"('PFV', 'IRR')",Class
ɕi5ɕa3,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3],14
ɕi5t͡ɕa1,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3],14
ɕi5ti3,i1ɕ ⇌ kʷ / _[a-e-i][1-3][-syll -strid -lat -long]*[a-e-i-o][1-3],14
ĩ5ĩ3,i1ɕ_1 ⇌ k_3 / _o_o3,15
ɕi5ʔi1,i1ɕ_1ʔ_1 ⇌ k_3β_3 / _i_i_,16
kʷa1ʔã1,i1ɕa_ã ⇌ ko_õ / _1ʔ_1,17
ɕi5kã1,i1ɕi ⇌ ka / _[1-3][k-p-t-kʷ][a-ã][1-3],18
ɕi5ta3,i1ɕi ⇌ ka / _[1-3][k-p-t-kʷ][a-ã][1-3],18
ɕi5to3i3ni3,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
ɕi5to3,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
ɕi5to3ni3ʔni3,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
ɕi5nu3,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
i5ta3ka3,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
si5so3,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
ʒi5ʔβi1,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
ɕi5ko5,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
ɕi3ku3ĩ1ĩ1,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
ni1i3,i1ɕi ⇌ ko / _X*[-cons +son][-syll]*[+syll][1-3-5],19
ɕi5ʔi3,i1ɕi_i ⇌ ko_o / _3ʔ_3,20
ɕi5ɕa5ʔã3,i1ɕi1 ⇌ ka3 / _X*[-syll][-highV][3-5],21
ɕi5ka3,i1ɕi1 ⇌ ka3 / _X*[-syll][-highV][3-5],21
ɕi3ta3ɕa5ʔa5,i1ɕi1 ⇌ ka3 / _X*[-syll][-highV][3-5],21
ɕi5ka3nu1u1,i1ɕi1 ⇌ ka3 / _X*[-syll][-highV][3-5],21
ⁿd͡ʑa5ti3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ⁿd͡ʑa5a5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ɕi3tu3ⁿd͡ʑe3ʔe3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
na3ni5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ɲu5ʔũ3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ɕi5to3ⁿdo3so3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
t͡ɕa5ki5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ⁿd͡ʑe5ʔe5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
i5ⁿdi3ʔi1,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ku5mi5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ki5i5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ⁿda5si5,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ⁿda5a3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ku3ka5ʔnu3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ⁿdo5o3_2,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ⁿda5ka3a3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
na5ʔa1,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ⁿd͡ʑa5ka3,i1ɕi1 ⇌ ko3 / _X*[+syll][1-3-5],22
ɕi5ni5ɲu5ʔu5,i1ɕi1 ⇌ ko5 / _ni5ɲo5ʔo5,23
ku3t͡ɕi5ʒa5ʔa5,i1ɕi1_1 ⇌ _3 / _ko_t͡ɕi5ʒa5ʔa5,24
ɕi3tu3ⁿd͡ʑe3ʔe5,i1ɕi1_5 ⇌ ko3_3 / _to3ⁿd͡ʑe3ʔe_,25
